pond,date,waterTemp,barometricPressure_atm_mmHg,barometricPressure_kPa
HP-UW,2022-01-12,3.4,0.971,98.362
OPP-W,2022-01-12,1.5,0.966,97.856
OPP-E,2022-01-12,2.1,0.966,97.856
UM-ARB,2022-01-12,3.4,0.969,98.16
LM-ARB,2022-01-12,1.4,0.969,98.16
DCSW1,2022-01-13,2.4,0.968,98.058
DCSW2,2022-01-13,1.8,0.968,98.058
DCSW3,2022-01-13,1.9,0.968,98.058
DOBA4,2022-01-13,2.2,0.967,97.957
ALC,2022-01-13,0.8,0.97,98.261
DOBA5,2022-01-13,3.3,0.968,98.058
CAP,2022-01-13,2.6,0.967,97.957
L60-UW,2022-01-13,1.4,0.97,98.261
ELV,2022-01-14,0.4,0.973,98.565
DOBA7,2022-01-14,1.1,0.972,98.464
MDT,2022-01-14,2.2,0.972,98.464
DOBA8,2022-01-14,2.8,0.971,98.362
O-S,2022-01-14,1.2,0.98,99.274
O-N,2022-01-14,0.4,0.98,99.274
KP,2022-01-14,0.3,0.977,98.97
ALC,2022-01-27,0.7,740,98.654
DOBA5,2022-01-27,2,737.8,98.36
DOBA4,2022-01-27,1.4,737.4,98.307
DCSW3,2022-01-27,0.7,738.9,98.507
DCSW1,2022-01-27,1.8,738.8,98.494
DCSW2,2022-01-27,1.6,739,98.52
CAP,2022-01-27,1.3,738.6,98.467
KP,2022-01-30,0.2,737.1,98.267
DOBA8,2022-01-30,2.4,733.3,97.76
ELV,2022-01-30,1.5,734.8,97.96
MDT,2022-01-30,1.1,733.5,97.787
O-N,2022-01-30,2.3,738.5,98.454
O-S,2022-01-30,0.8,738.7,98.48
UM-ARB,2022-01-31,0.6,737.8,98.36
LM-ARB,2022-01-31,0.3,737.7,98.347
OPP-W,2022-01-31,0.7,737.4,98.307
OPP-E,2022-01-31,0.7,737.5,98.32
DOBA7,2022-01-31,0.6,735.1,98
HP-UW,2022-01-31,2.5,739.6,98.6
L60-UW,2022-01-31,0.5,739.3,98.56
ALC,2022-02-09,0.5,729.9,97.307
DOBA5,2022-02-09,1.3,728,97.054
DOBA4,2022-02-09,1,727.6,97
DCSW3,2022-02-09,1.4,728.6,97.134
DCSW1,2022-02-09,1.9,728.4,97.107
DCSW2,2022-02-09,0.6,728.3,97.094
CAP,2022-02-09,0.9,727.6,97
HP-UW,2022-02-09,2.7,729.6,97.267
L60-UW,2022-02-09,0.4,729.7,97.28
MDT,2022-02-10,0,729.5,97.254
ELV,2022-02-10,0.4,730.5,97.387
KP,2022-02-10,0.4,735.4,98.04
O-S,2022-02-10,1,736.6,98.2
O-N,2022-02-10,2.1,738.6,98.467
DOBA8,2022-02-10,1.5,729.5,97.254
DOBA7,2022-02-11,0.5,720.5,96.054
OPP-W,2022-02-11,0.5,722.6,96.334
OPP-E,2022-02-11,0.9,723.1,96.4
UM-ARB,2022-02-11,0.8,726.1,96.8
LM-ARB,2022-02-11,0.7,726.2,96.814
