sampleid,TIC,TOC,DIC,DOC,sampleID,pond,date,TC
OPP-W_2021-06-29,16.68,8.431,11.33,8.862,OPP-W_2021-06-29,OPP-W,2021-06-29,25.110999999999997
OPP-E_2021-06-29,18.88,8.171,14.47,7.693,OPP-E_2021-06-29,OPP-E,2021-06-29,27.051
DOBA7_2021-06-29,9.42,4.825,7.515,4.719,DOBA7_2021-06-29,DOBA7,2021-06-29,14.245000000000001
HP-UW_2021-06-29,20.59,2.248,20.26,2.269,HP-UW_2021-06-29,HP-UW,2021-06-29,22.838
DOBA8_2021-06-30,7.378,4.07,6.559,4.172,DOBA8_2021-06-30,DOBA8,2021-06-30,11.448
ELV_2021-06-30,10.82,4.65,9.672,5.113,ELV_2021-06-30,ELV,2021-06-30,15.47
MDT_2021-06-30,9.054,4.85,8.175,4.769,MDT_2021-06-30,MDT,2021-06-30,13.904
UM-ARB_2021-06-30,16.28,6.054,11.84,5.666,UM-ARB_2021-06-30,UM-ARB,2021-06-30,22.334000000000003
LM-ARB_2021-06-30,16.84,5.954,12.8,5.619,LM-ARB_2021-06-30,LM-ARB,2021-06-30,22.794
DCSW2_2021-07-01,23.13,5.203,22.44,5.347,DCSW2_2021-07-01,DCSW2,2021-07-01,28.333
DCSW1_2021-07-01,21.82,5.306,21.18,5.284,DCSW1_2021-07-01,DCSW1,2021-07-01,27.126
CAP_2021-07-01,9.976,4.632,8.226,4.522,CAP_2021-07-01,CAP,2021-07-01,14.608
DOBA4_2021-07-01,7.539,3.782,6.183,3.583,DOBA4_2021-07-01,DOBA4,2021-07-01,11.321
DCSW3_2021-07-01,15.35,5.129,15.07,5.294,DCSW3_2021-07-01,DCSW3,2021-07-01,20.479
DOBA5_2021-07-01,9.897,4.317,7.413,4.251,DOBA5_2021-07-01,DOBA5,2021-07-01,14.214
O-N_2021-07-01,36.01,4.491,34.3,4.851,O-N_2021-07-01,O-N,2021-07-01,40.501
O-S_2021-07-01,31.1,4.439,29.75,4.649,O-S_2021-07-01,O-S,2021-07-01,35.539
KP_2021-07-02,22.07,7.404,14.76,7.614,KP_2021-07-02,KP,2021-07-02,29.474
L60-UW_2021-07-02,21.18,5.311,19.23,5.294,L60-UW_2021-07-02,L60-UW,2021-07-02,26.491
ALC_2021-07-02,23.64,7.135,23.81,7.104,ALC_2021-07-02,ALC,2021-07-02,30.775
DOBA7_2021-07-12,10.31,6.084,7.926,6.053,DOBA7_2021-07-12,DOBA7,2021-07-12,16.394
OPP-W_2021-07-12,19.96,13.16,14.97,10.51,OPP-W_2021-07-12,OPP-W,2021-07-12,33.120000000000005
OPP-E_2021-07-12,21.39,9.111,16.28,8.601,OPP-E_2021-07-12,OPP-E,2021-07-12,30.501
LM-ARB_2021-07-13,27.59,6.264,24.31,6.444,LM-ARB_2021-07-13,LM-ARB,2021-07-13,33.854
UM-ARB_2021-07-13,28.45,6.297,22.17,5.953,UM-ARB_2021-07-13,UM-ARB,2021-07-13,34.747
L60-UW_2021-07-13,20.91,7.57,21.22,7.797,L60-UW_2021-07-13,L60-UW,2021-07-13,28.48
O-S_2021-07-14,26.99,5.179,25.61,5.13,O-S_2021-07-14,O-S,2021-07-14,32.169
O-N_2021-07-14,37.6,5.465,33.86,5.218,O-N_2021-07-14,O-N,2021-07-14,43.065
KP_2021-07-14,23.11,12.75,13.96,8.767,KP_2021-07-14,KP,2021-07-14,35.86
CAP_2021-07-16,11.45,5.51,9.176,5.386,CAP_2021-07-16,CAP,2021-07-16,16.96
DOBA4_2021-07-16,9.385,5.892,6.322,4.929,DOBA4_2021-07-16,DOBA4,2021-07-16,15.277000000000001
DOBA5_2021-07-16,12.5,6.948,6.956,6.474,DOBA5_2021-07-16,DOBA5,2021-07-16,19.448
DCSW3_2021-07-19,29.91,6.095,28.83,6.229,DCSW3_2021-07-19,DCSW3,2021-07-19,36.005
DCSW1_2021-07-19,23.08,5.805,22.65,6.055,DCSW1_2021-07-19,DCSW1,2021-07-19,28.884999999999998
DCSW2_2021-07-19,35.2,6.175,32.68,5.837,DCSW2_2021-07-19,DCSW2,2021-07-19,41.375
MDT_2021-07-20,10.68,6.463,8.661,6.014,MDT_2021-07-20,MDT,2021-07-20,17.143
DOBA8_2021-07-20,10.38,5.871,8.16,5.017,DOBA8_2021-07-20,DOBA8,2021-07-20,16.251
ELV_2021-07-20,9.197,5.706,8.337,5.675,ELV_2021-07-20,ELV,2021-07-20,14.902999999999999
ALC_2021-07-21,23.16,8.277,22.2,8.317,ALC_2021-07-21,ALC,2021-07-21,31.436999999999998
