Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 10:51 AM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,O-S_210611,,200
2,ELV_210608,,300
3,CAP_210607,,500
4,UM-ARB_210603,,100
5,LM-ARB_210603,,100
6,MDT_210610,,400
7,HP-UW_210610,,300
8,ALC_210608,,300
9,KP_210611,,100
10,L60_210611,,200
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0260,0.0090,0.0157,0.0144,0.0207,0.0267,0.0233,0.0045,0.0282,0.0028,-0.0008
600.5,0.0260,0.0091,0.0158,0.0146,0.0208,0.0267,0.0234,0.0045,0.0282,0.0028,-0.0009
601.0,0.0262,0.0093,0.0160,0.0150,0.0210,0.0268,0.0235,0.0046,0.0282,0.0028,-0.0009
601.5,0.0262,0.0094,0.0161,0.0152,0.0212,0.0269,0.0237,0.0047,0.0283,0.0028,-0.0008
602.0,0.0263,0.0095,0.0162,0.0154,0.0213,0.0269,0.0238,0.0048,0.0283,0.0028,-0.0009
602.5,0.0264,0.0096,0.0164,0.0157,0.0215,0.0269,0.0239,0.0049,0.0283,0.0029,-0.0008
603.0,0.0265,0.0097,0.0165,0.0158,0.0216,0.0269,0.0240,0.0050,0.0283,0.0029,-0.0008
603.5,0.0266,0.0097,0.0165,0.0159,0.0217,0.0269,0.0241,0.0050,0.0283,0.0029,-0.0008
604.0,0.0265,0.0098,0.0165,0.0161,0.0218,0.0269,0.0241,0.0050,0.0283,0.0029,-0.0008
604.5,0.0266,0.0098,0.0166,0.0162,0.0218,0.0269,0.0241,0.0051,0.0282,0.0029,-0.0009
605.0,0.0266,0.0098,0.0167,0.0163,0.0219,0.0269,0.0242,0.0051,0.0282,0.0029,-0.0008
605.5,0.0266,0.0099,0.0166,0.0164,0.0219,0.0269,0.0242,0.0051,0.0282,0.0029,-0.0008
606.0,0.0267,0.0098,0.0166,0.0164,0.0219,0.0268,0.0242,0.0051,0.0281,0.0029,-0.0008
606.5,0.0267,0.0099,0.0166,0.0165,0.0219,0.0268,0.0242,0.0051,0.0281,0.0029,-0.0008
607.0,0.0267,0.0099,0.0166,0.0165,0.0219,0.0267,0.0242,0.0051,0.0279,0.0029,-0.0009
607.5,0.0268,0.0099,0.0166,0.0165,0.0219,0.0267,0.0241,0.0051,0.0279,0.0029,-0.0008
608.0,0.0268,0.0098,0.0165,0.0164,0.0218,0.0267,0.0241,0.0051,0.0278,0.0028,-0.0008
608.5,0.0268,0.0098,0.0165,0.0163,0.0217,0.0266,0.0241,0.0051,0.0277,0.0028,-0.0008
609.0,0.0267,0.0098,0.0164,0.0163,0.0217,0.0266,0.0240,0.0050,0.0276,0.0028,-0.0009
609.5,0.0268,0.0097,0.0163,0.0162,0.0216,0.0265,0.0239,0.0050,0.0275,0.0028,-0.0008
610.0,0.0268,0.0096,0.0162,0.0161,0.0215,0.0264,0.0238,0.0050,0.0274,0.0028,-0.0008
610.5,0.0267,0.0096,0.0161,0.0159,0.0213,0.0264,0.0237,0.0049,0.0273,0.0028,-0.0008
611.0,0.0268,0.0094,0.0160,0.0158,0.0212,0.0262,0.0236,0.0048,0.0271,0.0027,-0.0008
611.5,0.0267,0.0093,0.0158,0.0156,0.0211,0.0261,0.0235,0.0048,0.0270,0.0027,-0.0008
612.0,0.0267,0.0093,0.0157,0.0154,0.0209,0.0261,0.0234,0.0047,0.0269,0.0027,-0.0008
612.5,0.0266,0.0092,0.0156,0.0152,0.0208,0.0260,0.0232,0.0046,0.0267,0.0027,-0.0008
613.0,0.0266,0.0091,0.0155,0.0151,0.0207,0.0259,0.0231,0.0046,0.0266,0.0027,-0.0008
613.5,0.0265,0.0090,0.0153,0.0149,0.0205,0.0258,0.0229,0.0045,0.0265,0.0026,-0.0008
614.0,0.0265,0.0088,0.0151,0.0146,0.0203,0.0257,0.0227,0.0044,0.0263,0.0026,-0.0008
614.5,0.0264,0.0087,0.0150,0.0144,0.0202,0.0256,0.0226,0.0043,0.0262,0.0026,-0.0008
615.0,0.0263,0.0087,0.0149,0.0142,0.0200,0.0255,0.0225,0.0043,0.0261,0.0026,-0.0008
615.5,0.0262,0.0086,0.0147,0.0140,0.0198,0.0255,0.0223,0.0042,0.0259,0.0025,-0.0008
616.0,0.0261,0.0085,0.0146,0.0137,0.0196,0.0253,0.0222,0.0041,0.0258,0.0026,-0.0008
616.5,0.0260,0.0083,0.0144,0.0135,0.0194,0.0252,0.0220,0.0040,0.0257,0.0025,-0.0008
617.0,0.0259,0.0083,0.0143,0.0133,0.0192,0.0252,0.0218,0.0039,0.0256,0.0025,-0.0008
617.5,0.0258,0.0081,0.0141,0.0130,0.0191,0.0250,0.0217,0.0039,0.0254,0.0025,-0.0008
618.0,0.0257,0.0080,0.0140,0.0129,0.0189,0.0250,0.0215,0.0038,0.0253,0.0025,-0.0008
618.5,0.0257,0.0079,0.0138,0.0126,0.0186,0.0249,0.0214,0.0037,0.0252,0.0024,-0.0009
619.0,0.0256,0.0079,0.0137,0.0124,0.0185,0.0248,0.0213,0.0036,0.0251,0.0024,-0.0008
619.5,0.0256,0.0078,0.0136,0.0123,0.0184,0.0247,0.0211,0.0036,0.0250,0.0024,-0.0008
620.0,0.0255,0.0077,0.0134,0.0120,0.0182,0.0246,0.0210,0.0035,0.0248,0.0024,-0.0008
620.5,0.0254,0.0076,0.0133,0.0119,0.0181,0.0245,0.0208,0.0034,0.0247,0.0024,-0.0008
621.0,0.0253,0.0075,0.0132,0.0116,0.0179,0.0244,0.0207,0.0033,0.0246,0.0024,-0.0008
621.5,0.0253,0.0075,0.0131,0.0115,0.0178,0.0243,0.0206,0.0033,0.0245,0.0024,-0.0008
622.0,0.0252,0.0074,0.0129,0.0113,0.0177,0.0243,0.0205,0.0033,0.0244,0.0024,-0.0008
622.5,0.0250,0.0073,0.0129,0.0112,0.0176,0.0242,0.0204,0.0032,0.0243,0.0023,-0.0008
623.0,0.0249,0.0072,0.0128,0.0110,0.0175,0.0240,0.0203,0.0031,0.0243,0.0023,-0.0008
623.5,0.0248,0.0072,0.0127,0.0110,0.0174,0.0240,0.0203,0.0031,0.0242,0.0024,-0.0008
624.0,0.0247,0.0072,0.0126,0.0109,0.0173,0.0240,0.0202,0.0031,0.0242,0.0024,-0.0008
624.5,0.0245,0.0072,0.0126,0.0108,0.0173,0.0239,0.0202,0.0031,0.0241,0.0024,-0.0008
625.0,0.0245,0.0071,0.0125,0.0107,0.0172,0.0238,0.0201,0.0031,0.0240,0.0024,-0.0008
625.5,0.0245,0.0071,0.0125,0.0107,0.0171,0.0238,0.0200,0.0031,0.0240,0.0024,-0.0008
626.0,0.0244,0.0070,0.0124,0.0106,0.0171,0.0237,0.0200,0.0030,0.0240,0.0024,-0.0008
626.5,0.0244,0.0070,0.0124,0.0106,0.0170,0.0236,0.0200,0.0030,0.0239,0.0024,-0.0008
627.0,0.0243,0.0070,0.0124,0.0105,0.0170,0.0236,0.0200,0.0030,0.0239,0.0023,-0.0008
627.5,0.0243,0.0070,0.0124,0.0105,0.0170,0.0236,0.0199,0.0030,0.0239,0.0024,-0.0008
628.0,0.0243,0.0070,0.0123,0.0105,0.0170,0.0235,0.0199,0.0030,0.0238,0.0024,-0.0008
628.5,0.0243,0.0070,0.0123,0.0105,0.0170,0.0235,0.0199,0.0030,0.0238,0.0024,-0.0008
629.0,0.0244,0.0070,0.0123,0.0106,0.0170,0.0235,0.0200,0.0030,0.0238,0.0024,-0.0008
629.5,0.0244,0.0070,0.0123,0.0106,0.0169,0.0234,0.0200,0.0030,0.0238,0.0024,-0.0008
630.0,0.0245,0.0071,0.0124,0.0107,0.0170,0.0234,0.0201,0.0031,0.0238,0.0024,-0.0008
630.5,0.0245,0.0071,0.0124,0.0107,0.0170,0.0234,0.0201,0.0031,0.0238,0.0024,-0.0008
631.0,0.0246,0.0071,0.0124,0.0108,0.0170,0.0233,0.0201,0.0031,0.0238,0.0024,-0.0008
631.5,0.0247,0.0071,0.0124,0.0108,0.0171,0.0233,0.0201,0.0031,0.0238,0.0024,-0.0008
632.0,0.0248,0.0072,0.0125,0.0109,0.0172,0.0233,0.0202,0.0032,0.0238,0.0024,-0.0008
632.5,0.0249,0.0072,0.0126,0.0111,0.0172,0.0233,0.0203,0.0032,0.0239,0.0024,-0.0008
633.0,0.0249,0.0072,0.0126,0.0111,0.0173,0.0232,0.0204,0.0032,0.0239,0.0024,-0.0008
633.5,0.0249,0.0073,0.0126,0.0113,0.0174,0.0232,0.0204,0.0033,0.0239,0.0025,-0.0008
634.0,0.0250,0.0074,0.0127,0.0114,0.0174,0.0232,0.0206,0.0033,0.0239,0.0025,-0.0008
634.5,0.0251,0.0074,0.0128,0.0115,0.0175,0.0232,0.0206,0.0034,0.0240,0.0025,-0.0008
635.0,0.0252,0.0075,0.0129,0.0118,0.0176,0.0232,0.0208,0.0035,0.0241,0.0026,-0.0008
635.5,0.0252,0.0076,0.0130,0.0119,0.0177,0.0232,0.0209,0.0036,0.0241,0.0026,-0.0008
636.0,0.0253,0.0077,0.0131,0.0120,0.0178,0.0232,0.0210,0.0036,0.0241,0.0026,-0.0008
636.5,0.0254,0.0078,0.0132,0.0123,0.0180,0.0232,0.0212,0.0037,0.0242,0.0026,-0.0008
637.0,0.0255,0.0079,0.0133,0.0125,0.0181,0.0232,0.0213,0.0038,0.0243,0.0027,-0.0008
637.5,0.0256,0.0080,0.0134,0.0127,0.0182,0.0232,0.0215,0.0039,0.0244,0.0027,-0.0008
638.0,0.0258,0.0081,0.0136,0.0130,0.0184,0.0233,0.0218,0.0040,0.0245,0.0027,-0.0008
638.5,0.0259,0.0082,0.0138,0.0132,0.0186,0.0233,0.0220,0.0041,0.0246,0.0028,-0.0008
639.0,0.0261,0.0084,0.0139,0.0135,0.0188,0.0233,0.0222,0.0042,0.0247,0.0028,-0.0008
639.5,0.0263,0.0085,0.0141,0.0138,0.0190,0.0234,0.0224,0.0043,0.0248,0.0029,-0.0008
640.0,0.0264,0.0087,0.0143,0.0142,0.0193,0.0234,0.0226,0.0045,0.0249,0.0029,-0.0008
640.5,0.0266,0.0088,0.0146,0.0146,0.0195,0.0235,0.0230,0.0046,0.0251,0.0029,-0.0008
641.0,0.0267,0.0090,0.0148,0.0149,0.0198,0.0236,0.0233,0.0048,0.0252,0.0030,-0.0008
641.5,0.0269,0.0093,0.0151,0.0155,0.0202,0.0236,0.0237,0.0050,0.0254,0.0031,-0.0008
642.0,0.0271,0.0095,0.0154,0.0159,0.0205,0.0237,0.0240,0.0052,0.0256,0.0032,-0.0008
642.5,0.0273,0.0097,0.0157,0.0164,0.0209,0.0238,0.0243,0.0053,0.0258,0.0032,-0.0008
643.0,0.0276,0.0100,0.0161,0.0169,0.0213,0.0239,0.0248,0.0056,0.0261,0.0033,-0.0008
643.5,0.0279,0.0103,0.0165,0.0175,0.0218,0.0241,0.0253,0.0059,0.0263,0.0034,-0.0008
644.0,0.0282,0.0107,0.0170,0.0182,0.0223,0.0242,0.0258,0.0061,0.0266,0.0035,-0.0008
644.5,0.0284,0.0110,0.0174,0.0188,0.0227,0.0243,0.0263,0.0064,0.0269,0.0035,-0.0008
645.0,0.0287,0.0113,0.0179,0.0194,0.0233,0.0245,0.0268,0.0067,0.0272,0.0037,-0.0008
645.5,0.0290,0.0117,0.0184,0.0202,0.0239,0.0247,0.0274,0.0070,0.0275,0.0038,-0.0008
646.0,0.0293,0.0121,0.0189,0.0210,0.0245,0.0249,0.0280,0.0073,0.0279,0.0039,-0.0008
646.5,0.0296,0.0125,0.0195,0.0218,0.0252,0.0250,0.0286,0.0077,0.0282,0.0040,-0.0008
647.0,0.0300,0.0131,0.0202,0.0228,0.0260,0.0253,0.0294,0.0081,0.0287,0.0042,-0.0008
647.5,0.0303,0.0135,0.0208,0.0237,0.0268,0.0255,0.0302,0.0085,0.0291,0.0043,-0.0007
648.0,0.0306,0.0141,0.0216,0.0248,0.0276,0.0258,0.0310,0.0089,0.0295,0.0045,-0.0008
648.5,0.0309,0.0146,0.0223,0.0257,0.0284,0.0261,0.0317,0.0093,0.0299,0.0046,-0.0008
649.0,0.0312,0.0151,0.0230,0.0268,0.0292,0.0263,0.0325,0.0097,0.0304,0.0048,-0.0008
649.5,0.0317,0.0159,0.0239,0.0281,0.0303,0.0267,0.0335,0.0103,0.0310,0.0049,-0.0008
650.0,0.0321,0.0164,0.0247,0.0294,0.0313,0.0270,0.0344,0.0108,0.0315,0.0051,-0.0008
650.5,0.0326,0.0173,0.0258,0.0310,0.0325,0.0275,0.0355,0.0114,0.0322,0.0053,-0.0007
651.0,0.0330,0.0179,0.0266,0.0323,0.0335,0.0278,0.0364,0.0119,0.0327,0.0055,-0.0008
651.5,0.0333,0.0185,0.0275,0.0336,0.0345,0.0281,0.0373,0.0123,0.0333,0.0056,-0.0008
652.0,0.0338,0.0194,0.0286,0.0353,0.0358,0.0287,0.0385,0.0130,0.0340,0.0058,-0.0008
652.5,0.0341,0.0201,0.0296,0.0368,0.0370,0.0291,0.0396,0.0136,0.0346,0.0060,-0.0008
653.0,0.0346,0.0209,0.0306,0.0384,0.0382,0.0295,0.0406,0.0142,0.0353,0.0062,-0.0008
653.5,0.0351,0.0219,0.0319,0.0404,0.0396,0.0301,0.0419,0.0149,0.0360,0.0064,-0.0008
654.0,0.0355,0.0226,0.0329,0.0420,0.0408,0.0305,0.0430,0.0154,0.0366,0.0066,-0.0008
