Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 11:23 AM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,O-N_210611,,170
2,DCSW2_210609,,500
3,DCSW3_210609,,500
4,DOBA7_210602,,370
5,DOBA5_210607,,300
6,DOBA8_210610,,400
7,DCSW1_210609,,500
8,OPP-W_210602,,60
9,DOBA4_210607,,100
10,OPP-E_210602,,285
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0240,0.0131,0.0031,0.0128,0.0136,0.0070,0.0003,0.0131,0.0139,0.0113,-0.0024
600.5,0.0241,0.0131,0.0032,0.0127,0.0138,0.0069,0.0003,0.0132,0.0139,0.0114,-0.0024
601.0,0.0244,0.0133,0.0032,0.0128,0.0140,0.0070,0.0003,0.0133,0.0140,0.0115,-0.0024
601.5,0.0246,0.0134,0.0032,0.0128,0.0143,0.0071,0.0004,0.0133,0.0142,0.0117,-0.0024
602.0,0.0249,0.0136,0.0033,0.0130,0.0145,0.0071,0.0004,0.0134,0.0142,0.0118,-0.0024
602.5,0.0253,0.0138,0.0033,0.0132,0.0149,0.0073,0.0005,0.0135,0.0144,0.0120,-0.0023
603.0,0.0255,0.0139,0.0033,0.0133,0.0151,0.0073,0.0006,0.0135,0.0145,0.0122,-0.0023
603.5,0.0257,0.0140,0.0034,0.0135,0.0154,0.0074,0.0006,0.0136,0.0146,0.0123,-0.0023
604.0,0.0260,0.0141,0.0034,0.0136,0.0156,0.0074,0.0006,0.0136,0.0146,0.0124,-0.0024
604.5,0.0261,0.0143,0.0034,0.0137,0.0158,0.0075,0.0006,0.0136,0.0147,0.0125,-0.0024
