Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 12:45 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,MDT_210617,,100
2,DOBA8_210617,,200
3,DCSW3_210621,,200
4,KP_210622,,65
5,DCSW2_210621,,200
6,L60_210618,,500
7,DCSW1_210621,,500
8,ELV_210617,,100
9,O-N_210622,,100
10,O-S_210622,,200
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0104,0.0199,0.0077,0.0202,0.0114,0.0169,0.0021,0.0123,0.0122,0.0135,0.0067
600.5,0.0105,0.0199,0.0078,0.0204,0.0115,0.0169,0.0022,0.0124,0.0123,0.0135,0.0067
601.0,0.0108,0.0200,0.0079,0.0206,0.0118,0.0169,0.0022,0.0126,0.0125,0.0135,0.0067
601.5,0.0108,0.0200,0.0079,0.0208,0.0119,0.0168,0.0022,0.0127,0.0126,0.0136,0.0067
602.0,0.0110,0.0201,0.0080,0.0210,0.0120,0.0168,0.0023,0.0129,0.0127,0.0136,0.0067
602.5,0.0111,0.0201,0.0080,0.0211,0.0121,0.0168,0.0022,0.0130,0.0128,0.0137,0.0067
603.0,0.0112,0.0202,0.0081,0.0214,0.0121,0.0168,0.0022,0.0131,0.0129,0.0137,0.0067
603.5,0.0114,0.0202,0.0081,0.0215,0.0122,0.0168,0.0022,0.0132,0.0131,0.0137,0.0067
604.0,0.0115,0.0203,0.0082,0.0217,0.0122,0.0167,0.0022,0.0133,0.0132,0.0138,0.0067
604.5,0.0117,0.0203,0.0083,0.0219,0.0123,0.0167,0.0022,0.0135,0.0133,0.0139,0.0067
