Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 1:10 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DOBA4_210701,,100
2,O-S_210702,,200
3,L60_210702,,300
4,DCSW1_210701,,200
5,ALC_210702,,200
6,O-N_210702,,200
7,DCSW3_210701,,500
8,MDT_210630,,200
9,OPP-W_210629,,100
10,LM-ARB_210630,,100
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0149,0.0111,0.0133,0.0162,0.0234,0.0322,0.0111,0.0143,0.0447,0.0203,0.0000
600.5,0.0150,0.0112,0.0134,0.0162,0.0236,0.0325,0.0111,0.0145,0.0452,0.0204,0.0000
601.0,0.0151,0.0113,0.0134,0.0163,0.0238,0.0327,0.0111,0.0147,0.0456,0.0206,0.0001
601.5,0.0152,0.0114,0.0135,0.0164,0.0239,0.0329,0.0111,0.0149,0.0460,0.0207,0.0000
602.0,0.0153,0.0116,0.0136,0.0164,0.0241,0.0331,0.0112,0.0152,0.0464,0.0209,0.0000
602.5,0.0154,0.0118,0.0137,0.0164,0.0243,0.0333,0.0112,0.0155,0.0468,0.0210,-0.0000
603.0,0.0155,0.0119,0.0137,0.0165,0.0245,0.0334,0.0112,0.0157,0.0470,0.0212,-0.0000
603.5,0.0155,0.0120,0.0138,0.0165,0.0247,0.0337,0.0112,0.0159,0.0474,0.0214,0.0000
604.0,0.0156,0.0121,0.0139,0.0166,0.0248,0.0339,0.0113,0.0161,0.0476,0.0216,-0.0001
604.5,0.0157,0.0122,0.0140,0.0166,0.0250,0.0340,0.0113,0.0164,0.0478,0.0218,0.0000
