Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 1:34 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DOBA4_210701,,100
2,O-S_210702,,200
3,L60_210702,,300
4,DCSW1_210701,,200
5,ALC_210702,,200
6,O-N_210702,,200
7,DCSW3_210701,,500
8,MDT_210630,,200
9,OPP-W_210629,,100
10,LM-ARB_210630,,100
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0119,0.0089,0.0113,0.0146,0.0184,0.0279,0.0140,0.0120,0.0342,0.0167,0.0002
600.5,0.0120,0.0090,0.0112,0.0147,0.0185,0.0281,0.0140,0.0122,0.0345,0.0169,0.0002
601.0,0.0121,0.0090,0.0112,0.0146,0.0186,0.0283,0.0140,0.0124,0.0348,0.0170,0.0002
601.5,0.0121,0.0091,0.0113,0.0146,0.0187,0.0284,0.0139,0.0125,0.0350,0.0172,0.0002
602.0,0.0122,0.0092,0.0113,0.0146,0.0187,0.0286,0.0140,0.0127,0.0352,0.0174,0.0002
602.5,0.0122,0.0092,0.0113,0.0145,0.0188,0.0287,0.0139,0.0128,0.0355,0.0175,0.0002
603.0,0.0122,0.0093,0.0113,0.0146,0.0188,0.0288,0.0139,0.0129,0.0356,0.0176,0.0002
603.5,0.0122,0.0093,0.0113,0.0145,0.0188,0.0289,0.0139,0.0130,0.0357,0.0177,0.0002
604.0,0.0122,0.0093,0.0113,0.0144,0.0188,0.0290,0.0139,0.0131,0.0359,0.0178,0.0002
604.5,0.0123,0.0093,0.0114,0.0144,0.0188,0.0291,0.0139,0.0131,0.0360,0.0179,0.0002
605.0,0.0123,0.0094,0.0114,0.0143,0.0188,0.0291,0.0139,0.0132,0.0361,0.0180,0.0002
605.5,0.0123,0.0094,0.0114,0.0143,0.0188,0.0292,0.0138,0.0133,0.0361,0.0181,0.0002
606.0,0.0123,0.0094,0.0114,0.0142,0.0188,0.0291,0.0138,0.0133,0.0361,0.0181,0.0002
606.5,0.0124,0.0094,0.0114,0.0142,0.0188,0.0291,0.0138,0.0133,0.0361,0.0181,0.0002
607.0,0.0123,0.0094,0.0114,0.0141,0.0187,0.0291,0.0137,0.0133,0.0361,0.0181,0.0002
607.5,0.0123,0.0094,0.0113,0.0140,0.0186,0.0290,0.0137,0.0133,0.0360,0.0181,0.0002
608.0,0.0124,0.0094,0.0114,0.0140,0.0186,0.0290,0.0137,0.0133,0.0360,0.0181,0.0002
608.5,0.0124,0.0093,0.0113,0.0139,0.0183,0.0289,0.0136,0.0132,0.0358,0.0181,0.0002
609.0,0.0125,0.0093,0.0113,0.0138,0.0182,0.0287,0.0135,0.0131,0.0356,0.0181,0.0002
609.5,0.0124,0.0092,0.0113,0.0137,0.0181,0.0286,0.0135,0.0131,0.0354,0.0180,0.0002
610.0,0.0126,0.0092,0.0114,0.0136,0.0180,0.0285,0.0134,0.0130,0.0353,0.0180,0.0002
610.5,0.0127,0.0091,0.0115,0.0135,0.0179,0.0283,0.0134,0.0129,0.0351,0.0179,0.0002
611.0,0.0131,0.0090,0.0114,0.0133,0.0177,0.0281,0.0133,0.0127,0.0348,0.0178,0.0002
611.5,0.0135,0.0089,0.0113,0.0132,0.0176,0.0279,0.0133,0.0127,0.0346,0.0177,0.0002
612.0,0.0139,0.0089,0.0113,0.0131,0.0174,0.0278,0.0132,0.0126,0.0343,0.0176,0.0002
612.5,0.0141,0.0087,0.0113,0.0130,0.0172,0.0275,0.0131,0.0124,0.0340,0.0175,0.0002
613.0,0.0142,0.0087,0.0113,0.0129,0.0171,0.0274,0.0131,0.0123,0.0338,0.0174,0.0002
613.5,0.0142,0.0086,0.0112,0.0128,0.0169,0.0272,0.0130,0.0122,0.0335,0.0173,0.0002
614.0,0.0139,0.0085,0.0112,0.0126,0.0167,0.0269,0.0129,0.0120,0.0332,0.0171,0.0002
