Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 2:00 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,UM-ARB_210630,,150
2,DOBA8_210630,,200
3,DOBA7_210629,,170
4,CAP_210701,,300
5,ELV_210630,,300
6,DCSW2_210701,,200
7,DOBA5_210701,,100
8,HP_210629,,300
9,KP_210702,,100
10,OPP-E_210629,,100
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0253,0.0128,0.0265,0.0232,0.0156,0.0105,0.0136,0.0075,0.0195,0.0298,0.0076
600.5,0.0257,0.0129,0.0268,0.0233,0.0157,0.0105,0.0137,0.0076,0.0196,0.0302,0.0076
601.0,0.0261,0.0129,0.0272,0.0234,0.0158,0.0106,0.0139,0.0076,0.0198,0.0306,0.0076
601.5,0.0264,0.0130,0.0275,0.0234,0.0159,0.0107,0.0141,0.0076,0.0199,0.0309,0.0076
602.0,0.0268,0.0131,0.0278,0.0235,0.0161,0.0108,0.0142,0.0076,0.0200,0.0313,0.0076
602.5,0.0272,0.0131,0.0282,0.0236,0.0162,0.0109,0.0144,0.0077,0.0202,0.0317,0.0076
603.0,0.0274,0.0132,0.0284,0.0236,0.0163,0.0109,0.0145,0.0076,0.0202,0.0320,0.0076
603.5,0.0278,0.0132,0.0287,0.0237,0.0164,0.0110,0.0146,0.0077,0.0204,0.0323,0.0076
604.0,0.0282,0.0133,0.0290,0.0237,0.0165,0.0111,0.0148,0.0077,0.0205,0.0327,0.0076
604.5,0.0285,0.0134,0.0293,0.0237,0.0166,0.0111,0.0149,0.0077,0.0206,0.0329,0.0076
605.0,0.0288,0.0135,0.0296,0.0238,0.0168,0.0112,0.0150,0.0078,0.0207,0.0332,0.0076
605.5,0.0291,0.0135,0.0299,0.0238,0.0169,0.0113,0.0152,0.0078,0.0208,0.0336,0.0076
606.0,0.0294,0.0135,0.0301,0.0238,0.0170,0.0113,0.0153,0.0078,0.0209,0.0338,0.0076
606.5,0.0297,0.0136,0.0303,0.0238,0.0171,0.0114,0.0154,0.0079,0.0209,0.0340,0.0076
607.0,0.0300,0.0136,0.0305,0.0238,0.0172,0.0114,0.0155,0.0079,0.0210,0.0343,0.0076
607.5,0.0302,0.0137,0.0307,0.0238,0.0172,0.0115,0.0156,0.0079,0.0211,0.0345,0.0076
608.0,0.0304,0.0138,0.0309,0.0239,0.0174,0.0116,0.0157,0.0079,0.0212,0.0347,0.0076
608.5,0.0306,0.0138,0.0311,0.0239,0.0174,0.0116,0.0157,0.0079,0.0212,0.0348,0.0076
609.0,0.0308,0.0138,0.0312,0.0239,0.0175,0.0116,0.0158,0.0080,0.0213,0.0350,0.0076
609.5,0.0310,0.0138,0.0313,0.0239,0.0175,0.0116,0.0158,0.0080,0.0213,0.0351,0.0075
610.0,0.0312,0.0139,0.0314,0.0239,0.0176,0.0117,0.0159,0.0080,0.0213,0.0352,0.0076
610.5,0.0313,0.0139,0.0315,0.0239,0.0177,0.0117,0.0160,0.0080,0.0214,0.0353,0.0075
611.0,0.0314,0.0139,0.0316,0.0238,0.0177,0.0116,0.0160,0.0080,0.0213,0.0354,0.0075
611.5,0.0315,0.0139,0.0317,0.0238,0.0178,0.0117,0.0161,0.0080,0.0214,0.0355,0.0076
