Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"January 20, 2022 3:10 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DCSW1_210701,,200
2,DOBA7_210629,,170
3,UM-ARB_210630,,150
4,DOBA5_210701,,100
5,DOBA8_210630,,200
6,HP_210629,,300
7,KP_210702,,100
8,CAP_210701,,300
9,ELV_210630,,300
10,OPP-E_210629,,100
11,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600.0,0.0079,0.0265,0.0223,0.0139,0.0105,0.0157,0.0230,0.0064,0.0116,0.0310,-0.0008
600.5,0.0080,0.0269,0.0226,0.0140,0.0106,0.0157,0.0232,0.0065,0.0118,0.0314,-0.0008
601.0,0.0081,0.0273,0.0231,0.0142,0.0106,0.0158,0.0233,0.0066,0.0120,0.0319,-0.0008
601.5,0.0082,0.0276,0.0235,0.0143,0.0107,0.0157,0.0235,0.0067,0.0120,0.0322,-0.0008
602.0,0.0082,0.0280,0.0238,0.0145,0.0108,0.0157,0.0236,0.0068,0.0122,0.0326,-0.0008
602.5,0.0084,0.0284,0.0243,0.0147,0.0109,0.0158,0.0238,0.0070,0.0124,0.0332,-0.0008
603.0,0.0085,0.0287,0.0246,0.0148,0.0108,0.0158,0.0239,0.0070,0.0125,0.0335,-0.0009
603.5,0.0085,0.0291,0.0250,0.0150,0.0108,0.0158,0.0240,0.0072,0.0126,0.0339,-0.0009
604.0,0.0087,0.0295,0.0255,0.0151,0.0106,0.0159,0.0242,0.0073,0.0128,0.0344,-0.0008
604.5,0.0088,0.0298,0.0258,0.0153,0.0106,0.0159,0.0244,0.0073,0.0129,0.0348,-0.0008
605.0,0.0089,0.0301,0.0262,0.0154,0.0106,0.0159,0.0245,0.0074,0.0131,0.0353,-0.0008
605.5,0.0089,0.0305,0.0266,0.0155,0.0107,0.0159,0.0246,0.0075,0.0132,0.0357,-0.0008
606.0,0.0090,0.0307,0.0270,0.0157,0.0107,0.0159,0.0247,0.0076,0.0133,0.0361,-0.0009
606.5,0.0091,0.0310,0.0273,0.0158,0.0108,0.0159,0.0248,0.0077,0.0134,0.0364,-0.0008
607.0,0.0092,0.0314,0.0278,0.0160,0.0108,0.0159,0.0250,0.0077,0.0135,0.0369,-0.0008
607.5,0.0092,0.0316,0.0281,0.0161,0.0109,0.0160,0.0250,0.0078,0.0136,0.0372,-0.0009
608.0,0.0093,0.0319,0.0284,0.0162,0.0110,0.0160,0.0251,0.0079,0.0137,0.0375,-0.0008
608.5,0.0094,0.0321,0.0288,0.0163,0.0110,0.0160,0.0253,0.0079,0.0139,0.0379,-0.0008
609.0,0.0094,0.0323,0.0291,0.0163,0.0110,0.0160,0.0253,0.0080,0.0140,0.0382,-0.0009
609.5,0.0095,0.0325,0.0294,0.0164,0.0111,0.0161,0.0255,0.0081,0.0140,0.0385,-0.0008
610.0,0.0096,0.0327,0.0297,0.0164,0.0111,0.0161,0.0255,0.0081,0.0141,0.0387,-0.0008
610.5,0.0096,0.0329,0.0300,0.0164,0.0111,0.0161,0.0256,0.0082,0.0142,0.0389,-0.0008
611.0,0.0097,0.0331,0.0303,0.0165,0.0112,0.0162,0.0256,0.0082,0.0142,0.0392,-0.0008
611.5,0.0097,0.0332,0.0305,0.0166,0.0112,0.0162,0.0257,0.0082,0.0143,0.0394,-0.0009
612.0,0.0097,0.0333,0.0307,0.0165,0.0112,0.0161,0.0257,0.0082,0.0143,0.0395,-0.0009
612.5,0.0098,0.0335,0.0310,0.0166,0.0112,0.0162,0.0257,0.0083,0.0144,0.0397,-0.0009
613.0,0.0097,0.0336,0.0312,0.0166,0.0113,0.0162,0.0257,0.0083,0.0144,0.0399,-0.0009
613.5,0.0097,0.0335,0.0313,0.0165,0.0112,0.0162,0.0257,0.0083,0.0144,0.0399,-0.0008
614.0,0.0097,0.0336,0.0315,0.0165,0.0112,0.0162,0.0257,0.0083,0.0144,0.0400,-0.0008
614.5,0.0098,0.0337,0.0316,0.0165,0.0112,0.0162,0.0258,0.0084,0.0144,0.0401,-0.0008
615.0,0.0098,0.0337,0.0316,0.0165,0.0112,0.0162,0.0257,0.0083,0.0144,0.0401,-0.0008
615.5,0.0097,0.0337,0.0317,0.0165,0.0112,0.0162,0.0257,0.0083,0.0144,0.0401,-0.0008
616.0,0.0098,0.0337,0.0318,0.0165,0.0112,0.0162,0.0257,0.0083,0.0144,0.0401,-0.0008
616.5,0.0098,0.0337,0.0318,0.0165,0.0112,0.0162,0.0257,0.0083,0.0144,0.0401,-0.0008
617.0,0.0098,0.0337,0.0318,0.0164,0.0112,0.0162,0.0257,0.0083,0.0144,0.0401,-0.0008
617.5,0.0098,0.0336,0.0318,0.0164,0.0111,0.0162,0.0257,0.0083,0.0143,0.0400,-0.0009
618.0,0.0098,0.0337,0.0318,0.0164,0.0111,0.0162,0.0258,0.0083,0.0143,0.0400,-0.0008
618.5,0.0097,0.0336,0.0317,0.0163,0.0111,0.0162,0.0258,0.0083,0.0143,0.0399,-0.0008
619.0,0.0097,0.0335,0.0317,0.0163,0.0111,0.0161,0.0258,0.0082,0.0142,0.0398,-0.0009
619.5,0.0097,0.0335,0.0316,0.0163,0.0111,0.0161,0.0258,0.0083,0.0142,0.0398,-0.0009
620.0,0.0097,0.0334,0.0315,0.0163,0.0110,0.0162,0.0259,0.0083,0.0142,0.0398,-0.0008
620.5,0.0097,0.0334,0.0314,0.0162,0.0110,0.0161,0.0259,0.0082,0.0141,0.0397,-0.0009
621.0,0.0097,0.0333,0.0312,0.0162,0.0109,0.0161,0.0259,0.0082,0.0141,0.0396,-0.0009
621.5,0.0097,0.0332,0.0311,0.0162,0.0109,0.0160,0.0259,0.0082,0.0140,0.0396,-0.0009
622.0,0.0097,0.0332,0.0309,0.0162,0.0109,0.0161,0.0260,0.0082,0.0140,0.0395,-0.0009
622.5,0.0097,0.0331,0.0308,0.0162,0.0108,0.0160,0.0260,0.0082,0.0139,0.0394,-0.0009
623.0,0.0097,0.0331,0.0307,0.0162,0.0109,0.0159,0.0261,0.0082,0.0139,0.0393,-0.0008
623.5,0.0097,0.0330,0.0305,0.0162,0.0109,0.0159,0.0261,0.0082,0.0139,0.0393,-0.0009
624.0,0.0097,0.0330,0.0303,0.0161,0.0108,0.0159,0.0261,0.0081,0.0139,0.0392,-0.0009
624.5,0.0097,0.0330,0.0302,0.0161,0.0108,0.0159,0.0261,0.0081,0.0138,0.0391,-0.0009
625.0,0.0097,0.0330,0.0300,0.0160,0.0107,0.0158,0.0262,0.0081,0.0138,0.0391,-0.0009
625.5,0.0097,0.0330,0.0299,0.0161,0.0107,0.0158,0.0262,0.0081,0.0138,0.0390,-0.0009
626.0,0.0097,0.0330,0.0298,0.0161,0.0107,0.0158,0.0263,0.0081,0.0138,0.0390,-0.0009
626.5,0.0096,0.0330,0.0297,0.0160,0.0106,0.0158,0.0263,0.0081,0.0137,0.0390,-0.0009
627.0,0.0097,0.0330,0.0296,0.0161,0.0106,0.0158,0.0264,0.0081,0.0138,0.0390,-0.0009
627.5,0.0097,0.0330,0.0296,0.0161,0.0106,0.0157,0.0264,0.0082,0.0137,0.0390,-0.0009
628.0,0.0096,0.0331,0.0295,0.0161,0.0105,0.0157,0.0265,0.0081,0.0137,0.0390,-0.0009
628.5,0.0097,0.0332,0.0295,0.0161,0.0106,0.0157,0.0265,0.0082,0.0138,0.0391,-0.0009
629.0,0.0096,0.0332,0.0294,0.0162,0.0105,0.0156,0.0265,0.0082,0.0137,0.0392,-0.0009
629.5,0.0097,0.0334,0.0294,0.0163,0.0106,0.0156,0.0266,0.0083,0.0138,0.0395,-0.0009
630.0,0.0097,0.0335,0.0294,0.0164,0.0105,0.0155,0.0266,0.0083,0.0138,0.0396,-0.0009
630.5,0.0097,0.0335,0.0293,0.0164,0.0106,0.0155,0.0267,0.0084,0.0138,0.0398,-0.0009
631.0,0.0097,0.0337,0.0294,0.0166,0.0106,0.0154,0.0267,0.0084,0.0139,0.0401,-0.0009
631.5,0.0097,0.0339,0.0293,0.0167,0.0106,0.0154,0.0268,0.0085,0.0139,0.0403,-0.0008
632.0,0.0097,0.0340,0.0293,0.0168,0.0106,0.0153,0.0267,0.0085,0.0140,0.0406,-0.0009
632.5,0.0098,0.0342,0.0293,0.0169,0.0106,0.0153,0.0268,0.0086,0.0140,0.0408,-0.0009
633.0,0.0098,0.0344,0.0294,0.0171,0.0107,0.0153,0.0268,0.0087,0.0141,0.0411,-0.0008
633.5,0.0098,0.0346,0.0294,0.0172,0.0107,0.0153,0.0268,0.0088,0.0142,0.0415,-0.0009
634.0,0.0098,0.0349,0.0294,0.0174,0.0107,0.0152,0.0268,0.0089,0.0142,0.0418,-0.0009
634.5,0.0098,0.0351,0.0295,0.0175,0.0108,0.0153,0.0269,0.0090,0.0143,0.0422,-0.0009
635.0,0.0099,0.0354,0.0296,0.0178,0.0108,0.0153,0.0269,0.0091,0.0145,0.0426,-0.0009
635.5,0.0099,0.0357,0.0296,0.0181,0.0109,0.0154,0.0269,0.0092,0.0146,0.0430,-0.0008
636.0,0.0100,0.0360,0.0298,0.0182,0.0109,0.0154,0.0270,0.0093,0.0147,0.0434,-0.0008
636.5,0.0101,0.0364,0.0300,0.0185,0.0110,0.0155,0.0271,0.0094,0.0149,0.0439,-0.0008
637.0,0.0102,0.0367,0.0301,0.0187,0.0110,0.0156,0.0271,0.0096,0.0150,0.0445,-0.0008
637.5,0.0103,0.0372,0.0303,0.0190,0.0111,0.0156,0.0272,0.0097,0.0152,0.0452,-0.0008
638.0,0.0103,0.0375,0.0305,0.0193,0.0112,0.0156,0.0273,0.0099,0.0153,0.0458,-0.0008
638.5,0.0105,0.0380,0.0308,0.0196,0.0113,0.0157,0.0273,0.0100,0.0155,0.0466,-0.0008
639.0,0.0106,0.0385,0.0311,0.0199,0.0113,0.0158,0.0274,0.0103,0.0157,0.0474,-0.0008
639.5,0.0107,0.0389,0.0314,0.0202,0.0114,0.0159,0.0276,0.0105,0.0159,0.0482,-0.0008
640.0,0.0108,0.0395,0.0318,0.0206,0.0115,0.0160,0.0277,0.0107,0.0162,0.0490,-0.0008
640.5,0.0109,0.0401,0.0322,0.0210,0.0116,0.0160,0.0279,0.0109,0.0164,0.0501,-0.0008
641.0,0.0111,0.0407,0.0326,0.0214,0.0118,0.0162,0.0281,0.0112,0.0167,0.0511,-0.0008
641.5,0.0114,0.0415,0.0332,0.0219,0.0120,0.0163,0.0283,0.0115,0.0170,0.0524,-0.0008
642.0,0.0115,0.0422,0.0337,0.0223,0.0121,0.0164,0.0285,0.0118,0.0173,0.0535,-0.0008
642.5,0.0117,0.0428,0.0341,0.0228,0.0122,0.0165,0.0288,0.0120,0.0176,0.0547,-0.0008
