"runid","sample_id","pre","post","pre750","post750","file"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
"Abs.10","L60_210611","multiple_peaks","multiple_peaks",2e-04,7e-04,"22020r1.csv"
"Abs.5","LM-ARB_210603","665","664",0.0075,0.0073,"22020r1.csv"
"Abs.6","MDT_210610","665","664",0.0165,0.0162,"22020r1.csv"
"Abs.1","O-S_210611","multiple_peaks","multiple_peaks",0.0184,0.0163,"22020r1.csv"
"Abs.4","UM-ARB_210603","665","664",6e-04,2e-04,"22020r1.csv"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
"Abs.10","L60_210611","multiple_peaks","multiple_peaks",2e-04,7e-04,"22020r1.csv"
"Abs.5","LM-ARB_210603","665","664",0.0075,0.0073,"22020r1.csv"
"Abs.6","MDT_210610","665","664",0.0165,0.0162,"22020r1.csv"
"Abs.1","O-S_210611","multiple_peaks","multiple_peaks",0.0184,0.0163,"22020r1.csv"
"Abs.4","UM-ARB_210603","665","664",6e-04,2e-04,"22020r1.csv"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
"Abs.10","L60_210611","multiple_peaks","multiple_peaks",2e-04,7e-04,"22020r1.csv"
"Abs.5","LM-ARB_210603","665","664",0.0075,0.0073,"22020r1.csv"
"Abs.6","MDT_210610","665","664",0.0165,0.0162,"22020r1.csv"
"Abs.1","O-S_210611","multiple_peaks","multiple_peaks",0.0184,0.0163,"22020r1.csv"
"Abs.4","UM-ARB_210603","665","664",6e-04,2e-04,"22020r1.csv"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
"Abs.10","L60_210611","multiple_peaks","multiple_peaks",2e-04,7e-04,"22020r1.csv"
"Abs.5","LM-ARB_210603","665","664",0.0075,0.0073,"22020r1.csv"
"Abs.6","MDT_210610","665","664",0.0165,0.0162,"22020r1.csv"
"Abs.1","O-S_210611","multiple_peaks","multiple_peaks",0.0184,0.0163,"22020r1.csv"
"Abs.4","UM-ARB_210603","665","664",6e-04,2e-04,"22020r1.csv"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
"Abs.10","L60_210611","multiple_peaks","multiple_peaks",2e-04,7e-04,"22020r1.csv"
"Abs.5","LM-ARB_210603","665","664",0.0075,0.0073,"22020r1.csv"
"Abs.6","MDT_210610","665","664",0.0165,0.0162,"22020r1.csv"
"Abs.1","O-S_210611","multiple_peaks","multiple_peaks",0.0184,0.0163,"22020r1.csv"
"Abs.4","UM-ARB_210603","665","664",6e-04,2e-04,"22020r1.csv"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
"Abs.10","L60_210611","multiple_peaks","multiple_peaks",2e-04,7e-04,"22020r1.csv"
"Abs.5","LM-ARB_210603","665","664",0.0075,0.0073,"22020r1.csv"
"Abs.6","MDT_210610","665","664",0.0165,0.0162,"22020r1.csv"
"Abs.1","O-S_210611","multiple_peaks","multiple_peaks",0.0184,0.0163,"22020r1.csv"
"Abs.4","UM-ARB_210603","665","664",6e-04,2e-04,"22020r1.csv"
"Abs.8","ALC_210608","multiple_peaks","664",0,0,"22020r1.csv"
"Abs.11","BLA",,,0,0,"22020r1.csv"
"Abs.3","CAP_210607","multiple_peaks","664",0.0038,0.0037,"22020r1.csv"
"Abs.2","ELV_210608","665","664",8e-04,0.0014,"22020r1.csv"
"Abs.7","HP_210610","664","664",0.0055,0.0068,"22020r1.csv"
"Abs.9","KP_210611","664","664",0.011,0.0135,"22020r1.csv"
