sample_id,pond,date,chla,day
DOBA7_210712,DOBA7,2021-07-12,88.8,07-12
KP_210714,KP,2021-07-14,269.8,07-14
L60_210713,L60,2021-07-13,223.3,07-13
LM-ARB_210713,LM-ARB,2021-07-13,157.2,07-13
O-N_210714,O-N,2021-07-14,35.2,07-14
O-S_210714,O-S,2021-07-14,7.1,07-14
OPP-E_210712,OPP-E,2021-07-12,191.1,07-12
OPP-W_210712,OPP-W,2021-07-12,488.8,07-12
UM-ARB_210713,UM-ARB,2021-07-13,137.3,07-13
CAP_210716,CAP,2021-07-16,10,07-16
DCSW1_210719,DCSW1,2021-07-19,5.9,07-19
DCSW2_210719,DCSW2,2021-07-19,44.7,07-19
DCSW3_210719,DCSW3,2021-07-19,11.7,07-19
DOBA4_210716,DOBA4,2021-07-16,102,07-16
DOBA5_210716,DOBA5,2021-07-16,161.2,07-16
DOBA8_210720,DOBA8,2021-07-20,28.8,07-20
ELV_210720,ELV,2021-07-20,23.8,07-20
MDT_210720,MDT,2021-07-20,36,07-20
ALC_210721,ALC,2021-07-21,40.2,07-21
DOBA7_210727,DOBA7,2021-07-27,113.2,07-27
DOBA8_210726,DOBA8,2021-07-26,40.6,07-26
ELV_210726,ELV,2021-07-26,28.4,07-26
HP_210721,HP,2021-07-21,14.6,07-21
HP_210726,HP,2021-07-26,12.1,07-26
KP_210727,KP,2021-07-27,63.3,07-27
L60_210726,L60,2021-07-26,45,07-26
MDT_210726,MDT,2021-07-26,25.4,07-26
ALC_210727,ALC,2021-07-27,40,07-27
CAP_210729,CAP,2021-07-29,14.8,07-29
DCSW1_210729,DCSW1,2021-07-29,13.4,07-29
DCSW2_210729,DCSW2,2021-07-29,71.1,07-29
DCSW3_210729,DCSW3,2021-07-29,11.3,07-29
DOBA4_210729,DOBA4,2021-07-29,137.3,07-29
DOBA5_210729,DOBA5,2021-07-29,304.8,07-29
O-N_210727,O-N,2021-07-27,46.2,07-27
O-S_210727,O-S,2021-07-27,28.2,07-27
ALC_210802,ALC,2021-08-02,106.7,08-02
LM-ARB_210730,LM-ARB,2021-07-30,163.4,07-30
LM-ARB_210802,LM-ARB,2021-08-02,76.1,08-02
OPP-E_210730,OPP-E,2021-07-30,215.2,07-30
OPP-E_210803,OPP-E,2021-08-03,377.8,08-03
OPP-W_210730,OPP-W,2021-07-30,359.5,07-30
OPP-W_210803,OPP-W,2021-08-03,335.1,08-03
UM-ARB_210730,UM-ARB,2021-07-30,127.9,07-30
UM-ARB_210802,UM-ARB,2021-08-02,91.8,08-02
DCSW2_210804,DCSW2,2021-08-04,65.1,08-04
DCSW3_210804,DCSW3,2021-08-04,17.5,08-04
DOBA4_210804,DOBA4,2021-08-04,70.1,08-04
DOBA5_210804,DOBA5,2021-08-04,378.7,08-04
DOBA7_210803,DOBA7,2021-08-03,110.6,08-03
ELV_210803,ELV,2021-08-03,37.7,08-03
KP_210803,KP,2021-08-03,35.3,08-03
O-N_210803,O-N,2021-08-03,51,08-03
O-S_210803,O-S,2021-08-03,53.3,08-03
CAP_210804,CAP,2021-08-04,6.6,08-04
DCSW1_210804,DCSW1,2021-08-04,15.3,08-04
DOBA8_210805,DOBA8,2021-08-05,44,08-05
HP_210805,HP,2021-08-05,6.2,08-05
L60_210805,L60,2021-08-05,52.2,08-05
MDT_210805,MDT,2021-08-05,37.3,08-05
ALC_210608,ALC,2021-06-08,13.4,06-08
CAP_210607,CAP,2021-06-07,14.9,06-07
ELV_210608,ELV,2021-06-08,20.1,06-08
HP_210610,HP,2021-06-10,29,06-10
KP_210611,KP,2021-06-11,48.8,06-11
L60_210611,L60,2021-06-11,6.3,06-11
LM-ARB_210603,LM-ARB,2021-06-03,91.1,06-03
MDT_210610,MDT,2021-06-10,9.2,06-10
O-S_210611,O-S,2021-06-11,17.7,06-11
UM-ARB_210603,UM-ARB,2021-06-03,127,06-03
DCSW1_210609,DCSW1,2021-06-09,2.3,06-09
DCSW2_210609,DCSW2,2021-06-09,10.9,06-09
DCSW3_210609,DCSW3,2021-06-09,2,06-09
