"runid","sample_id","pre","post","pre750","post750","file"
"Abs.10","BLA",,,0,6e-04,"22030r1.csv"
"Abs.3","DOBA7_210712","664","664",0.0044,0.0046,"22030r1.csv"
"Abs.9","KP_210714","665","665",0.0109,0.0114,"22030r1.csv"
"Abs.5","L60_210713","666","666",0.0194,0.0191,"22030r1.csv"
"Abs.4","LM-ARB_210713","665","664",0.0041,0.0056,"22030r1.csv"
"Abs.7","O-N_210714","664","664",0.0203,0.0104,"22030r1.csv"
"Abs.8","O-S_210714","664","665",0.009,0.0112,"22030r1.csv"
"Abs.2","OPP-E_210712","664","664",0.0044,0.0068,"22030r1.csv"
"Abs.1","OPP-W_210712","664","665",0.0079,0.0058,"22030r1.csv"
"Abs.6","UM-ARB_210713","multiple_peaks","664",0.0083,0.0131,"22030r1.csv"
"Abs.10","BLA",,,6e-04,0,"22030r2.csv"
"Abs.3","CAP_210716","665","multiple_peaks",0.0077,0.0081,"22030r2.csv"
"Abs.4","DCSW1_210719","multiple_peaks","664",0.0175,0.0201,"22030r2.csv"
"Abs.6","DCSW2_210719","665","665",0.0036,0.003,"22030r2.csv"
"Abs.5","DCSW3_210719","664","multiple_peaks",0.0052,0.0053,"22030r2.csv"
"Abs.1","DOBA4_210716","665","664",0.0097,0.0075,"22030r2.csv"
"Abs.2","DOBA5_210716","665","665",0.0049,0.0049,"22030r2.csv"
"Abs.8","DOBA8_210720","664","multiple_peaks",0.0061,0.0067,"22030r2.csv"
"Abs.9","ELV_210720","665","664",0.0053,0.0105,"22030r2.csv"
"Abs.7","MDT_210720","multiple_peaks","multiple_peaks",0.0034,0.0061,"22030r2.csv"
"Abs.10","BLA",,,0,6e-04,"22030r1.csv"
"Abs.3","DOBA7_210712","664","664",0.0044,0.0046,"22030r1.csv"
"Abs.9","KP_210714","665","665",0.0109,0.0114,"22030r1.csv"
"Abs.5","L60_210713","666","666",0.0194,0.0191,"22030r1.csv"
"Abs.4","LM-ARB_210713","665","664",0.0041,0.0056,"22030r1.csv"
"Abs.7","O-N_210714","664","664",0.0203,0.0104,"22030r1.csv"
"Abs.8","O-S_210714","664","665",0.009,0.0112,"22030r1.csv"
"Abs.2","OPP-E_210712","664","664",0.0044,0.0068,"22030r1.csv"
"Abs.1","OPP-W_210712","664","665",0.0079,0.0058,"22030r1.csv"
"Abs.6","UM-ARB_210713","multiple_peaks","664",0.0083,0.0131,"22030r1.csv"
"Abs.10","BLA",,,6e-04,0,"22030r2.csv"
"Abs.3","CAP_210716","665","multiple_peaks",0.0077,0.0081,"22030r2.csv"
"Abs.4","DCSW1_210719","multiple_peaks","664",0.0175,0.0201,"22030r2.csv"
"Abs.6","DCSW2_210719","665","665",0.0036,0.003,"22030r2.csv"
"Abs.5","DCSW3_210719","664","multiple_peaks",0.0052,0.0053,"22030r2.csv"
"Abs.1","DOBA4_210716","665","664",0.0097,0.0075,"22030r2.csv"
"Abs.2","DOBA5_210716","665","665",0.0049,0.0049,"22030r2.csv"
"Abs.8","DOBA8_210720","664","multiple_peaks",0.0061,0.0067,"22030r2.csv"
"Abs.9","ELV_210720","665","664",0.0053,0.0105,"22030r2.csv"
"Abs.7","MDT_210720","multiple_peaks","multiple_peaks",0.0034,0.0061,"22030r2.csv"
"Abs.1","ALC_210721","664","664",0.0052,0.006,"22030r3.csv"
"Abs.10","BLA",,,0,0.0014,"22030r3.csv"
"Abs.9","DOBA7_210727","665","664",0.006,0.0086,"22030r3.csv"
"Abs.6","DOBA8_210726","multiple_peaks","multiple_peaks",0.005,0.0075,"22030r3.csv"
"Abs.5","ELV_210726","665","664",0.014,0.0183,"22030r3.csv"
"Abs.2","HP_210721","664","663",0.0029,0.0029,"22030r3.csv"
"Abs.4","HP_210726","multiple_peaks","multiple_peaks",0.005,0.0073,"22030r3.csv"
"Abs.8","KP_210727","664","multiple_peaks",0.0095,0.0097,"22030r3.csv"
"Abs.3","L60_210726","667","multiple_peaks",0.0132,0.0112,"22030r3.csv"
"Abs.7","MDT_210726","664","664",0.0129,0.0112,"22030r3.csv"
"Abs.1","ALC_210727","664","664",0.0052,0.0073,"22030r4.csv"
"Abs.10","BLA",,,0,0,"22030r4.csv"
"Abs.4","CAP_210729","multiple_peaks","664",0.0081,0.014,"22030r4.csv"
"Abs.5","DCSW1_210729","664","664",0.0062,0.0081,"22030r4.csv"
"Abs.6","DCSW2_210729","664","664",0.0012,0.0021,"22030r4.csv"
"Abs.7","DCSW3_210729","664","664",0.0019,0.0035,"22030r4.csv"
"Abs.8","DOBA4_210729","664","662",0.0083,0.0049,"22030r4.csv"
"Abs.9","DOBA5_210729","665","664",0.0165,0.0223,"22030r4.csv"
"Abs.3","O-N_210727","664","664",0.0039,0.0048,"22030r4.csv"
"Abs.2","O-S_210727","665","multiple_peaks",0.0034,0.0043,"22030r4.csv"
"Abs.5","ALC_210802","664","664",0.0112,0.0075,"22030r5.csv"
"Abs.10","BLA",,,0.0017,0.0018,"22030r5.csv"
"Abs.8","LM-ARB_210730","multiple_peaks","664",0.0253,0.024,"22030r5.csv"
"Abs.3","LM-ARB_210802","665","662",0.0043,0.0052,"22030r5.csv"
"Abs.1","OPP-E_210730","664","664",0.0097,0.013,"22030r5.csv"
