"runid","sample_id","pre","post","pre750","post750","file"
"Abs.6","ALC_220113","659","664",3e-04,0.0017,"22030r1.csv"
"Abs.11","BLA",,,0,0,"22030r1.csv"
"Abs.10","DCSW1_220113","665","multiple_peaks",0.0039,0.0055,"22030r1.csv"
"Abs.9","DCSW3_220113","665","664",0.0014,0.0014,"22030r1.csv"
"Abs.8","DOBA4_220113","665","665",0.0055,0.0043,"22030r1.csv"
"Abs.7","DOBA5_220113","665","663",7e-04,0,"22030r1.csv"
"Abs.1","HP_220112","664","multiple_peaks",0.0045,0.005,"22030r1.csv"
"Abs.2","LM-ARB_220112","665","665",0.002,0.0043,"22030r1.csv"
"Abs.3","OPP-E_220112","665","665",0.0025,0.0048,"22030r1.csv"
"Abs.4","OPP-W_220112","664","662",0.0034,0.002,"22030r1.csv"
"Abs.5","UM-ARB_220112","665","multiple_peaks",0.0037,0.0037,"22030r1.csv"
"Abs.11","BLA",,,0,0,"22030r2.csv"
"Abs.2","CAP_220113","multiple_peaks","664",0.0032,0.0061,"22030r2.csv"
"Abs.1","DCSW2_220113","665","666",0.0047,0.0065,"22030r2.csv"
"Abs.5","DOBA7_220114","664","664",0,3e-04,"22030r2.csv"
"Abs.7","DOBA8_220114","664","multiple_peaks",0.0066,0.0038,"22030r2.csv"
"Abs.4","ELV_220114","665","661",0.0061,0.001,"22030r2.csv"
"Abs.10","KP_220114","663","664",0.0041,0.0024,"22030r2.csv"
"Abs.3","L60_220113","665","multiple_peaks",0.0011,3e-04,"22030r2.csv"
"Abs.6","MDT_220114","665","665",0.0037,0.0016,"22030r2.csv"
"Abs.9","O-N_220114","665","661",0.0074,0,"22030r2.csv"
"Abs.8","O-S_220114","662","multiple_peaks",0.0053,0.0085,"22030r2.csv"
"Abs.6","ALC_220113","659","664",3e-04,0.0017,"22030r1.csv"
"Abs.11","BLA",,,0,0,"22030r1.csv"
"Abs.10","DCSW1_220113","665","multiple_peaks",0.0039,0.0055,"22030r1.csv"
"Abs.9","DCSW3_220113","665","664",0.0014,0.0014,"22030r1.csv"
"Abs.8","DOBA4_220113","665","665",0.0055,0.0043,"22030r1.csv"
