Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 12:33 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DOBA4_210716,,100
2,DOBA5_210716,,200
3,CAP_210716,,200
4,DCSW1_210719,,400
5,DCSW3_210719,,400
6,DCSW2_210719,,300
7,MDT_210720,,200
8,DOBA8_210720,,100
9,ELV_210720,,200
10,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600.0,0.0223,0.0419,0.0115,0.0327,0.0115,0.0209,0.0149,0.0139,0.0189,-0.0020
600.5,0.0225,0.0426,0.0115,0.0327,0.0116,0.0212,0.0150,0.0139,0.0190,-0.0020
601.0,0.0228,0.0435,0.0115,0.0327,0.0117,0.0215,0.0151,0.0140,0.0191,-0.0020
601.5,0.0231,0.0442,0.0115,0.0327,0.0118,0.0217,0.0152,0.0140,0.0192,-0.0020
602.0,0.0233,0.0448,0.0115,0.0327,0.0119,0.0220,0.0153,0.0140,0.0193,-0.0020
602.5,0.0235,0.0455,0.0115,0.0327,0.0119,0.0222,0.0154,0.0140,0.0194,-0.0020
603.0,0.0237,0.0461,0.0116,0.0327,0.0120,0.0224,0.0154,0.0141,0.0194,-0.0020
603.5,0.0239,0.0466,0.0116,0.0327,0.0120,0.0225,0.0155,0.0141,0.0195,-0.0020
604.0,0.0241,0.0471,0.0116,0.0326,0.0121,0.0227,0.0155,0.0141,0.0196,-0.0020
604.5,0.0243,0.0474,0.0116,0.0326,0.0122,0.0229,0.0155,0.0141,0.0196,-0.0019
605.0,0.0244,0.0478,0.0116,0.0326,0.0122,0.0230,0.0156,0.0141,0.0197,-0.0019
605.5,0.0245,0.0480,0.0115,0.0325,0.0122,0.0230,0.0155,0.0141,0.0197,-0.0020
606.0,0.0246,0.0481,0.0115,0.0324,0.0122,0.0231,0.0155,0.0141,0.0197,-0.0020
606.5,0.0246,0.0483,0.0115,0.0324,0.0123,0.0231,0.0155,0.0141,0.0197,-0.0019
607.0,0.0246,0.0483,0.0115,0.0323,0.0123,0.0231,0.0155,0.0140,0.0197,-0.0020
607.5,0.0247,0.0483,0.0115,0.0322,0.0123,0.0231,0.0154,0.0140,0.0197,-0.0020
608.0,0.0247,0.0482,0.0114,0.0322,0.0122,0.0230,0.0153,0.0140,0.0196,-0.0020
608.5,0.0247,0.0481,0.0114,0.0322,0.0122,0.0229,0.0153,0.0140,0.0196,-0.0020
609.0,0.0247,0.0479,0.0114,0.0321,0.0122,0.0228,0.0152,0.0139,0.0195,-0.0019
609.5,0.0247,0.0477,0.0114,0.0320,0.0122,0.0227,0.0151,0.0139,0.0195,-0.0019
610.0,0.0246,0.0473,0.0113,0.0318,0.0121,0.0226,0.0149,0.0138,0.0195,-0.0020
610.5,0.0246,0.0470,0.0114,0.0318,0.0121,0.0225,0.0149,0.0138,0.0194,-0.0019
611.0,0.0245,0.0466,0.0113,0.0317,0.0120,0.0223,0.0148,0.0138,0.0194,-0.0019
611.5,0.0244,0.0461,0.0113,0.0316,0.0119,0.0220,0.0146,0.0137,0.0193,-0.0020
612.0,0.0243,0.0457,0.0112,0.0315,0.0119,0.0219,0.0145,0.0136,0.0192,-0.0020
612.5,0.0243,0.0451,0.0112,0.0315,0.0118,0.0216,0.0143,0.0136,0.0191,-0.0019
613.0,0.0242,0.0445,0.0112,0.0313,0.0118,0.0214,0.0143,0.0135,0.0190,-0.0019
613.5,0.0241,0.0440,0.0111,0.0312,0.0117,0.0212,0.0142,0.0135,0.0189,-0.0019
614.0,0.0240,0.0433,0.0111,0.0310,0.0115,0.0208,0.0140,0.0134,0.0188,-0.0019
614.5,0.0239,0.0427,0.0111,0.0309,0.0115,0.0206,0.0138,0.0133,0.0187,-0.0019
615.0,0.0238,0.0421,0.0110,0.0307,0.0114,0.0203,0.0137,0.0133,0.0187,-0.0019
615.5,0.0237,0.0413,0.0110,0.0306,0.0113,0.0200,0.0135,0.0132,0.0186,-0.0019
616.0,0.0236,0.0407,0.0110,0.0305,0.0113,0.0198,0.0134,0.0132,0.0185,-0.0019
616.5,0.0235,0.0402,0.0109,0.0304,0.0112,0.0195,0.0133,0.0131,0.0184,-0.0019
617.0,0.0234,0.0394,0.0109,0.0302,0.0111,0.0193,0.0132,0.0131,0.0183,-0.0019
617.5,0.0232,0.0387,0.0109,0.0301,0.0110,0.0190,0.0130,0.0130,0.0182,-0.0019
618.0,0.0232,0.0382,0.0108,0.0300,0.0110,0.0188,0.0129,0.0129,0.0181,-0.0019
618.5,0.0231,0.0375,0.0108,0.0298,0.0109,0.0185,0.0128,0.0129,0.0181,-0.0018
619.0,0.0230,0.0370,0.0108,0.0297,0.0108,0.0183,0.0127,0.0129,0.0180,-0.0019
619.5,0.0229,0.0364,0.0108,0.0296,0.0108,0.0181,0.0126,0.0128,0.0179,-0.0018
620.0,0.0228,0.0357,0.0107,0.0294,0.0106,0.0178,0.0125,0.0127,0.0178,-0.0019
