Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 12:44 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,ALC_210721,,100
2,HP_210721,,300
3,L60_210726,,100
4,HP_210726,,200
5,ELV_210726,,200
6,DOBA8_210726,,100
7,MDT_210726,,100
8,KP_210727,,100
9,DOBA8_210726,,100
10,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600.0,0.0122,0.0108,0.0193,0.0102,0.0285,0.0103,0.0200,0.0219,0.0248,-0.0017
600.5,0.0123,0.0108,0.0193,0.0103,0.0286,0.0104,0.0202,0.0220,0.0250,-0.0017
601.0,0.0124,0.0109,0.0194,0.0103,0.0288,0.0105,0.0203,0.0221,0.0253,-0.0017
601.5,0.0125,0.0111,0.0195,0.0103,0.0289,0.0105,0.0204,0.0222,0.0255,-0.0017
602.0,0.0126,0.0112,0.0195,0.0104,0.0291,0.0107,0.0205,0.0223,0.0258,-0.0017
602.5,0.0127,0.0113,0.0196,0.0104,0.0292,0.0107,0.0206,0.0225,0.0261,-0.0017
603.0,0.0128,0.0114,0.0197,0.0105,0.0293,0.0108,0.0208,0.0226,0.0264,-0.0016
603.5,0.0129,0.0115,0.0197,0.0105,0.0295,0.0109,0.0210,0.0227,0.0266,-0.0016
604.0,0.0130,0.0116,0.0198,0.0106,0.0297,0.0110,0.0212,0.0228,0.0270,-0.0017
604.5,0.0131,0.0117,0.0198,0.0106,0.0300,0.0110,0.0213,0.0229,0.0273,-0.0017
