Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 12:52 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,ALC_210721,,100
2,HP_210721,,300
3,L60_210726,,100
4,HP_210726,,200
5,ELV_210726,,200
6,DOBA8_210726,,100
7,MDT_210726,,100
8,KP_210727,,100
9,DOBA7_210727,,100
10,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600.0,0.0118,0.0071,0.0168,0.0099,0.0267,0.0109,0.0174,0.0218,0.0197,0.0009
600.5,0.0119,0.0072,0.0169,0.0100,0.0268,0.0109,0.0175,0.0220,0.0200,0.0009
601.0,0.0120,0.0072,0.0170,0.0100,0.0269,0.0110,0.0176,0.0220,0.0202,0.0009
601.5,0.0121,0.0073,0.0170,0.0102,0.0270,0.0111,0.0176,0.0222,0.0205,0.0009
602.0,0.0122,0.0074,0.0171,0.0102,0.0271,0.0112,0.0176,0.0222,0.0207,0.0009
602.5,0.0123,0.0075,0.0172,0.0103,0.0271,0.0112,0.0177,0.0223,0.0209,0.0009
603.0,0.0124,0.0075,0.0173,0.0104,0.0272,0.0113,0.0177,0.0224,0.0211,0.0009
603.5,0.0125,0.0076,0.0173,0.0105,0.0273,0.0113,0.0178,0.0224,0.0213,0.0009
604.0,0.0126,0.0076,0.0174,0.0106,0.0273,0.0113,0.0178,0.0225,0.0214,0.0009
604.5,0.0126,0.0077,0.0174,0.0106,0.0273,0.0114,0.0178,0.0225,0.0215,0.0009
605.0,0.0127,0.0077,0.0175,0.0107,0.0273,0.0114,0.0178,0.0225,0.0216,0.0010
605.5,0.0128,0.0077,0.0174,0.0107,0.0273,0.0114,0.0178,0.0224,0.0217,0.0009
606.0,0.0128,0.0077,0.0175,0.0108,0.0273,0.0114,0.0178,0.0224,0.0217,0.0009
