Wavelength Scan - Scanning,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8002850,,,,,,,
Software Version:,,,"2.1,  Build 5",,,,,,,
Firmware Version:,,,2.0.102,,,,,,,
Method Name:,,,LTER Chl,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
,,,,,,,,,,
#,Filename,Acquired,,,,,,,,
1,,3/1/2022 13:04,,,,,,,,
,,,,,,,,,,
Scan Mode:,,,Abs,,,,,,,
Start Wavelength:,,,600.0 nm,,,,,,,
End Wavelength:,,,775.0 nm,,,,,,,
Wavelength Interval:,,,0.5 nm,,,,,,,
Scan Speed:,,,600 nm/min,,,,,,,
,,,,,,,,,,
,Sample Name,,Description,,,,,,,
1,ALC_210727,,100,,,,,,,
2,O-S_210727,,200,,,,,,,
3,O-N_210727,,100,,,,,,,
4,CAP_210729,,100,,,,,,,
5,DCSW1_210729,,300,,,,,,,
6,DCSW2_210729,,100,,,,,,,
7,DCSW3_210729,,300,,,,,,,
8,DOBA4_210729,,100,,,,,,,
9,DOBA5_210729,,100,,,,,,,
10,BLA,,3000,,,,,,,
,,,,,,,,,,
nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600,0.0154,0.0162,0.0154,0.0131,0.0161,0.0207,0.0092,0.0388,0.067,-0.0009
600.5,0.0156,0.0163,0.0156,0.0131,0.0162,0.0207,0.0092,0.0391,0.0677,-0.0008
601,0.0157,0.0164,0.016,0.0133,0.0163,0.021,0.0093,0.0395,0.0686,-0.0008
601.5,0.0157,0.0164,0.0163,0.0133,0.0163,0.021,0.0093,0.0398,0.0693,-0.0008
602,0.0158,0.0165,0.0166,0.0133,0.0163,0.0211,0.0094,0.0401,0.07,-0.0008
602.5,0.0159,0.0166,0.0168,0.0134,0.0165,0.0212,0.0095,0.0405,0.0709,-0.0008
603,0.016,0.0167,0.0169,0.0134,0.0165,0.0212,0.0096,0.0407,0.0715,-0.0008
603.5,0.0161,0.0168,0.017,0.0134,0.0166,0.0212,0.0096,0.041,0.0723,-0.0008
604,0.0162,0.0169,0.0171,0.0134,0.0168,0.0211,0.0097,0.0413,0.0732,-0.0008
604.5,0.0162,0.017,0.0172,0.0134,0.0169,0.0211,0.0097,0.0415,0.0739,-0.0008
605,0.0163,0.0171,0.0173,0.0135,0.017,0.0211,0.0098,0.0418,0.0747,-0.0008
605.5,0.0164,0.0173,0.0175,0.0135,0.0172,0.0211,0.0099,0.0421,0.0756,-0.0009
606,0.0164,0.0173,0.0175,0.0135,0.0173,0.021,0.0099,0.0423,0.0762,-0.0009
606.5,0.0164,0.0174,0.0176,0.0135,0.0175,0.0208,0.01,0.0425,0.0768,-0.0008
607,0.0165,0.0173,0.0178,0.0135,0.0176,0.0206,0.0101,0.0427,0.0775,-0.0008
607.5,0.0165,0.0173,0.0179,0.0136,0.0178,0.0204,0.0101,0.0429,0.0781,-0.0008
608,0.0165,0.0173,0.018,0.0136,0.018,0.0202,0.0102,0.0431,0.0787,-0.0009
608.5,0.0166,0.0173,0.0182,0.0135,0.0181,0.0196,0.0102,0.0433,0.0793,-0.0009
609,0.0167,0.0173,0.0183,0.0136,0.0182,0.0193,0.0103,0.0435,0.0798,-0.0009
609.5,0.0167,0.0174,0.0185,0.0136,0.0183,0.0192,0.0104,0.0437,0.0803,-0.0009
610,0.0168,0.0175,0.0187,0.0137,0.0183,0.0192,0.0105,0.0438,0.0808,-0.0009
610.5,0.0168,0.0175,0.0188,0.0136,0.0184,0.0192,0.0105,0.0439,0.0812,-0.0009
611,0.0169,0.0175,0.0189,0.0136,0.0184,0.0193,0.0105,0.044,0.0817,-0.0008
611.5,0.0169,0.0176,0.0189,0.0136,0.0185,0.0194,0.0105,0.0442,0.0821,-0.0008
612,0.017,0.0176,0.019,0.0136,0.0185,0.0195,0.0106,0.0443,0.0824,-0.0008
612.5,0.017,0.0176,0.0189,0.0136,0.0186,0.0195,0.0107,0.0443,0.0826,-0.0009
613,0.017,0.0177,0.0188,0.0136,0.0186,0.0195,0.0107,0.0444,0.0829,-0.0009
613.5,0.0171,0.0177,0.0186,0.0136,0.0187,0.0196,0.0107,0.0444,0.0832,-0.0009
614,0.0172,0.0177,0.0183,0.0136,0.0187,0.0196,0.0108,0.0444,0.0834,-0.0009
614.5,0.0172,0.0177,0.018,0.0136,0.0188,0.0196,0.0108,0.0444,0.0837,-0.0009
615,0.0172,0.0177,0.0176,0.0135,0.0188,0.0196,0.0107,0.0444,0.0839,-0.0009
615.5,0.0172,0.0177,0.0172,0.0136,0.0188,0.0196,0.0108,0.0444,0.0842,-0.0009
616,0.0172,0.0176,0.0169,0.0135,0.0187,0.0196,0.0107,0.0443,0.0842,-0.0009
616.5,0.0172,0.0176,0.0167,0.0135,0.0186,0.0196,0.0107,0.0443,0.0844,-0.0009
617,0.0172,0.0176,0.0165,0.0135,0.0185,0.0196,0.0107,0.0441,0.0844,-0.0009
617.5,0.0172,0.0176,0.0164,0.0134,0.0184,0.0196,0.0106,0.044,0.0844,-0.0009
618,0.0172,0.0177,0.0163,0.0134,0.0183,0.0195,0.0106,0.0439,0.0844,-0.0009
618.5,0.0172,0.0177,0.0163,0.0134,0.0182,0.0195,0.0106,0.0438,0.0844,-0.0009
619,0.0172,0.0179,0.0164,0.0134,0.0181,0.0195,0.0106,0.0438,0.0844,-0.0009
619.5,0.0171,0.018,0.0164,0.0133,0.018,0.0194,0.0106,0.0436,0.0842,-0.0009
620,0.0171,0.0181,0.0164,0.0133,0.0179,0.0194,0.0106,0.0435,0.0841,-0.0009
620.5,0.017,0.0182,0.0165,0.0132,0.0179,0.0193,0.0106,0.0435,0.0839,-0.0009
621,0.017,0.0183,0.0166,0.0132,0.0179,0.0192,0.0107,0.0433,0.0837,-0.0009
621.5,0.0169,0.0184,0.0167,0.0131,0.0179,0.0191,0.0107,0.0432,0.0835,-0.0009
622,0.0169,0.0185,0.0167,0.013,0.0179,0.019,0.0107,0.0432,0.0832,-0.0009
622.5,0.0169,0.0186,0.0169,0.0129,0.018,0.0189,0.0107,0.0431,0.083,-0.0009
623,0.0169,0.0187,0.017,0.0129,0.0181,0.0188,0.0107,0.043,0.0827,-0.0008
623.5,0.0169,0.0188,0.0171,0.0128,0.0181,0.0187,0.0107,0.0429,0.0824,-0.0009
624,0.0169,0.0189,0.0172,0.0128,0.0182,0.0185,0.0108,0.0428,0.0822,-0.0009
624.5,0.0169,0.0189,0.0173,0.0128,0.0183,0.0185,0.0108,0.0428,0.082,-0.0009
625,0.0167,0.0188,0.0173,0.0127,0.0183,0.0184,0.0108,0.0428,0.0817,-0.0009
625.5,0.0167,0.0188,0.0174,0.0127,0.0184,0.0185,0.0109,0.0427,0.0815,-0.0009
626,0.0167,0.0187,0.0175,0.0127,0.0184,0.0185,0.0109,0.0427,0.0813,-0.0008
626.5,0.0167,0.0187,0.0176,0.0127,0.0184,0.0185,0.011,0.0427,0.081,-0.0009
627,0.0166,0.0187,0.0177,0.0127,0.0184,0.0185,0.011,0.0427,0.0808,-0.0008
627.5,0.0166,0.0187,0.0177,0.0127,0.0184,0.0186,0.011,0.0427,0.0806,-0.0009
628,0.0166,0.0186,0.0178,0.0126,0.0184,0.0186,0.0111,0.0427,0.0805,-0.0009
628.5,0.0165,0.0186,0.0179,0.0126,0.0183,0.0186,0.0111,0.0428,0.0803,-0.0009
629,0.0165,0.0187,0.018,0.0126,0.0184,0.0187,0.0112,0.0428,0.0804,-0.0009
629.5,0.0165,0.0187,0.0181,0.0126,0.0184,0.0188,0.0112,0.0429,0.0804,-0.0009
630,0.0166,0.0188,0.0182,0.0126,0.0183,0.0189,0.0113,0.043,0.0805,-0.0009
630.5,0.0165,0.0189,0.0182,0.0125,0.0182,0.0189,0.0113,0.043,0.0805,-0.0009
631,0.0165,0.019,0.0183,0.0126,0.0181,0.019,0.0113,0.0432,0.0806,-0.0009
631.5,0.0165,0.019,0.0184,0.0126,0.018,0.0191,0.0114,0.0433,0.0807,-0.0009
632,0.0164,0.019,0.0184,0.0126,0.0178,0.0193,0.0114,0.0434,0.0809,-0.0009
632.5,0.0164,0.0191,0.0184,0.0125,0.0178,0.0194,0.0114,0.0435,0.081,-0.0009
633,0.0164,0.0191,0.0184,0.0126,0.0176,0.0195,0.0114,0.0437,0.0812,-0.0009
633.5,0.0163,0.0192,0.0185,0.0126,0.0175,0.0197,0.0115,0.0439,0.0814,-0.0009
634,0.0163,0.0192,0.0185,0.0126,0.0174,0.0198,0.0115,0.0441,0.0816,-0.0009
634.5,0.0163,0.0193,0.0186,0.0126,0.0172,0.0199,0.0116,0.0443,0.0819,-0.0009
635,0.0164,0.0193,0.0187,0.0127,0.0171,0.0201,0.0118,0.0446,0.0825,-0.0009
635.5,0.0164,0.0194,0.0187,0.0127,0.017,0.0203,0.0119,0.0449,0.0829,-0.0009
636,0.0165,0.0194,0.0187,0.0127,0.0169,0.0204,0.0119,0.0452,0.0834,-0.0009
636.5,0.0165,0.0195,0.0186,0.0128,0.0169,0.0206,0.012,0.0455,0.0839,-0.001
637,0.0166,0.0196,0.0186,0.0128,0.0169,0.0208,0.0121,0.0459,0.0845,-0.001
