Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 1:33 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,OPP-E_210730,,100
2,OPP-W_210730,,68
3,LM-ARB_210802,,100
4,UM-ARB_210802,,100
5,ALC_210802,,100
6,OPP-E_210803,,90
7,OPP-W_210803,,95
8,LM-ARB_210730,,100
9,UM-ARB_210730,,100
10,Sample 10-1,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600.0,0.0599,0.0493,0.0178,0.0211,0.0333,0.0773,0.0785,0.0577,0.0334,0.0016
600.5,0.0606,0.0501,0.0180,0.0213,0.0336,0.0781,0.0795,0.0576,0.0337,0.0016
601.0,0.0613,0.0509,0.0182,0.0215,0.0339,0.0790,0.0807,0.0577,0.0340,0.0016
601.5,0.0619,0.0516,0.0184,0.0218,0.0342,0.0798,0.0816,0.0578,0.0343,0.0016
602.0,0.0624,0.0523,0.0185,0.0220,0.0344,0.0807,0.0824,0.0579,0.0346,0.0016
602.5,0.0631,0.0530,0.0187,0.0223,0.0347,0.0816,0.0835,0.0580,0.0350,0.0016
603.0,0.0636,0.0535,0.0188,0.0224,0.0349,0.0824,0.0842,0.0581,0.0353,0.0016
603.5,0.0641,0.0540,0.0189,0.0226,0.0351,0.0831,0.0848,0.0581,0.0356,0.0016
604.0,0.0646,0.0546,0.0191,0.0229,0.0354,0.0840,0.0856,0.0583,0.0359,0.0016
604.5,0.0651,0.0550,0.0193,0.0230,0.0356,0.0847,0.0861,0.0584,0.0361,0.0016
605.0,0.0655,0.0554,0.0195,0.0233,0.0358,0.0854,0.0867,0.0587,0.0365,0.0016
605.5,0.0659,0.0558,0.0196,0.0235,0.0361,0.0862,0.0871,0.0590,0.0368,0.0016
606.0,0.0662,0.0561,0.0198,0.0237,0.0363,0.0868,0.0875,0.0593,0.0371,0.0016
606.5,0.0666,0.0563,0.0200,0.0239,0.0365,0.0874,0.0878,0.0595,0.0374,0.0016
607.0,0.0670,0.0565,0.0202,0.0241,0.0367,0.0881,0.0880,0.0600,0.0378,0.0016
607.5,0.0672,0.0567,0.0203,0.0243,0.0369,0.0886,0.0883,0.0604,0.0381,0.0016
608.0,0.0675,0.0568,0.0204,0.0245,0.0370,0.0890,0.0884,0.0608,0.0384,0.0016
608.5,0.0679,0.0570,0.0205,0.0248,0.0372,0.0895,0.0885,0.0614,0.0387,0.0016
609.0,0.0681,0.0571,0.0207,0.0250,0.0373,0.0899,0.0885,0.0618,0.0389,0.0016
609.5,0.0683,0.0572,0.0208,0.0251,0.0375,0.0902,0.0884,0.0622,0.0391,0.0016
610.0,0.0684,0.0573,0.0209,0.0253,0.0376,0.0906,0.0882,0.0626,0.0394,0.0016
610.5,0.0686,0.0574,0.0211,0.0254,0.0377,0.0908,0.0879,0.0630,0.0396,0.0016
611.0,0.0688,0.0574,0.0211,0.0256,0.0377,0.0911,0.0876,0.0634,0.0398,0.0016
611.5,0.0690,0.0574,0.0212,0.0258,0.0378,0.0913,0.0873,0.0635,0.0400,0.0016
612.0,0.0691,0.0572,0.0212,0.0259,0.0379,0.0915,0.0870,0.0635,0.0402,0.0016
612.5,0.0692,0.0570,0.0212,0.0260,0.0380,0.0917,0.0864,0.0632,0.0403,0.0016
613.0,0.0692,0.0568,0.0212,0.0261,0.0380,0.0918,0.0860,0.0630,0.0404,0.0016
613.5,0.0693,0.0565,0.0212,0.0262,0.0382,0.0920,0.0855,0.0629,0.0405,0.0016
614.0,0.0692,0.0562,0.0212,0.0263,0.0385,0.0921,0.0848,0.0625,0.0405,0.0016
614.5,0.0690,0.0559,0.0211,0.0264,0.0389,0.0922,0.0843,0.0622,0.0406,0.0016
615.0,0.0689,0.0556,0.0212,0.0264,0.0395,0.0923,0.0837,0.0620,0.0406,0.0016
615.5,0.0688,0.0553,0.0212,0.0264,0.0402,0.0924,0.0832,0.0618,0.0406,0.0016
616.0,0.0687,0.0549,0.0211,0.0264,0.0406,0.0923,0.0827,0.0617,0.0407,0.0016
616.5,0.0687,0.0547,0.0212,0.0264,0.0409,0.0922,0.0823,0.0616,0.0407,0.0016
617.0,0.0685,0.0542,0.0211,0.0264,0.0411,0.0920,0.0817,0.0617,0.0407,0.0016
617.5,0.0683,0.0538,0.0211,0.0265,0.0412,0.0918,0.0813,0.0617,0.0407,0.0016
618.0,0.0682,0.0535,0.0210,0.0264,0.0412,0.0917,0.0809,0.0618,0.0406,0.0016
618.5,0.0681,0.0531,0.0211,0.0265,0.0413,0.0915,0.0805,0.0620,0.0407,0.0016
619.0,0.0681,0.0528,0.0211,0.0264,0.0415,0.0914,0.0801,0.0622,0.0406,0.0016
619.5,0.0680,0.0525,0.0211,0.0264,0.0416,0.0912,0.0798,0.0622,0.0406,0.0016
620.0,0.0680,0.0522,0.0211,0.0264,0.0418,0.0911,0.0795,0.0623,0.0406,0.0016
620.5,0.0681,0.0519,0.0211,0.0264,0.0419,0.0910,0.0793,0.0623,0.0406,0.0017
621.0,0.0682,0.0516,0.0209,0.0263,0.0418,0.0910,0.0789,0.0619,0.0405,0.0016
621.5,0.0683,0.0513,0.0209,0.0262,0.0418,0.0909,0.0788,0.0616,0.0405,0.0016
622.0,0.0684,0.0511,0.0208,0.0262,0.0417,0.0909,0.0787,0.0614,0.0404,0.0016
622.5,0.0686,0.0509,0.0208,0.0262,0.0417,0.0909,0.0786,0.0611,0.0404,0.0016
623.0,0.0688,0.0507,0.0207,0.0262,0.0415,0.0908,0.0785,0.0610,0.0403,0.0016
623.5,0.0689,0.0504,0.0207,0.0260,0.0415,0.0909,0.0785,0.0609,0.0403,0.0016
624.0,0.0691,0.0502,0.0207,0.0259,0.0415,0.0909,0.0784,0.0607,0.0402,0.0016
624.5,0.0695,0.0501,0.0207,0.0259,0.0416,0.0910,0.0783,0.0606,0.0402,0.0016
625.0,0.0698,0.0500,0.0207,0.0259,0.0417,0.0912,0.0782,0.0605,0.0401,0.0016
625.5,0.0700,0.0498,0.0207,0.0258,0.0420,0.0913,0.0782,0.0604,0.0400,0.0016
626.0,0.0702,0.0497,0.0207,0.0257,0.0422,0.0915,0.0781,0.0601,0.0400,0.0017
626.5,0.0705,0.0496,0.0207,0.0257,0.0426,0.0918,0.0781,0.0599,0.0400,0.0016
627.0,0.0706,0.0496,0.0207,0.0256,0.0428,0.0920,0.0781,0.0597,0.0399,0.0016
627.5,0.0708,0.0496,0.0207,0.0256,0.0429,0.0923,0.0782,0.0595,0.0399,0.0017
628.0,0.0711,0.0496,0.0207,0.0255,0.0430,0.0927,0.0783,0.0591,0.0399,0.0016
628.5,0.0714,0.0496,0.0207,0.0254,0.0431,0.0930,0.0784,0.0588,0.0400,0.0016
629.0,0.0717,0.0497,0.0207,0.0254,0.0431,0.0934,0.0786,0.0586,0.0400,0.0016
629.5,0.0721,0.0497,0.0206,0.0254,0.0431,0.0938,0.0789,0.0582,0.0400,0.0016
630.0,0.0724,0.0498,0.0206,0.0254,0.0431,0.0942,0.0791,0.0580,0.0400,0.0016
630.5,0.0727,0.0499,0.0205,0.0254,0.0432,0.0946,0.0794,0.0578,0.0400,0.0016
631.0,0.0732,0.0501,0.0206,0.0254,0.0434,0.0953,0.0798,0.0578,0.0401,0.0016
631.5,0.0735,0.0502,0.0206,0.0255,0.0435,0.0958,0.0801,0.0579,0.0402,0.0016
632.0,0.0739,0.0504,0.0208,0.0255,0.0437,0.0965,0.0807,0.0580,0.0403,0.0016
632.5,0.0742,0.0505,0.0209,0.0255,0.0439,0.0970,0.0810,0.0580,0.0404,0.0016
633.0,0.0746,0.0508,0.0211,0.0256,0.0441,0.0975,0.0814,0.0582,0.0405,0.0016
633.5,0.0752,0.0510,0.0213,0.0257,0.0441,0.0982,0.0820,0.0584,0.0407,0.0016
634.0,0.0757,0.0513,0.0214,0.0258,0.0439,0.0989,0.0825,0.0584,0.0409,0.0017
634.5,0.0762,0.0515,0.0215,0.0259,0.0436,0.0995,0.0830,0.0585,0.0411,0.0016
635.0,0.0768,0.0519,0.0216,0.0260,0.0429,0.1004,0.0838,0.0586,0.0414,0.0016
635.5,0.0774,0.0522,0.0218,0.0262,0.0422,0.1011,0.0845,0.0586,0.0417,0.0016
636.0,0.0780,0.0526,0.0219,0.0263,0.0414,0.1019,0.0851,0.0587,0.0420,0.0016
636.5,0.0787,0.0530,0.0219,0.0265,0.0408,0.1029,0.0859,0.0590,0.0422,0.0017
637.0,0.0793,0.0534,0.0220,0.0266,0.0405,0.1038,0.0868,0.0594,0.0425,0.0017
637.5,0.0801,0.0539,0.0222,0.0268,0.0407,0.1050,0.0880,0.0600,0.0429,0.0017
638.0,0.0806,0.0544,0.0222,0.0270,0.0410,0.1061,0.0890,0.0604,0.0433,0.0016
638.5,0.0813,0.0549,0.0224,0.0272,0.0413,0.1073,0.0901,0.0610,0.0437,0.0017
639.0,0.0820,0.0556,0.0227,0.0274,0.0419,0.1087,0.0915,0.0617,0.0442,0.0016
639.5,0.0828,0.0562,0.0229,0.0276,0.0423,0.1100,0.0926,0.0623,0.0446,0.0016
640.0,0.0837,0.0569,0.0232,0.0279,0.0428,0.1114,0.0939,0.0630,0.0451,0.0016
640.5,0.0850,0.0579,0.0236,0.0283,0.0433,0.1132,0.0955,0.0639,0.0458,0.0016
641.0,0.0861,0.0588,0.0238,0.0286,0.0438,0.1148,0.0969,0.0647,0.0464,0.0016
641.5,0.0875,0.0600,0.0242,0.0290,0.0444,0.1169,0.0989,0.0658,0.0471,0.0016
642.0,0.0887,0.0610,0.0245,0.0293,0.0450,0.1187,0.1005,0.0667,0.0476,0.0016
642.5,0.0901,0.0621,0.0248,0.0297,0.0456,0.1205,0.1022,0.0677,0.0483,0.0016
643.0,0.0918,0.0636,0.0251,0.0302,0.0464,0.1230,0.1046,0.0689,0.0491,0.0016
643.5,0.0935,0.0649,0.0253,0.0307,0.0472,0.1251,0.1067,0.0699,0.0498,0.0016
644.0,0.0955,0.0666,0.0256,0.0314,0.0481,0.1278,0.1096,0.0712,0.0508,0.0016
644.5,0.0975,0.0682,0.0260,0.0320,0.0490,0.1302,0.1121,0.0723,0.0516,0.0016
645.0,0.0994,0.0698,0.0264,0.0325,0.0498,0.1326,0.1147,0.0735,0.0525,0.0017
645.5,0.1017,0.0719,0.0269,0.0333,0.0508,0.1355,0.1179,0.0749,0.0536,0.0016
646.0,0.1039,0.0740,0.0275,0.0340,0.0518,0.1383,0.1210,0.0763,0.0547,0.0016
646.5,0.1062,0.0762,0.0281,0.0347,0.0527,0.1412,0.1242,0.0777,0.0558,0.0016
647.0,0.1093,0.0791,0.0289,0.0357,0.0540,0.1449,0.1283,0.0796,0.0573,0.0017
647.5,0.1119,0.0817,0.0296,0.0365,0.0550,0.1482,0.1320,0.0812,0.0586,0.0017
648.0,0.1151,0.0848,0.0305,0.0376,0.0563,0.1523,0.1364,0.0832,0.0601,0.0017
648.5,0.1178,0.0875,0.0312,0.0385,0.0573,0.1557,0.1402,0.0851,0.0614,0.0016
