Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 1:42 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,OPP-E_210730,,100
2,OPP-W_210730,,68
3,LM-ARB_210802,,100
4,UM-ARB_210802,,100
5,ALC_210802,,100
6,OPP-E_210803,,90
7,OPP-W_210803,,95
8,LM-ARB_210730,,100
9,UM-ARB_210730,,100
10,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600.0,0.0532,0.0457,0.0170,0.0198,0.0254,0.0647,0.0742,0.0505,0.0319,0.0019
600.5,0.0537,0.0462,0.0171,0.0201,0.0257,0.0655,0.0751,0.0509,0.0322,0.0019
601.0,0.0542,0.0467,0.0173,0.0203,0.0259,0.0663,0.0760,0.0513,0.0325,0.0019
601.5,0.0547,0.0471,0.0174,0.0205,0.0262,0.0670,0.0767,0.0517,0.0328,0.0020
602.0,0.0550,0.0475,0.0175,0.0207,0.0264,0.0676,0.0772,0.0520,0.0330,0.0019
602.5,0.0555,0.0478,0.0176,0.0209,0.0266,0.0683,0.0779,0.0523,0.0333,0.0019
603.0,0.0557,0.0479,0.0176,0.0210,0.0267,0.0687,0.0783,0.0526,0.0335,0.0019
603.5,0.0559,0.0481,0.0177,0.0211,0.0269,0.0690,0.0787,0.0528,0.0337,0.0019
604.0,0.0562,0.0482,0.0177,0.0212,0.0270,0.0695,0.0790,0.0530,0.0338,0.0019
604.5,0.0563,0.0483,0.0177,0.0213,0.0271,0.0697,0.0792,0.0531,0.0339,0.0019
605.0,0.0565,0.0483,0.0177,0.0214,0.0272,0.0699,0.0793,0.0533,0.0341,0.0019
605.5,0.0565,0.0482,0.0177,0.0214,0.0272,0.0700,0.0793,0.0534,0.0342,0.0019
606.0,0.0565,0.0481,0.0177,0.0215,0.0272,0.0701,0.0793,0.0535,0.0342,0.0019
606.5,0.0565,0.0480,0.0176,0.0215,0.0272,0.0700,0.0792,0.0535,0.0342,0.0019
607.0,0.0564,0.0478,0.0176,0.0215,0.0272,0.0699,0.0789,0.0535,0.0342,0.0019
