Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 1:53 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DOBA7_210803,,100
2,O-S_210803,,200
3,O-N_210803,,100
4,ELV_210803,,100
5,KP_210803,,100
6,DCSW3_210804,,300
7,DOBA4_210804,,100
8,DOBA5_210804,,49
9,DCSW2_210804,,200
10,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600.0,0.0330,0.0336,0.0192,0.0158,0.0220,0.0250,0.0293,0.0364,0.0408,0.0000
600.5,0.0332,0.0338,0.0193,0.0159,0.0221,0.0250,0.0294,0.0369,0.0411,0.0000
601.0,0.0335,0.0340,0.0194,0.0160,0.0222,0.0250,0.0296,0.0376,0.0415,0.0000
601.5,0.0338,0.0342,0.0195,0.0161,0.0222,0.0251,0.0298,0.0381,0.0419,0.0001
602.0,0.0340,0.0343,0.0195,0.0162,0.0223,0.0252,0.0299,0.0388,0.0422,0.0000
602.5,0.0343,0.0346,0.0197,0.0164,0.0224,0.0254,0.0300,0.0395,0.0426,0.0000
603.0,0.0345,0.0347,0.0197,0.0165,0.0225,0.0254,0.0300,0.0401,0.0428,0.0000
603.5,0.0348,0.0348,0.0198,0.0165,0.0225,0.0255,0.0301,0.0406,0.0431,0.0000
604.0,0.0350,0.0350,0.0199,0.0166,0.0226,0.0256,0.0302,0.0413,0.0435,0.0000
604.5,0.0352,0.0351,0.0199,0.0167,0.0227,0.0258,0.0302,0.0417,0.0438,0.0000
605.0,0.0355,0.0352,0.0200,0.0168,0.0228,0.0260,0.0302,0.0423,0.0442,0.0001
605.5,0.0357,0.0354,0.0200,0.0169,0.0229,0.0262,0.0302,0.0428,0.0446,0.0000
606.0,0.0360,0.0356,0.0201,0.0170,0.0230,0.0264,0.0303,0.0433,0.0449,0.0000
606.5,0.0361,0.0357,0.0201,0.0170,0.0230,0.0267,0.0303,0.0437,0.0453,0.0001
607.0,0.0364,0.0359,0.0202,0.0170,0.0231,0.0271,0.0304,0.0442,0.0457,0.0000
607.5,0.0365,0.0361,0.0202,0.0171,0.0231,0.0274,0.0304,0.0446,0.0461,0.0000
608.0,0.0367,0.0363,0.0203,0.0171,0.0231,0.0277,0.0305,0.0450,0.0463,0.0000
608.5,0.0370,0.0365,0.0203,0.0171,0.0232,0.0281,0.0305,0.0454,0.0467,0.0001
609.0,0.0373,0.0366,0.0204,0.0171,0.0232,0.0283,0.0306,0.0457,0.0469,0.0000
609.5,0.0374,0.0366,0.0205,0.0172,0.0232,0.0284,0.0307,0.0460,0.0472,0.0001
610.0,0.0376,0.0366,0.0205,0.0172,0.0232,0.0285,0.0307,0.0462,0.0475,0.0001
610.5,0.0377,0.0367,0.0206,0.0172,0.0232,0.0286,0.0307,0.0464,0.0477,0.0001
611.0,0.0379,0.0368,0.0207,0.0173,0.0232,0.0287,0.0307,0.0467,0.0478,0.0000
611.5,0.0382,0.0370,0.0208,0.0173,0.0232,0.0288,0.0308,0.0470,0.0479,0.0001
612.0,0.0383,0.0372,0.0209,0.0173,0.0233,0.0288,0.0308,0.0472,0.0479,0.0001
612.5,0.0383,0.0373,0.0209,0.0172,0.0232,0.0287,0.0308,0.0474,0.0480,0.0000
613.0,0.0382,0.0374,0.0210,0.0173,0.0232,0.0287,0.0309,0.0476,0.0482,0.0001
613.5,0.0383,0.0375,0.0211,0.0173,0.0232,0.0286,0.0308,0.0478,0.0483,0.0000
614.0,0.0384,0.0375,0.0212,0.0173,0.0232,0.0284,0.0309,0.0480,0.0484,0.0001
614.5,0.0384,0.0376,0.0212,0.0173,0.0231,0.0282,0.0308,0.0481,0.0486,0.0000
615.0,0.0386,0.0378,0.0213,0.0172,0.0231,0.0280,0.0308,0.0481,0.0486,0.0001
615.5,0.0387,0.0379,0.0214,0.0172,0.0231,0.0279,0.0307,0.0482,0.0487,0.0000
616.0,0.0387,0.0381,0.0214,0.0172,0.0230,0.0279,0.0307,0.0482,0.0488,0.0000
616.5,0.0389,0.0383,0.0215,0.0172,0.0231,0.0280,0.0307,0.0482,0.0489,0.0001
617.0,0.0389,0.0384,0.0215,0.0172,0.0230,0.0281,0.0306,0.0480,0.0490,0.0000
617.5,0.0389,0.0385,0.0216,0.0172,0.0229,0.0282,0.0305,0.0479,0.0490,0.0000
618.0,0.0388,0.0387,0.0216,0.0172,0.0229,0.0284,0.0304,0.0477,0.0490,0.0000
618.5,0.0388,0.0389,0.0217,0.0172,0.0229,0.0285,0.0304,0.0474,0.0490,0.0001
619.0,0.0387,0.0392,0.0218,0.0172,0.0229,0.0285,0.0303,0.0473,0.0489,0.0001
619.5,0.0388,0.0394,0.0218,0.0172,0.0229,0.0285,0.0302,0.0471,0.0490,0.0001
620.0,0.0387,0.0396,0.0220,0.0172,0.0229,0.0285,0.0301,0.0469,0.0492,0.0001
620.5,0.0387,0.0398,0.0221,0.0172,0.0229,0.0285,0.0301,0.0468,0.0493,0.0001
621.0,0.0385,0.0400,0.0221,0.0172,0.0228,0.0285,0.0299,0.0466,0.0494,0.0001
621.5,0.0384,0.0403,0.0222,0.0172,0.0228,0.0283,0.0299,0.0464,0.0495,0.0001
622.0,0.0383,0.0405,0.0224,0.0171,0.0228,0.0281,0.0298,0.0462,0.0495,0.0001
622.5,0.0382,0.0408,0.0225,0.0171,0.0228,0.0279,0.0297,0.0460,0.0494,0.0001
623.0,0.0380,0.0411,0.0226,0.0170,0.0228,0.0277,0.0297,0.0458,0.0493,0.0001
623.5,0.0378,0.0414,0.0228,0.0170,0.0228,0.0275,0.0296,0.0456,0.0492,0.0001
624.0,0.0376,0.0416,0.0229,0.0170,0.0228,0.0272,0.0296,0.0454,0.0490,0.0001
624.5,0.0374,0.0419,0.0231,0.0171,0.0228,0.0269,0.0296,0.0453,0.0489,0.0001
625.0,0.0373,0.0421,0.0232,0.0171,0.0228,0.0267,0.0296,0.0452,0.0488,0.0001
625.5,0.0372,0.0424,0.0234,0.0170,0.0228,0.0264,0.0295,0.0450,0.0487,0.0001
626.0,0.0371,0.0427,0.0236,0.0170,0.0228,0.0263,0.0295,0.0449,0.0486,0.0001
626.5,0.0370,0.0430,0.0238,0.0170,0.0229,0.0262,0.0296,0.0447,0.0485,0.0001
627.0,0.0369,0.0433,0.0240,0.0170,0.0229,0.0262,0.0296,0.0446,0.0486,0.0001
627.5,0.0368,0.0435,0.0241,0.0170,0.0229,0.0263,0.0297,0.0446,0.0486,0.0001
628.0,0.0369,0.0437,0.0244,0.0169,0.0229,0.0264,0.0297,0.0445,0.0487,0.0001
628.5,0.0370,0.0439,0.0245,0.0170,0.0229,0.0266,0.0298,0.0444,0.0489,0.0001
629.0,0.0372,0.0441,0.0247,0.0170,0.0230,0.0267,0.0299,0.0444,0.0491,0.0001
629.5,0.0373,0.0444,0.0248,0.0170,0.0230,0.0269,0.0300,0.0443,0.0490,0.0001
630.0,0.0374,0.0447,0.0249,0.0170,0.0231,0.0271,0.0302,0.0443,0.0489,0.0001
630.5,0.0374,0.0449,0.0250,0.0171,0.0231,0.0273,0.0303,0.0442,0.0489,0.0000
631.0,0.0375,0.0452,0.0251,0.0172,0.0232,0.0276,0.0306,0.0443,0.0490,0.0001
631.5,0.0375,0.0453,0.0252,0.0172,0.0232,0.0278,0.0306,0.0443,0.0490,0.0001
632.0,0.0377,0.0455,0.0253,0.0173,0.0233,0.0280,0.0309,0.0443,0.0490,0.0001
632.5,0.0378,0.0456,0.0253,0.0173,0.0233,0.0280,0.0310,0.0443,0.0491,0.0001
633.0,0.0379,0.0457,0.0254,0.0174,0.0234,0.0282,0.0312,0.0443,0.0492,0.0001
633.5,0.0381,0.0459,0.0254,0.0175,0.0235,0.0284,0.0315,0.0445,0.0494,0.0001
634.0,0.0383,0.0459,0.0255,0.0176,0.0235,0.0286,0.0317,0.0445,0.0495,0.0001
634.5,0.0384,0.0459,0.0255,0.0177,0.0235,0.0288,0.0318,0.0446,0.0497,0.0000
635.0,0.0387,0.0459,0.0255,0.0179,0.0237,0.0291,0.0321,0.0447,0.0500,0.0001
635.5,0.0389,0.0459,0.0256,0.0180,0.0237,0.0293,0.0323,0.0448,0.0503,0.0001
636.0,0.0392,0.0459,0.0256,0.0181,0.0238,0.0295,0.0325,0.0449,0.0505,0.0001
636.5,0.0395,0.0459,0.0256,0.0182,0.0239,0.0297,0.0328,0.0451,0.0508,0.0001
637.0,0.0397,0.0460,0.0257,0.0183,0.0241,0.0298,0.0330,0.0453,0.0511,0.0001
