Wavelength Scan - Scanning,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8002850,,,,,,,
Software Version:,,,"2.1,  Build 5",,,,,,,
Firmware Version:,,,2.0.102,,,,,,,
Method Name:,,,LTER Chl,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
,,,,,,,,,,
#,Filename,Acquired,,,,,,,,
1,,3/1/2022 14:01,,,,,,,,
,,,,,,,,,,
Scan Mode:,,,Abs,,,,,,,
Start Wavelength:,,,600.0 nm,,,,,,,
End Wavelength:,,,775.0 nm,,,,,,,
Wavelength Interval:,,,0.5 nm,,,,,,,
Scan Speed:,,,600 nm/min,,,,,,,
,,,,,,,,,,
,Sample Name,,Description,,,,,,,
1,DOBA7_210803,,100,,,,,,,
2,O-S_210803,,200,,,,,,,
3,O-N_210803,,100,,,,,,,
4,ELV_210803,,100,,,,,,,
5,KP_210803,,100,,,,,,,
6,DCSW3_210804,,300,,,,,,,
7,DOBA4_210804,,100,,,,,,,
8,DOBA5_210804,,49,,,,,,,
9,DCSW2_210804,,200,,,,,,,
10,BLA,,3000,,,,,,,
,,,,,,,,,,
nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10
600,0.0289,0.033,0.0166,0.016,0.0229,0.0198,0.0261,0.028,0.0403,0.0026
600.5,0.0291,0.0331,0.0167,0.0162,0.023,0.0198,0.0263,0.0284,0.0404,0.0026
601,0.0294,0.0332,0.0167,0.0163,0.0231,0.0199,0.0264,0.0289,0.0406,0.0026
601.5,0.0297,0.0333,0.0167,0.0164,0.0232,0.02,0.0265,0.0293,0.0407,0.0027
602,0.0299,0.0333,0.0167,0.0164,0.0232,0.02,0.0266,0.0297,0.0408,0.0026
602.5,0.0301,0.0334,0.0167,0.0165,0.0233,0.0201,0.0267,0.0301,0.0409,0.0026
603,0.0303,0.0334,0.0167,0.0165,0.0233,0.0201,0.0268,0.0304,0.0409,0.0026
603.5,0.0304,0.0334,0.0167,0.0165,0.0233,0.0201,0.0268,0.0306,0.0409,0.0026
604,0.0306,0.0333,0.0166,0.0166,0.0233,0.0202,0.0269,0.0309,0.0408,0.0026
604.5,0.0307,0.0332,0.0165,0.0166,0.0233,0.0202,0.0269,0.0311,0.0407,0.0026
605,0.0308,0.0332,0.0165,0.0167,0.0233,0.0202,0.027,0.0313,0.0407,0.0026
605.5,0.0308,0.0331,0.0164,0.0167,0.0232,0.0201,0.0269,0.0314,0.0405,0.0026
606,0.0309,0.0329,0.0164,0.0167,0.0232,0.0201,0.027,0.0315,0.0403,0.0026
606.5,0.031,0.0328,0.0163,0.0167,0.0232,0.0201,0.027,0.0315,0.0402,0.0026
607,0.031,0.0326,0.0162,0.0167,0.0231,0.0201,0.0269,0.0316,0.0399,0.0026
607.5,0.0309,0.0325,0.0161,0.0167,0.0231,0.02,0.0269,0.0316,0.0397,0.0026
608,0.0309,0.0323,0.016,0.0167,0.023,0.02,0.0268,0.0315,0.0395,0.0026
608.5,0.0309,0.0321,0.0158,0.0167,0.0229,0.0199,0.0268,0.0314,0.0391,0.0026
609,0.0308,0.0319,0.0157,0.0166,0.0228,0.0198,0.0267,0.0313,0.0388,0.0027
609.5,0.0307,0.0317,0.0156,0.0166,0.0227,0.0197,0.0266,0.0312,0.0386,0.0027
610,0.0306,0.0314,0.0154,0.0165,0.0226,0.0196,0.0265,0.031,0.0382,0.0026
610.5,0.0305,0.0312,0.0153,0.0165,0.0225,0.0195,0.0264,0.0308,0.0378,0.0026
611,0.0303,0.0308,0.0151,0.0164,0.0224,0.0194,0.0263,0.0306,0.0374,0.0026
611.5,0.0302,0.0306,0.0149,0.0164,0.0223,0.0193,0.0262,0.0304,0.0371,0.0027
612,0.03,0.0304,0.0148,0.0163,0.0223,0.0192,0.0261,0.0301,0.0367,0.0027
612.5,0.0298,0.0301,0.0146,0.0162,0.0221,0.0191,0.0259,0.0298,0.0363,0.0027
613,0.0296,0.0298,0.0144,0.0162,0.022,0.019,0.0258,0.0295,0.0359,0.0027
613.5,0.0295,0.0295,0.0143,0.0161,0.022,0.0189,0.0256,0.0292,0.0356,0.0027
614,0.0292,0.0292,0.0141,0.016,0.0219,0.0187,0.0255,0.0288,0.0351,0.0027
614.5,0.0289,0.0289,0.0139,0.0159,0.0218,0.0186,0.0253,0.0284,0.0347,0.0027
615,0.0288,0.0286,0.0137,0.0158,0.0217,0.0185,0.0251,0.0281,0.0344,0.0026
615.5,0.0285,0.0283,0.0136,0.0157,0.0217,0.0183,0.025,0.0277,0.034,0.0027
616,0.0282,0.028,0.0134,0.0157,0.0215,0.0182,0.0248,0.0273,0.0337,0.0026
616.5,0.028,0.0278,0.0133,0.0157,0.0215,0.0181,0.0247,0.0271,0.0335,0.0027
617,0.0277,0.0275,0.0131,0.0155,0.0213,0.0179,0.0245,0.0266,0.0331,0.0027
617.5,0.0275,0.0272,0.0129,0.0154,0.0212,0.0178,0.0244,0.0263,0.0328,0.0026
618,0.0272,0.027,0.0128,0.0154,0.0211,0.0177,0.0242,0.026,0.0326,0.0027
618.5,0.027,0.0268,0.0127,0.0153,0.0211,0.0177,0.0241,0.0256,0.0324,0.0026
619,0.0268,0.0266,0.0126,0.0152,0.0209,0.0176,0.024,0.0253,0.0321,0.0027
619.5,0.0266,0.0264,0.0125,0.0152,0.0209,0.0175,0.0238,0.025,0.0319,0.0027
620,0.0263,0.0262,0.0124,0.0151,0.0208,0.0174,0.0237,0.0246,0.0317,0.0027
620.5,0.0262,0.026,0.0123,0.0151,0.0208,0.0173,0.0236,0.0243,0.0315,0.0027
621,0.026,0.0258,0.0122,0.015,0.0206,0.0172,0.0235,0.024,0.0313,0.0027
621.5,0.0258,0.0257,0.0121,0.0149,0.0206,0.017,0.0234,0.0238,0.0311,0.0027
622,0.0257,0.0255,0.012,0.0149,0.0206,0.017,0.0233,0.0236,0.031,0.0027
622.5,0.0255,0.0254,0.012,0.0149,0.0205,0.0169,0.0232,0.0233,0.0308,0.0027
623,0.0254,0.0253,0.0119,0.0149,0.0205,0.0168,0.0231,0.0231,0.0307,0.0027
623.5,0.0253,0.0252,0.0118,0.0148,0.0205,0.0168,0.023,0.0229,0.0306,0.0027
624,0.0251,0.0251,0.0118,0.0148,0.0204,0.0168,0.023,0.0227,0.0305,0.0027
624.5,0.0251,0.0251,0.0118,0.0148,0.0204,0.0168,0.0229,0.0226,0.0304,0.0027
625,0.025,0.025,0.0118,0.0148,0.0203,0.0169,0.0229,0.0225,0.0304,0.0027
625.5,0.0249,0.025,0.0117,0.0148,0.0203,0.0169,0.0228,0.0223,0.0303,0.0027
626,0.0248,0.025,0.0117,0.0147,0.0202,0.0169,0.0228,0.0222,0.0303,0.0027
626.5,0.0248,0.025,0.0117,0.0147,0.0202,0.017,0.0228,0.0221,0.0303,0.0027
627,0.0248,0.025,0.0117,0.0147,0.0202,0.017,0.0228,0.0221,0.0303,0.0027
627.5,0.0247,0.0251,0.0117,0.0147,0.0202,0.0171,0.0228,0.0221,0.0303,0.0027
628,0.0247,0.0251,0.0118,0.0147,0.0201,0.0171,0.0228,0.022,0.0303,0.0027
628.5,0.0247,0.0251,0.0118,0.0147,0.0201,0.0172,0.0229,0.022,0.0304,0.0027
629,0.0248,0.0253,0.0118,0.0148,0.0202,0.0174,0.0229,0.022,0.0305,0.0027
629.5,0.0247,0.0253,0.0118,0.0148,0.0202,0.0174,0.0229,0.0221,0.0306,0.0027
630,0.0248,0.0254,0.0119,0.0148,0.0203,0.0175,0.0229,0.0221,0.0307,0.0027
630.5,0.0248,0.0255,0.0119,0.0148,0.0203,0.0176,0.023,0.0222,0.0308,0.0027
631,0.0249,0.0257,0.012,0.0149,0.0204,0.0178,0.023,0.0223,0.0311,0.0028
631.5,0.025,0.0258,0.0121,0.0149,0.0205,0.0179,0.0231,0.0224,0.0312,0.0028
632,0.0251,0.0259,0.0122,0.015,0.0205,0.018,0.0232,0.0226,0.0315,0.0027
632.5,0.0251,0.026,0.0122,0.015,0.0205,0.0182,0.0232,0.0227,0.0317,0.0027
633,0.0252,0.0262,0.0123,0.015,0.0206,0.0183,0.0233,0.0228,0.0319,0.0028
633.5,0.0254,0.0265,0.0124,0.0151,0.0207,0.0185,0.0234,0.023,0.0322,0.0027
634,0.0255,0.0266,0.0125,0.0152,0.0208,0.0186,0.0235,0.0232,0.0325,0.0028
634.5,0.0256,0.0268,0.0125,0.0152,0.0208,0.0188,0.0236,0.0234,0.0327,0.0027
635,0.0258,0.0271,0.0127,0.0153,0.0208,0.0191,0.0238,0.0236,0.0331,0.0028
635.5,0.0259,0.0273,0.0128,0.0154,0.0209,0.0193,0.024,0.0239,0.0335,0.0027
636,0.0261,0.0276,0.013,0.0154,0.0209,0.0195,0.0241,0.0241,0.0338,0.0028
636.5,0.0263,0.0279,0.0131,0.0156,0.021,0.0198,0.0243,0.0245,0.0343,0.0028
637,0.0265,0.0281,0.0132,0.0156,0.021,0.02,0.0245,0.0248,0.0347,0.0028
637.5,0.0268,0.0285,0.0135,0.0158,0.021,0.0203,0.0248,0.0252,0.0353,0.0028
638,0.027,0.0288,0.0136,0.0158,0.0211,0.0205,0.0249,0.0255,0.0357,0.0027
