Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 2:12 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DCSW1_210804,,300
2,CAP_210804,,100
3,L60_210805,,100
4,DOBA8_210805,,200
5,MDT_210805,,240
6,HP_210805,,400
7,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7
600.0,0.0137,0.0210,0.0204,0.0238,0.0254,0.0100,-0.0005
600.5,0.0137,0.0209,0.0206,0.0240,0.0255,0.0100,-0.0005
601.0,0.0138,0.0208,0.0208,0.0243,0.0258,0.0101,-0.0005
601.5,0.0139,0.0207,0.0210,0.0245,0.0260,0.0101,-0.0005
602.0,0.0141,0.0206,0.0212,0.0247,0.0262,0.0102,-0.0005
602.5,0.0142,0.0205,0.0214,0.0249,0.0265,0.0102,-0.0005
603.0,0.0143,0.0205,0.0216,0.0251,0.0267,0.0102,-0.0005
603.5,0.0145,0.0205,0.0218,0.0253,0.0269,0.0103,-0.0005
604.0,0.0146,0.0204,0.0219,0.0254,0.0271,0.0103,-0.0005
604.5,0.0147,0.0204,0.0221,0.0256,0.0273,0.0103,-0.0005
605.0,0.0148,0.0203,0.0222,0.0258,0.0275,0.0103,-0.0005
605.5,0.0149,0.0202,0.0224,0.0259,0.0277,0.0104,-0.0005
606.0,0.0151,0.0201,0.0225,0.0261,0.0279,0.0104,-0.0005
606.5,0.0152,0.0201,0.0226,0.0262,0.0281,0.0104,-0.0005
607.0,0.0153,0.0200,0.0227,0.0264,0.0282,0.0104,-0.0006
607.5,0.0154,0.0199,0.0229,0.0265,0.0284,0.0105,-0.0006
608.0,0.0155,0.0199,0.0230,0.0266,0.0286,0.0105,-0.0005
608.5,0.0156,0.0198,0.0231,0.0267,0.0288,0.0105,-0.0005
609.0,0.0157,0.0197,0.0232,0.0268,0.0289,0.0105,-0.0006
609.5,0.0158,0.0197,0.0233,0.0270,0.0291,0.0106,-0.0005
610.0,0.0158,0.0196,0.0235,0.0271,0.0293,0.0106,-0.0005
610.5,0.0159,0.0196,0.0236,0.0272,0.0294,0.0106,-0.0005
611.0,0.0160,0.0194,0.0238,0.0273,0.0296,0.0106,-0.0005
611.5,0.0161,0.0194,0.0239,0.0273,0.0297,0.0107,-0.0005
612.0,0.0162,0.0193,0.0240,0.0274,0.0298,0.0107,-0.0006
612.5,0.0163,0.0192,0.0242,0.0275,0.0299,0.0107,-0.0005
613.0,0.0163,0.0191,0.0242,0.0275,0.0300,0.0107,-0.0005
613.5,0.0163,0.0189,0.0242,0.0275,0.0300,0.0107,-0.0005
614.0,0.0165,0.0188,0.0242,0.0276,0.0301,0.0108,-0.0005
614.5,0.0165,0.0187,0.0242,0.0276,0.0301,0.0107,-0.0005
615.0,0.0166,0.0186,0.0242,0.0276,0.0302,0.0107,-0.0005
615.5,0.0167,0.0185,0.0243,0.0276,0.0302,0.0108,-0.0005
616.0,0.0168,0.0184,0.0241,0.0275,0.0301,0.0107,-0.0005
616.5,0.0169,0.0183,0.0241,0.0275,0.0301,0.0107,-0.0005
617.0,0.0169,0.0182,0.0240,0.0274,0.0300,0.0107,-0.0006
617.5,0.0170,0.0182,0.0239,0.0274,0.0300,0.0107,-0.0005
618.0,0.0170,0.0182,0.0237,0.0274,0.0299,0.0107,-0.0006
618.5,0.0170,0.0181,0.0236,0.0273,0.0299,0.0107,-0.0005
619.0,0.0170,0.0181,0.0234,0.0272,0.0298,0.0107,-0.0005
619.5,0.0170,0.0180,0.0233,0.0272,0.0297,0.0107,-0.0005
620.0,0.0170,0.0180,0.0231,0.0271,0.0296,0.0107,-0.0005
620.5,0.0170,0.0180,0.0230,0.0270,0.0294,0.0107,-0.0005
621.0,0.0170,0.0179,0.0229,0.0269,0.0293,0.0107,-0.0006
621.5,0.0170,0.0179,0.0228,0.0270,0.0292,0.0108,-0.0005
622.0,0.0170,0.0179,0.0227,0.0269,0.0292,0.0108,-0.0005
622.5,0.0170,0.0178,0.0225,0.0269,0.0291,0.0108,-0.0005
623.0,0.0170,0.0178,0.0224,0.0269,0.0290,0.0108,-0.0005
623.5,0.0169,0.0177,0.0223,0.0269,0.0289,0.0108,-0.0006
624.0,0.0169,0.0177,0.0223,0.0270,0.0289,0.0108,-0.0005
624.5,0.0168,0.0176,0.0221,0.0269,0.0288,0.0108,-0.0006
625.0,0.0168,0.0176,0.0221,0.0270,0.0288,0.0109,-0.0005
625.5,0.0168,0.0175,0.0220,0.0270,0.0288,0.0109,-0.0005
626.0,0.0168,0.0174,0.0218,0.0270,0.0287,0.0109,-0.0006
626.5,0.0167,0.0174,0.0217,0.0270,0.0286,0.0109,-0.0006
627.0,0.0168,0.0173,0.0216,0.0271,0.0286,0.0110,-0.0005
627.5,0.0167,0.0173,0.0215,0.0271,0.0286,0.0109,-0.0006
628.0,0.0167,0.0172,0.0214,0.0272,0.0286,0.0110,-0.0005
628.5,0.0167,0.0172,0.0213,0.0273,0.0286,0.0110,-0.0005
629.0,0.0167,0.0172,0.0212,0.0273,0.0286,0.0110,-0.0005
629.5,0.0167,0.0172,0.0211,0.0274,0.0286,0.0111,-0.0005
630.0,0.0166,0.0171,0.0209,0.0275,0.0286,0.0111,-0.0005
630.5,0.0166,0.0171,0.0208,0.0276,0.0286,0.0111,-0.0005
631.0,0.0167,0.0171,0.0207,0.0277,0.0287,0.0112,-0.0005
631.5,0.0167,0.0171,0.0206,0.0277,0.0286,0.0111,-0.0005
632.0,0.0168,0.0171,0.0205,0.0279,0.0287,0.0112,-0.0005
632.5,0.0169,0.0170,0.0205,0.0279,0.0288,0.0111,-0.0006
633.0,0.0169,0.0170,0.0205,0.0280,0.0288,0.0112,-0.0006
633.5,0.0171,0.0170,0.0206,0.0281,0.0289,0.0112,-0.0005
634.0,0.0172,0.0171,0.0206,0.0283,0.0290,0.0112,-0.0005
634.5,0.0173,0.0171,0.0206,0.0285,0.0291,0.0112,-0.0006
635.0,0.0175,0.0171,0.0207,0.0287,0.0293,0.0112,-0.0006
635.5,0.0176,0.0171,0.0207,0.0290,0.0294,0.0113,-0.0005
636.0,0.0177,0.0172,0.0208,0.0293,0.0296,0.0113,-0.0005
636.5,0.0179,0.0171,0.0209,0.0296,0.0298,0.0113,-0.0006
637.0,0.0181,0.0172,0.0209,0.0299,0.0301,0.0113,-0.0006
637.5,0.0183,0.0173,0.0210,0.0303,0.0304,0.0114,-0.0005
638.0,0.0185,0.0173,0.0211,0.0307,0.0306,0.0115,-0.0005
638.5,0.0187,0.0173,0.0212,0.0310,0.0309,0.0115,-0.0005
639.0,0.0190,0.0173,0.0213,0.0314,0.0313,0.0116,-0.0005
639.5,0.0193,0.0173,0.0213,0.0318,0.0315,0.0117,-0.0005
640.0,0.0196,0.0173,0.0214,0.0322,0.0318,0.0117,-0.0005
640.5,0.0198,0.0173,0.0216,0.0327,0.0323,0.0118,-0.0005
641.0,0.0201,0.0173,0.0217,0.0330,0.0326,0.0119,-0.0005
641.5,0.0204,0.0173,0.0218,0.0336,0.0331,0.0120,-0.0006
642.0,0.0207,0.0174,0.0219,0.0341,0.0336,0.0121,-0.0006
642.5,0.0209,0.0174,0.0221,0.0345,0.0340,0.0122,-0.0006
643.0,0.0214,0.0173,0.0224,0.0352,0.0347,0.0124,-0.0006
643.5,0.0216,0.0174,0.0227,0.0358,0.0352,0.0125,-0.0005
644.0,0.0221,0.0174,0.0230,0.0365,0.0360,0.0127,-0.0006
644.5,0.0224,0.0175,0.0233,0.0371,0.0367,0.0129,-0.0005
645.0,0.0227,0.0175,0.0237,0.0378,0.0375,0.0131,-0.0005
645.5,0.0231,0.0176,0.0242,0.0387,0.0384,0.0133,-0.0005
646.0,0.0235,0.0177,0.0246,0.0395,0.0392,0.0136,-0.0005
646.5,0.0240,0.0177,0.0250,0.0404,0.0401,0.0138,-0.0006
647.0,0.0245,0.0178,0.0256,0.0416,0.0413,0.0141,-0.0005
647.5,0.0250,0.0179,0.0262,0.0426,0.0423,0.0144,-0.0005
648.0,0.0256,0.0180,0.0267,0.0437,0.0436,0.0147,-0.0006
648.5,0.0261,0.0181,0.0273,0.0446,0.0446,0.0149,-0.0006
649.0,0.0266,0.0182,0.0279,0.0458,0.0458,0.0152,-0.0006
649.5,0.0274,0.0184,0.0285,0.0471,0.0472,0.0157,-0.0006
650.0,0.0279,0.0185,0.0292,0.0484,0.0485,0.0160,-0.0006
650.5,0.0286,0.0185,0.0299,0.0499,0.0500,0.0164,-0.0006
651.0,0.0292,0.0187,0.0306,0.0511,0.0513,0.0168,-0.0006
651.5,0.0298,0.0188,0.0312,0.0524,0.0526,0.0172,-0.0006
652.0,0.0307,0.0189,0.0322,0.0542,0.0544,0.0177,-0.0006
652.5,0.0314,0.0191,0.0330,0.0557,0.0559,0.0182,-0.0005
653.0,0.0322,0.0192,0.0337,0.0572,0.0574,0.0186,-0.0006
653.5,0.0331,0.0193,0.0347,0.0591,0.0593,0.0191,-0.0006
654.0,0.0338,0.0194,0.0356,0.0607,0.0610,0.0195,-0.0006
654.5,0.0347,0.0195,0.0366,0.0624,0.0629,0.0200,-0.0006
655.0,0.0356,0.0197,0.0374,0.0640,0.0646,0.0205,-0.0006
655.5,0.0365,0.0198,0.0385,0.0656,0.0664,0.0210,-0.0005
656.0,0.0375,0.0199,0.0397,0.0676,0.0686,0.0215,-0.0006
656.5,0.0384,0.0200,0.0408,0.0692,0.0704,0.0220,-0.0006
657.0,0.0394,0.0202,0.0421,0.0712,0.0725,0.0225,-0.0005
657.5,0.0403,0.0202,0.0431,0.0727,0.0741,0.0229,-0.0006
658.0,0.0411,0.0203,0.0443,0.0743,0.0759,0.0232,-0.0006
658.5,0.0421,0.0204,0.0458,0.0762,0.0780,0.0238,-0.0006
659.0,0.0429,0.0206,0.0469,0.0778,0.0796,0.0242,-0.0006
659.5,0.0437,0.0207,0.0483,0.0794,0.0813,0.0246,-0.0006
660.0,0.0444,0.0209,0.0495,0.0806,0.0828,0.0250,-0.0005
660.5,0.0449,0.0210,0.0505,0.0817,0.0840,0.0253,-0.0006
661.0,0.0455,0.0211,0.0519,0.0831,0.0855,0.0257,-0.0006
661.5,0.0460,0.0211,0.0529,0.0840,0.0866,0.0259,-0.0006
662.0,0.0465,0.0213,0.0542,0.0851,0.0878,0.0263,-0.0006
662.5,0.0468,0.0214,0.0550,0.0856,0.0885,0.0264,-0.0006
663.0,0.0470,0.0214,0.0559,0.0862,0.0891,0.0266,-0.0006
663.5,0.0471,0.0215,0.0568,0.0865,0.0896,0.0268,-0.0006
664.0,0.0472,0.0215,0.0575,0.0866,0.0898,0.0269,-0.0006
664.5,0.0471,0.0215,0.0582,0.0865,0.0898,0.0270,-0.0006
665.0,0.0469,0.0216,0.0587,0.0862,0.0896,0.0269,-0.0006
665.5,0.0466,0.0216,0.0590,0.0857,0.0892,0.0268,-0.0006
666.0,0.0461,0.0216,0.0594,0.0850,0.0885,0.0267,-0.0005
666.5,0.0456,0.0215,0.0595,0.0843,0.0876,0.0264,-0.0006
667.0,0.0449,0.0215,0.0594,0.0831,0.0864,0.0261,-0.0006
