Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,LTER Chl
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"March 01, 2022 2:17 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,600.0 nm
End Wavelength:,,,775.0 nm
Wavelength Interval:,,,0.5 nm
Scan Speed:,,,600 nm/min

,Sample Name,,Description
1,DCSW1_210804,,300
2,CAP_210804,,100
3,L60_210805,,100
4,DOBA8_210805,,200
5,MDT_210805,,240
6,HP_210805,,400
7,BLA,,3000

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7
600.0,0.0161,0.0254,0.0174,0.0199,0.0194,0.0118,-0.0002
600.5,0.0162,0.0254,0.0175,0.0200,0.0196,0.0118,-0.0003
601.0,0.0164,0.0254,0.0176,0.0202,0.0198,0.0119,-0.0002
601.5,0.0165,0.0253,0.0176,0.0204,0.0200,0.0119,-0.0002
602.0,0.0166,0.0253,0.0177,0.0206,0.0202,0.0119,-0.0002
602.5,0.0168,0.0253,0.0178,0.0207,0.0203,0.0120,-0.0002
603.0,0.0169,0.0252,0.0178,0.0209,0.0205,0.0120,-0.0003
603.5,0.0170,0.0253,0.0179,0.0210,0.0207,0.0121,-0.0002
604.0,0.0171,0.0252,0.0179,0.0211,0.0207,0.0121,-0.0002
604.5,0.0172,0.0252,0.0179,0.0212,0.0208,0.0121,-0.0002
605.0,0.0172,0.0251,0.0179,0.0212,0.0209,0.0121,-0.0002
605.5,0.0173,0.0251,0.0179,0.0213,0.0209,0.0121,-0.0002
606.0,0.0173,0.0250,0.0179,0.0213,0.0210,0.0121,-0.0002
606.5,0.0174,0.0250,0.0179,0.0213,0.0209,0.0122,-0.0002
607.0,0.0173,0.0249,0.0178,0.0212,0.0209,0.0122,-0.0002
607.5,0.0174,0.0249,0.0178,0.0212,0.0209,0.0122,-0.0002
608.0,0.0174,0.0249,0.0178,0.0212,0.0209,0.0122,-0.0002
