Wavelength Scan - Scanning,,,,,,,,,,,
,,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,,
Serial Number:,,,8002850,,,,,,,,
Software Version:,,,"2.1,  Build 5",,,,,,,,
Firmware Version:,,,2.0.102,,,,,,,,
Method Name:,,,LTER Chl,,,,,,,,
Organization:,,,,,,,,,,,
Department:,,,,,,,,,,,
Operator:,,,,,,,,,,,
Product Name:,,,,,,,,,,,
Component Name:,,,,,,,,,,,
Lot Number:,,,,,,,,,,,
Comment:,,,,,,,,,,,
Signature 1:,,,,,,,,,,,
Signature 2:,,,,,,,,,,,
Signature 3:,,,,,,,,,,,
Signature 4:,,,,,,,,,,,
Signature 5:,,,,,,,,,,,
,,,,,,,,,,,
#,Filename,Acquired,,,,,,,,,
1,,3/2/22 8:58,,,,,,,,,
,,,,,,,,,,,
Scan Mode:,,,Abs,,,,,,,,
Start Wavelength:,,,600.0 nm,,,,,,,,
End Wavelength:,,,775.0 nm,,,,,,,,
Wavelength Interval:,,,0.5 nm,,,,,,,,
Scan Speed:,,,600 nm/min,,,,,,,,
,,,,,,,,,,,
,Sample Name,,Description,,,,,,,,
1,DCSW2_220113,,300,,,,,,,,
2,CAP_220113,,150,,,,,,,,
3,L60_220113,,300,,,,,,,,
4,ELV_220114,,200,,,,,,,,
5,DOBA7_220114,,200,,,,,,,,
6,MDT_220114,,200,,,,,,,,
7,DOBA8_220114,,300,,,,,,,,
8,O-S_220114,,300,,,,,,,,
9,O-N_220114,,300,,,,,,,,
10,KP_220114,,32,,,,,,,,
11,BLA,,3000,,,,,,,,
,,,,,,,,,,,
nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600,0.0248,0.0313,0.0086,0.0145,0.0155,0.0369,0.0109,0.0095,0.0034,0.0182,-0.0027
600.5,0.025,0.0317,0.0087,0.0146,0.0157,0.0375,0.0109,0.0095,0.0035,0.0184,-0.0027
601,0.0252,0.0322,0.0088,0.0148,0.016,0.0382,0.011,0.0095,0.0035,0.0186,-0.0027
601.5,0.0254,0.0325,0.0088,0.0149,0.0161,0.0387,0.011,0.0095,0.0035,0.0187,-0.0028
602,0.0256,0.0328,0.0088,0.015,0.0163,0.0392,0.0109,0.0095,0.0035,0.0188,-0.0028
602.5,0.0258,0.0332,0.0089,0.0152,0.0165,0.0397,0.011,0.0095,0.0036,0.0189,-0.0028
603,0.0259,0.0334,0.0089,0.0153,0.0166,0.0401,0.011,0.0095,0.0036,0.019,-0.0027
603.5,0.0262,0.0337,0.0089,0.0153,0.0167,0.0404,0.011,0.0095,0.0036,0.0191,-0.0028
604,0.0264,0.034,0.009,0.0154,0.0169,0.0408,0.0111,0.0095,0.0037,0.0192,-0.0027
604.5,0.0266,0.0341,0.009,0.0155,0.017,0.0411,0.0111,0.0096,0.0036,0.0192,-0.0027
605,0.0267,0.0342,0.009,0.0155,0.0171,0.0412,0.0111,0.0095,0.0037,0.0192,-0.0027
605.5,0.0269,0.0343,0.0089,0.0155,0.0171,0.0414,0.0111,0.0095,0.0036,0.0192,-0.0027
606,0.027,0.0344,0.0089,0.0155,0.0172,0.0414,0.0111,0.0095,0.0036,0.0191,-0.0027
606.5,0.0272,0.0343,0.0089,0.0155,0.0171,0.0414,0.011,0.0095,0.0036,0.019,-0.0027
607,0.0274,0.0343,0.0089,0.0155,0.0172,0.0414,0.0111,0.0095,0.0036,0.019,-0.0027
607.5,0.0276,0.0343,0.0088,0.0154,0.0172,0.0413,0.011,0.0095,0.0035,0.0189,-0.0027
608,0.0277,0.0342,0.0087,0.0153,0.0171,0.0412,0.011,0.0095,0.0036,0.0189,-0.0027
608.5,0.0279,0.034,0.0087,0.0153,0.017,0.041,0.011,0.0095,0.0035,0.0188,-0.0027
609,0.028,0.0338,0.0086,0.0152,0.0169,0.0409,0.0109,0.0095,0.0035,0.0187,-0.0027
609.5,0.0282,0.0336,0.0085,0.0151,0.0168,0.0406,0.0109,0.0094,0.0034,0.0186,-0.0027
610,0.0283,0.0334,0.0084,0.015,0.0167,0.0403,0.0109,0.0094,0.0034,0.0184,-0.0027
610.5,0.0284,0.0332,0.0083,0.0149,0.0166,0.04,0.0108,0.0094,0.0033,0.0183,-0.0027
611,0.0285,0.0328,0.0082,0.0147,0.0164,0.0396,0.0108,0.0094,0.0033,0.0181,-0.0027
611.5,0.0285,0.0325,0.0081,0.0146,0.0162,0.0391,0.0108,0.0094,0.0032,0.0179,-0.0027
612,0.0286,0.0323,0.008,0.0145,0.0161,0.0387,0.0107,0.0094,0.0032,0.0177,-0.0027
612.5,0.0287,0.0319,0.0078,0.0143,0.0159,0.0382,0.0107,0.0093,0.0031,0.0174,-0.0027
613,0.0288,0.0315,0.0078,0.0142,0.0157,0.0377,0.0107,0.0093,0.0031,0.0172,-0.0027
613.5,0.0288,0.0312,0.0077,0.0141,0.0156,0.0372,0.0106,0.0093,0.0031,0.0171,-0.0027
614,0.0288,0.0307,0.0076,0.0139,0.0153,0.0365,0.0106,0.0093,0.003,0.0168,-0.0027
614.5,0.0288,0.0304,0.0075,0.0137,0.0151,0.036,0.0105,0.0092,0.0029,0.0166,-0.0026
615,0.0288,0.03,0.0074,0.0136,0.0149,0.0355,0.0105,0.0093,0.0029,0.0165,-0.0026
615.5,0.0287,0.0296,0.0072,0.0135,0.0147,0.0348,0.0104,0.0092,0.0028,0.0162,-0.0026
616,0.0286,0.0292,0.0071,0.0133,0.0145,0.0344,0.0104,0.0092,0.0028,0.016,-0.0026
616.5,0.0285,0.0289,0.007,0.0132,0.0143,0.0339,0.0104,0.0092,0.0028,0.0159,-0.0027
617,0.0284,0.0284,0.0069,0.013,0.014,0.0332,0.0103,0.0091,0.0027,0.0156,-0.0027
617.5,0.0283,0.028,0.0068,0.0129,0.0138,0.0327,0.0102,0.0091,0.0026,0.0154,-0.0027
618,0.0282,0.0277,0.0067,0.0128,0.0137,0.0322,0.0102,0.0091,0.0026,0.0153,-0.0027
618.5,0.0279,0.0273,0.0066,0.0127,0.0134,0.0316,0.0101,0.009,0.0025,0.015,-0.0027
619,0.0278,0.027,0.0065,0.0126,0.0133,0.0312,0.0102,0.0091,0.0025,0.0149,-0.0026
619.5,0.0276,0.0267,0.0064,0.0126,0.0131,0.0307,0.0101,0.009,0.0025,0.0147,-0.0026
620,0.0274,0.0263,0.0063,0.0124,0.0129,0.03,0.01,0.009,0.0024,0.0144,-0.0027
620.5,0.0272,0.026,0.0062,0.0124,0.0127,0.0296,0.01,0.009,0.0024,0.0143,-0.0027
621,0.027,0.0258,0.0062,0.0123,0.0125,0.0291,0.01,0.009,0.0024,0.0141,-0.0026
621.5,0.0269,0.0255,0.0061,0.0123,0.0124,0.0287,0.01,0.0089,0.0024,0.014,-0.0026
622,0.0268,0.0253,0.006,0.0122,0.0123,0.0284,0.0099,0.0089,0.0023,0.0138,-0.0026
622.5,0.0267,0.025,0.0059,0.0121,0.0121,0.0279,0.0099,0.0088,0.0023,0.0137,-0.0026
623,0.0265,0.0248,0.0059,0.0121,0.012,0.0276,0.0099,0.0088,0.0023,0.0135,-0.0027
623.5,0.0265,0.0247,0.0059,0.0121,0.0119,0.0274,0.0098,0.0088,0.0023,0.0135,-0.0026
624,0.0264,0.0246,0.0058,0.0121,0.0118,0.0271,0.0098,0.0088,0.0023,0.0134,-0.0026
624.5,0.0263,0.0245,0.0058,0.0121,0.0117,0.0268,0.0098,0.0088,0.0023,0.0133,-0.0026
625,0.0262,0.0244,0.0058,0.0121,0.0116,0.0266,0.0098,0.0088,0.0023,0.0133,-0.0027
625.5,0.0261,0.0243,0.0058,0.0121,0.0116,0.0264,0.0098,0.0088,0.0023,0.0132,-0.0026
626,0.0261,0.0243,0.0058,0.0121,0.0116,0.0263,0.0098,0.0088,0.0023,0.0132,-0.0026
626.5,0.0261,0.0242,0.0058,0.0121,0.0116,0.0261,0.0098,0.0088,0.0023,0.0132,-0.0026
627,0.026,0.0243,0.0057,0.0121,0.0116,0.026,0.0098,0.0087,0.0023,0.0132,-0.0026
627.5,0.0259,0.0242,0.0057,0.0122,0.0116,0.026,0.0098,0.0087,0.0023,0.0131,-0.0026
628,0.0258,0.0243,0.0057,0.0122,0.0116,0.0259,0.0098,0.0087,0.0023,0.0131,-0.0026
628.5,0.0258,0.0244,0.0057,0.0123,0.0117,0.0259,0.0098,0.0087,0.0025,0.0132,-0.0026
629,0.0257,0.0244,0.0057,0.0123,0.0117,0.0259,0.0098,0.0087,0.0024,0.0131,-0.0026
629.5,0.0256,0.0245,0.0058,0.0124,0.0118,0.0259,0.0098,0.0087,0.0025,0.0132,-0.0026
630,0.0256,0.0246,0.0058,0.0125,0.0118,0.026,0.0099,0.0087,0.0025,0.0132,-0.0026
630.5,0.0256,0.0248,0.0059,0.0126,0.012,0.0261,0.0099,0.0087,0.0026,0.0133,-0.0026
631,0.0255,0.0249,0.0058,0.0127,0.012,0.0262,0.0099,0.0086,0.0026,0.0133,-0.0026
631.5,0.0255,0.025,0.0059,0.0128,0.0121,0.0263,0.0099,0.0087,0.0027,0.0134,-0.0026
632,0.0254,0.0253,0.006,0.013,0.0123,0.0266,0.01,0.0087,0.0028,0.0135,-0.0026
632.5,0.0254,0.0255,0.0061,0.0132,0.0125,0.0268,0.01,0.0087,0.0029,0.0137,-0.0026
633,0.0253,0.0256,0.0061,0.0133,0.0126,0.0269,0.0101,0.0087,0.003,0.0137,-0.0026
633.5,0.0254,0.0259,0.0062,0.0135,0.0127,0.0272,0.0101,0.0087,0.003,0.0139,-0.0026
