Wavelength Scan - Scanning,,,,,,,,,,,
,,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,,
Serial Number:,,,8002850,,,,,,,,
Software Version:,,,"2.1,  Build 5",,,,,,,,
Firmware Version:,,,2.0.102,,,,,,,,
Method Name:,,,LTER Chl,,,,,,,,
Organization:,,,,,,,,,,,
Department:,,,,,,,,,,,
Operator:,,,,,,,,,,,
Product Name:,,,,,,,,,,,
Component Name:,,,,,,,,,,,
Lot Number:,,,,,,,,,,,
Comment:,,,,,,,,,,,
Signature 1:,,,,,,,,,,,
Signature 2:,,,,,,,,,,,
Signature 3:,,,,,,,,,,,
Signature 4:,,,,,,,,,,,
Signature 5:,,,,,,,,,,,
,,,,,,,,,,,
#,Filename,Acquired,,,,,,,,,
1,,3/2/22 10:10,,,,,,,,,
,,,,,,,,,,,
Scan Mode:,,,Abs,,,,,,,,
Start Wavelength:,,,600.0 nm,,,,,,,,
End Wavelength:,,,775.0 nm,,,,,,,,
Wavelength Interval:,,,0.5 nm,,,,,,,,
Scan Speed:,,,600 nm/min,,,,,,,,
,,,,,,,,,,,
,Sample Name,,Description,,,,,,,,
1,ELV_220210,,150,,,,,,,,
2,KP_220210,,30,,,,,,,,
3,O-S_220210,,300,,,,,,,,
4,O-N_220210,,250,,,,,,,,
5,DOBA8_220210,,200,,,,,,,,
6,DOBA7_220211,,150,,,,,,,,
7,OPP-W_220211,,60,,,,,,,,
8,OPP-E_220211,,125,,,,,,,,
9,UM-ARB_220211,,250,,,,,,,,
10,LM-ARB_220211,,250,,,,,,,,
11,BLA,,3000,,,,,,,,
,,,,,,,,,,,
nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600,0.0431,0.053,0.0172,0.0262,0.0307,0.0354,0.0658,0.1192,0.0192,0.0176,-0.0002
600.5,0.0433,0.0532,0.0173,0.0263,0.0309,0.0355,0.0664,0.1203,0.0193,0.0177,-0.0001
601,0.0436,0.0534,0.0172,0.0262,0.0312,0.0356,0.0671,0.1217,0.0193,0.0177,-0.0001
601.5,0.0438,0.0536,0.0173,0.0262,0.0314,0.0356,0.0677,0.1228,0.0194,0.0178,-0.0001
602,0.044,0.0538,0.0174,0.0261,0.0315,0.0357,0.0682,0.124,0.0194,0.0179,-0.0001
602.5,0.0443,0.054,0.0175,0.026,0.0317,0.0358,0.069,0.1254,0.0195,0.018,-0.0001
603,0.0445,0.0542,0.0176,0.0259,0.0318,0.0359,0.0695,0.1265,0.0195,0.0181,-0.0001
603.5,0.0447,0.0544,0.0177,0.0259,0.0319,0.036,0.0701,0.1277,0.0196,0.0183,-0.0001
604,0.0449,0.0546,0.0177,0.0258,0.0319,0.0359,0.0708,0.1292,0.0196,0.0184,-0.0001
604.5,0.0451,0.0547,0.0177,0.0258,0.0319,0.036,0.0713,0.1303,0.0197,0.0185,-0.0001
605,0.0453,0.0549,0.0177,0.0258,0.0318,0.036,0.0719,0.1317,0.0198,0.0185,-0.0001
605.5,0.0454,0.0551,0.0176,0.0257,0.0318,0.036,0.0726,0.1332,0.0198,0.0186,-0.0001
606,0.0455,0.0553,0.0176,0.0257,0.0318,0.0362,0.0731,0.1343,0.02,0.0187,-0.0001
606.5,0.0457,0.0554,0.0175,0.0258,0.0317,0.0362,0.0736,0.1355,0.02,0.0188,-0.0001
607,0.0459,0.0556,0.0175,0.0258,0.0315,0.0362,0.0742,0.1367,0.0201,0.0189,-0.0001
607.5,0.0461,0.0557,0.0175,0.0258,0.0314,0.0361,0.0747,0.1377,0.0201,0.0189,-0.0001
608,0.0464,0.0558,0.0176,0.0257,0.0313,0.036,0.0752,0.1388,0.0202,0.0189,-0.0001
608.5,0.0467,0.056,0.0176,0.0256,0.0311,0.0359,0.0757,0.14,0.0203,0.019,-0.0001
609,0.0469,0.0561,0.0177,0.0255,0.031,0.0357,0.076,0.1408,0.0203,0.019,-0.0001
609.5,0.0472,0.0563,0.0177,0.0256,0.0308,0.0357,0.0764,0.1417,0.0204,0.0191,-0.0001
610,0.0474,0.0566,0.0177,0.0256,0.0307,0.0358,0.0767,0.1428,0.0205,0.0191,-0.0001
610.5,0.0476,0.0567,0.0177,0.0255,0.0305,0.0359,0.0771,0.1438,0.0205,0.0191,-0.0001
611,0.0477,0.0569,0.0177,0.0255,0.0303,0.0359,0.0775,0.1448,0.0205,0.0191,-0.0001
611.5,0.0478,0.057,0.0176,0.0254,0.03,0.0359,0.0777,0.1457,0.0205,0.0191,-0.0001
612,0.0478,0.0572,0.0175,0.0253,0.0299,0.0359,0.078,0.1466,0.0206,0.0192,-0.0001
612.5,0.0478,0.0574,0.0175,0.0254,0.0297,0.0359,0.0783,0.1475,0.0206,0.0192,-0.0001
613,0.0478,0.0575,0.0175,0.0254,0.0296,0.0358,0.0786,0.1481,0.0206,0.0192,-0.0001
613.5,0.0479,0.0575,0.0175,0.0255,0.0294,0.0358,0.0788,0.1486,0.0206,0.0193,-0.0001
614,0.048,0.0575,0.0175,0.0255,0.0292,0.0357,0.0791,0.1492,0.0205,0.0193,-0.0001
614.5,0.0481,0.0575,0.0175,0.0254,0.029,0.0357,0.0793,0.1496,0.0204,0.0193,-0.0001
615,0.0481,0.0577,0.0175,0.0253,0.0289,0.0357,0.0795,0.15,0.0203,0.0194,-0.0001
615.5,0.0483,0.0578,0.0175,0.0253,0.0287,0.0357,0.0796,0.1504,0.0203,0.0198,-0.0001
616,0.0484,0.058,0.0175,0.0254,0.0286,0.0358,0.0797,0.1507,0.0202,0.0201,-0.0001
616.5,0.0484,0.0581,0.0176,0.0255,0.0284,0.0357,0.0798,0.1508,0.0202,0.0204,-0.0001
617,0.0485,0.0584,0.0175,0.0256,0.0282,0.0355,0.0798,0.1509,0.0201,0.0208,-0.0001
617.5,0.0486,0.0585,0.0175,0.0257,0.0281,0.0354,0.0797,0.151,0.02,0.0212,0
618,0.0485,0.0585,0.0175,0.0257,0.028,0.0352,0.0797,0.151,0.02,0.0216,0
618.5,0.0486,0.0587,0.0175,0.0259,0.0279,0.035,0.0796,0.151,0.02,0.022,-0.0001
619,0.0487,0.059,0.0176,0.0259,0.0278,0.0349,0.0797,0.151,0.02,0.0222,0
619.5,0.0487,0.0591,0.0175,0.026,0.0276,0.0347,0.0796,0.1511,0.0199,0.0223,-0.0001
620,0.0488,0.0592,0.0175,0.026,0.0275,0.0346,0.0795,0.1511,0.0198,0.0225,-0.0001
620.5,0.0489,0.0593,0.0175,0.026,0.0274,0.0345,0.0796,0.1512,0.0198,0.0226,-0.0001
621,0.0488,0.0595,0.0175,0.0261,0.0272,0.0345,0.0796,0.1512,0.0198,0.0227,0
621.5,0.0487,0.0596,0.0174,0.026,0.027,0.0345,0.0796,0.1512,0.0197,0.0227,-0.0001
622,0.0487,0.0596,0.0173,0.0261,0.0268,0.0345,0.0797,0.1512,0.0197,0.0227,0
622.5,0.0487,0.0595,0.0172,0.0261,0.0267,0.0345,0.0798,0.1512,0.0197,0.0228,0
623,0.0486,0.0592,0.0171,0.0261,0.0265,0.0344,0.0798,0.1511,0.0196,0.0227,-0.0001
623.5,0.0486,0.0591,0.0171,0.0261,0.0264,0.0344,0.0799,0.1511,0.0197,0.0226,0
624,0.0485,0.059,0.0169,0.0261,0.0263,0.0343,0.0799,0.1511,0.0197,0.0227,0
624.5,0.0484,0.0588,0.0168,0.026,0.0262,0.0342,0.0799,0.1512,0.0197,0.0227,-0.0001
625,0.0485,0.0588,0.0168,0.0259,0.0262,0.0341,0.0799,0.1512,0.0197,0.0227,0
625.5,0.0485,0.0587,0.0167,0.0259,0.026,0.0339,0.08,0.1512,0.0196,0.0226,-0.0001
626,0.0485,0.0589,0.0167,0.026,0.0259,0.0337,0.08,0.1511,0.0196,0.0226,0
626.5,0.0486,0.0589,0.0165,0.026,0.0258,0.0335,0.08,0.1512,0.0196,0.0226,0
627,0.0488,0.0589,0.0165,0.0259,0.0258,0.0333,0.0799,0.1512,0.0196,0.0226,-0.0001
627.5,0.0488,0.0589,0.0164,0.0258,0.0258,0.0332,0.0799,0.1513,0.0197,0.0226,-0.0001
628,0.0489,0.059,0.0162,0.0257,0.0256,0.0331,0.0799,0.1514,0.0197,0.0225,-0.0001
628.5,0.049,0.0592,0.0161,0.0258,0.0255,0.0331,0.0798,0.1515,0.0197,0.0225,0
629,0.0493,0.0592,0.016,0.0259,0.0254,0.0331,0.0799,0.1517,0.0197,0.0224,0
629.5,0.0495,0.0591,0.0159,0.026,0.0252,0.0333,0.0799,0.1519,0.0197,0.0224,-0.0001
630,0.0497,0.0591,0.0159,0.026,0.0251,0.0335,0.08,0.1523,0.0198,0.0223,0
630.5,0.0498,0.0592,0.0159,0.026,0.0249,0.0336,0.08,0.1527,0.0198,0.0221,0
631,0.05,0.0593,0.0159,0.026,0.0248,0.0338,0.0801,0.1531,0.0199,0.0219,0
631.5,0.0502,0.0594,0.0159,0.0261,0.0246,0.0339,0.0802,0.1535,0.0199,0.0216,0
632,0.0503,0.0593,0.0159,0.0261,0.0245,0.034,0.0803,0.154,0.0199,0.0213,0
632.5,0.0504,0.0593,0.0158,0.0263,0.0244,0.0341,0.0804,0.1543,0.0199,0.0211,0
633,0.0505,0.0596,0.0158,0.0263,0.0242,0.0341,0.0805,0.1547,0.0199,0.0209,0
633.5,0.0506,0.0597,0.0158,0.0264,0.0242,0.0341,0.0808,0.1551,0.0199,0.0207,0
634,0.0505,0.0597,0.0158,0.0264,0.0241,0.0341,0.081,0.1555,0.0198,0.0206,0
