analysis_date,export,batch_id,sample_id,CO2_FID,CO2_TCD,CH4_FID,CH4_TCD,N2O_ECD
11/1/21 14:34,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,OPP-W_2021-06-02_Air_1,350.46004,440.45196,1.42824,0,0.45022
11/1/21 14:49,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,OPP-W_2021-06-02_Air_2,353.39124,445.27826,1.00071,0,0.38991
11/1/21 15:05,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,OPP-W_2021-06-02_Air_3,355.21091,450.57547,1.00429,0,0.37562
11/1/21 15:21,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,OPP-E_2021-06-02_Air_1,397.85274,482.8566,0.88783,0,0.37551
11/1/21 15:37,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,OPP-E_2021-06-02_Air_2,361.14793,448.23495,1.18974,0,0.37612
11/1/21 15:53,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,OPP-E_2021-06-02_Air_3,416.10745,494.4159,1.20425,0,0.38323
11/1/21 16:08,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA7_2021-06-02_Air_1,377.84626,460.23744,0.96348,0,0.38362
11/1/21 16:24,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA7_2021-06-02_Air_2,349.59165,441.21027,1.12828,0,0.37725
11/1/21 16:40,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA7_2021-06-02_Air_3,373.33423,457.90239,1.06564,0,0.38125
11/1/21 16:56,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,UM-ARB_2021-06-03_Air_1,370.85597,448.07876,1.14357,0,0.3818
11/1/21 17:12,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,UM-ARB_2021-06-03_Air_2,358.89756,448.12172,1.2669,0,0.37795
11/1/21 17:28,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,UM-ARB_2021-06-03_Air_3,377.48631,463.33861,0.8713,0,0.37434
11/1/21 17:43,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,LM-ARB_2021-06-03_Air_1,369.27283,459.4682,1.26046,0,0.37287
11/1/21 17:59,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,LM-ARB_2021-06-03_Air_2,358.57367,440.78348,1.10213,0,0.37975
11/1/21 18:15,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,LM-ARB_2021-06-03_Air_3,357.77768,451.97104,1.09685,0,0.38496
11/1/21 18:31,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,CAP_2021-06-07_Air_1,363.34897,446.95341,1.1515,0,0.37651
11/1/21 18:47,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,CAP_2021-06-07_Air_2,374.07308,460.32881,0.97641,0,0.38223
11/1/21 19:02,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,CAP_2021-06-07_Air_3,360.90503,447.35013,0.9759,0,0.38678
11/1/21 19:18,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA4_2021-06-07_Air_1,362.97375,447.07992,1.10524,0,0.39009
11/1/21 19:34,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA4_2021-06-07_Air_2,371.21076,453.30335,1.02653,0,0.38137
11/1/21 19:50,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA4_2021-06-07_Air_3,360.13231,442.63786,1.00063,0,0.37657
11/1/21 20:06,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA5_2021-06-07_Air_1,354.21527,434.88767,0.91487,0,0.37485
11/1/21 20:21,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA5_2021-06-07_Air_2,350.39497,444.74409,0.82559,0,0.379
11/1/21 20:37,export_20211101_gorsky_run1_box1_box2_seta.txt,POND,DOBA5_2021-06-07_Air_3,354.07785,442.85887,1.21734,0,0.37037
