analysis_date,export,batch_id,sample_id,CO2_FID,CO2_TCD,CH4_FID,CH4_TCD,N2O_ECD
11/11/21 14:42,run2_tray1.txt,POND,DOBA7_2021-06-14_Air_1,352.85951,411.74377,0.83154,0,0.41183
11/11/21 14:58,run2_tray1.txt,POND,DOBA7_2021-06-14_Air_2,349.62996,419.64236,0.98461,0,0.4085
11/11/21 15:14,run2_tray1.txt,POND,DOBA7_2021-06-14_Air_3,345.56129,414.97401,0.82163,0,0.40359
11/11/21 15:30,run2_tray1.txt,POND,OPP-W_2021-06-14_Air_1,359.73101,425.33342,1.20551,0,0.41006
11/11/21 15:45,run2_tray1.txt,POND,OPP-W_2021-06-14_Air_2,336.56989,405.42496,1.20532,0,0.41335
11/11/21 16:01,run2_tray1.txt,POND,OPP-W_2021-06-14_Air_3,343.0005,417.04786,0.74493,0,0.40979
11/11/21 16:17,run2_tray1.txt,POND,OPP-E_2021-06-14_Air_1,337.29139,408.00685,0.98214,0,0.40405
11/11/21 16:33,run2_tray1.txt,POND,OPP-E_2021-06-14_Air_2,337.30348,403.62327,0.99864,0,0.41017
11/11/21 16:49,run2_tray1.txt,POND,OPP-E_2021-06-14_Air_3,338.39038,406.90649,0.91264,0,0.40413
11/11/21 17:05,run2_tray1.txt,POND,ALC_2021-06-15_Air_1,406.7847,474.97478,0.95306,0,0.40689
11/11/21 17:20,run2_tray1.txt,POND,ALC_2021-06-15_Air_2,349.61494,410.19146,1.06805,0,0.40413
11/11/21 17:36,run2_tray1.txt,POND,ALC_2021-06-15_Air_3,331.81017,421.2208,0.91968,0,0.4085
11/11/21 17:52,run2_tray1.txt,POND,LM-ARB_2021-06-15_Air_1,351.40072,416.43873,1.13424,0,0.4136
11/11/21 18:08,run2_tray1.txt,POND,LM-ARB_2021-06-15_Air_2,351.16134,416.77014,1.00677,0,0.40848
11/11/21 18:24,run2_tray1.txt,POND,LM-ARB_2021-06-15_Air_3,485.05459,547.6463,0.98037,0,0.40969
11/11/21 18:39,run2_tray1.txt,POND,UM-ARB_2021-06-15_Air_1,372.80994,425.81533,1.41566,0,0.40941
11/11/21 18:55,run2_tray1.txt,POND,UM-ARB_2021-06-15_Air_2,347.04463,414.79252,1.96151,0,0.41664
11/11/21 19:11,run2_tray1.txt,POND,UM-ARB_2021-06-15_Air_3,345.41008,415.0625,1.66717,0,0.40922
11/11/21 19:27,run2_tray1.txt,POND,DOBA5_2021-06-16_Air_1,346.2561,416.1495,0.99989,0,0.39982
11/11/21 19:43,run2_tray1.txt,POND,DOBA5_2021-06-16_Air_2,451.4687,510.77692,1.06318,0,0.40838
11/11/21 19:59,run2_tray1.txt,POND,DOBA5_2021-06-16_Air_3,338.55941,414.63938,1.02414,0,0.41476
11/11/21 20:14,run2_tray1.txt,POND,DOBA4_2021-06-16_Air_1,391.51562,456.86108,19.98522,0,0.41238
11/11/21 20:30,run2_tray1.txt,POND,DOBA4_2021-06-16_Air_2,348.62564,412.13398,1.12632,0,0.41217
11/11/21 20:46,run2_tray1.txt,POND,DOBA4_2021-06-16_Air_3,368.39329,434.67477,0.72337,0,0.40863
11/11/21 21:02,run2_tray1.txt,POND,CAP_2021-06-16_Air_1,353.57723,420.61458,0.73066,0,0.40919
11/11/21 21:18,run2_tray1.txt,POND,CAP_2021-06-16_Air_2,365.29059,437.28418,1.64267,0,0.41703
11/11/21 21:33,run2_tray1.txt,POND,CAP_2021-06-16_Air_3,375.9301,439.80517,7.76821,0,0.408
11/11/21 21:49,run2_tray1.txt,POND,DOBA8_2021-06-17_Air_1,339.41933,409.89555,0.89914,0,0.41148
