analysis_date,batch_id,sample_id,pond,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,export_median,replicate_median,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
11/2/21 7:57,POND,DOBA7_2021-06-02_Surface_1,DOBA7,6/2/21,Surface,85.08371,203.24026,35.64654,11.56519,0.47703,export_20211101_gorsky_run1_box1_box2_seta.txt,2,373.33423,1.06564,0.38125,35,105,25.9,25.9,97.87995
11/2/21 8:13,POND,DOBA7_2021-06-02_Surface_2,DOBA7,6/2/21,Surface,86.94571,197.26869,43.44735,19.58928,0.47566,export_20211101_gorsky_run1_box1_box2_seta.txt,2,373.33423,1.06564,0.38125,35,105,25.9,25.9,97.87995
11/2/21 8:29,POND,DOBA7_2021-06-02_Surface_3,DOBA7,6/2/21,Surface,521.07438,587.02847,19.06787,-6.88781,0.44056,export_20211101_gorsky_run1_box1_box2_seta.txt,2,373.33423,1.06564,0.38125,35,105,25.9,25.9,97.87995
11/2/21 7:10,POND,OPP-E_2021-06-02_Surface_1,OPP-E,6/2/21,Surface,84.55283,210.03925,127.37957,111.829,0.41069,export_20211101_gorsky_run1_box1_box2_seta.txt,2,397.85274,1.18974,0.37612,35,105,21.5,21.5,98.28525
11/2/21 7:26,POND,OPP-E_2021-06-02_Surface_2,OPP-E,6/2/21,Surface,42.70309,162.31982,112.69504,96.83271,0.43328,export_20211101_gorsky_run1_box1_box2_seta.txt,2,397.85274,1.18974,0.37612,35,105,21.5,21.5,98.28525
11/2/21 7:41,POND,OPP-E_2021-06-02_Surface_3,OPP-E,6/2/21,Surface,54.43536,171.37186,98.24459,80.06001,0.42983,export_20211101_gorsky_run1_box1_box2_seta.txt,2,397.85274,1.18974,0.37612,35,105,21.5,21.5,98.28525
11/2/21 6:22,POND,OPP-W_2021-06-02_Surface_1,OPP-W,6/2/21,Surface,86.05646,201.34332,123.50486,107.2336,0.49721,export_20211101_gorsky_run1_box1_box2_seta.txt,2,353.39124,1.00429,0.38991,35,105,23.9,23.9,98.28525
11/2/21 6:38,POND,OPP-W_2021-06-02_Surface_2,OPP-W,6/2/21,Surface,114.49964,221.47241,123.95608,108.02019,0.49683,export_20211101_gorsky_run1_box1_box2_seta.txt,2,353.39124,1.00429,0.38991,35,105,23.9,23.9,98.28525
11/2/21 6:54,POND,OPP-W_2021-06-02_Surface_3,OPP-W,6/2/21,Surface,63.24906,179.66208,71.58345,55.935,0.51855,export_20211101_gorsky_run1_box1_box2_seta.txt,2,353.39124,1.00429,0.38991,35,105,23.9,23.9,98.28525
11/2/21 9:32,POND,LM-ARB_2021-06-03_Surface_1,LM-ARB,6/3/21,Surface,2158.99385,2008.90783,134.61958,119.23788,0.507,export_20211101_gorsky_run1_box1_box2_seta.txt,2,358.57367,1.10213,0.37975,35,105,22.3,22.3,98.0826
11/2/21 9:48,POND,LM-ARB_2021-06-03_Surface_2,LM-ARB,6/3/21,Surface,1643.738,1569.64571,128.38233,109.77464,0.42847,export_20211101_gorsky_run1_box1_box2_seta.txt,2,358.57367,1.10213,0.37975,35,105,22.3,22.3,98.0826
11/2/21 10:04,POND,LM-ARB_2021-06-03_Surface_3,LM-ARB,6/3/21,Surface,1873.47696,1770.57467,155.57824,136.33467,0.43777,export_20211101_gorsky_run1_box1_box2_seta.txt,2,358.57367,1.10213,0.37975,35,105,22.3,22.3,98.0826
11/2/21 8:45,POND,UM-ARB_2021-06-03_Surface_1,UM-ARB,6/3/21,Surface,2546.14604,2346.53814,339.37494,324.58612,0.58235,export_20211101_gorsky_run1_box1_box2_seta.txt,2,370.85597,1.14357,0.37795,35,105,20.4,20.4,98.0826
11/2/21 9:00,POND,UM-ARB_2021-06-03_Surface_2,UM-ARB,6/3/21,Surface,2292.68779,2129.95651,323.2753,320.62845,0.51481,export_20211101_gorsky_run1_box1_box2_seta.txt,2,370.85597,1.14357,0.37795,35,105,20.4,20.4,98.0826
11/2/21 9:16,POND,UM-ARB_2021-06-03_Surface_3,UM-ARB,6/3/21,Surface,2129.14918,1986.8244,315.01743,301.75195,0.58602,export_20211101_gorsky_run1_box1_box2_seta.txt,2,370.85597,1.14357,0.37795,35,105,20.4,20.4,98.0826
11/2/21 10:19,POND,CAP_2021-06-07_Surface_1,CAP,6/7/21,Surface,3316.60983,3005.01332,485.4859,484.66809,0.27611,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.34897,0.97641,0.38223,35,105,26.2,26.2,97.981275
11/2/21 10:35,POND,CAP_2021-06-07_Surface_2,CAP,6/7/21,Surface,3108.87212,2831.48296,412.54901,399.77464,0.28092,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.34897,0.97641,0.38223,35,105,26.2,26.2,97.981275
11/2/21 10:51,POND,CAP_2021-06-07_Surface_3,CAP,6/7/21,Surface,2957.13747,2697.01983,373.32984,362.29188,0.28773,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.34897,0.97641,0.38223,35,105,26.2,26.2,97.981275
11/2/21 11:07,POND,DOBA4_2021-06-07_Surface_1,DOBA4,6/7/21,Surface,260.62468,359.86608,47.14843,27.12011,0.36475,export_20211101_gorsky_run1_box1_box2_seta.txt,2,362.97375,1.02653,0.38137,35,105,25.8,25.8,97.87995
11/2/21 11:23,POND,DOBA4_2021-06-07_Surface_2,DOBA4,6/7/21,Surface,257.20714,357.50331,42.81866,20.71973,0.36469,export_20211101_gorsky_run1_box1_box2_seta.txt,2,362.97375,1.02653,0.38137,35,105,25.8,25.8,97.87995
11/2/21 11:39,POND,DOBA4_2021-06-07_Surface_3,DOBA4,6/7/21,Surface,217.71448,322.73093,52.83157,31.76604,0.36166,export_20211101_gorsky_run1_box1_box2_seta.txt,2,362.97375,1.02653,0.38137,35,105,25.8,25.8,97.87995
11/2/21 11:54,POND,DOBA5_2021-06-07_Surface_1,DOBA5,6/7/21,Surface,713.16508,762.54675,131.49757,115.03523,0.41341,export_20211101_gorsky_run1_box1_box2_seta.txt,2,354.07785,0.91487,0.37485,35,105,27.9,27.9,97.981275
11/2/21 12:10,POND,DOBA5_2021-06-07_Surface_2,DOBA5,6/7/21,Surface,788.66778,824.12616,149.96757,132.08753,0.42248,export_20211101_gorsky_run1_box1_box2_seta.txt,2,354.07785,0.91487,0.37485,35,105,27.9,27.9,97.981275
11/2/21 12:26,POND,DOBA5_2021-06-07_Surface_3,DOBA5,6/7/21,Surface,818.68512,848.48607,204.9244,187.56352,0.42251,export_20211101_gorsky_run1_box1_box2_seta.txt,2,354.07785,0.91487,0.37485,35,105,27.9,27.9,97.981275
11/2/21 12:42,POND,ALC_2021-06-08_Surface_1,ALC,6/8/21,Surface,104.41379,225.42717,397.9887,392.82716,0.27457,export_20211101_gorsky_run1_box1_box2_seta.txt,2,385.81521,1.08483,0.3806,35,105,24.2,24.2,98.69055
11/2/21 13:25,POND,ALC_2021-06-08_Surface_2,ALC,6/8/21,Surface,91.68906,211.88503,281.03636,270.23124,0.28931,export_20211101_gorsky_run1_box1_box2_seta.txt,2,385.81521,1.08483,0.3806,35,105,24.2,24.2,98.69055
11/2/21 13:41,POND,ALC_2021-06-08_Surface_3,ALC,6/8/21,Surface,92.65677,210.32976,308.70013,301.06423,0.29016,export_20211101_gorsky_run1_box1_box2_seta.txt,2,385.81521,1.08483,0.3806,35,105,24.2,24.2,98.69055
11/2/21 13:57,POND,ELV_2021-06-08_Surface_1,ELV,6/8/21,Surface,209.98241,316.87456,31.57619,9.98761,0.38974,export_20211101_gorsky_run1_box1_box2_seta.txt,2,374.06561,1.02232,0.37341,35,105,27.1,27.1,98.0826
11/2/21 14:13,POND,ELV_2021-06-08_Surface_2,ELV,6/8/21,Surface,229.22639,329.50102,19.58981,-0.76537,0.3918,export_20211101_gorsky_run1_box1_box2_seta.txt,2,374.06561,1.02232,0.37341,35,105,27.1,27.1,98.0826
11/2/21 14:29,POND,ELV_2021-06-08_Surface_3,ELV,6/8/21,Surface,269.77326,368.13717,14.75596,-5.9606,0.39115,export_20211101_gorsky_run1_box1_box2_seta.txt,2,374.06561,1.02232,0.37341,35,105,27.1,27.1,98.0826
11/2/21 14:45,POND,DCSW1_2021-06-09_Surface_1,DCSW1,6/9/21,Surface,86.41211,197.47682,34.17868,14.76208,0.52907,export_20211101_gorsky_run1_box1_box2_seta.txt,2,390.33569,1.13371,0.3821,35,105,26.9,26.9,98.589225
11/2/21 15:00,POND,DCSW1_2021-06-09_Surface_2,DCSW1,6/9/21,Surface,41.40365,170.47337,40.62043,21.34757,0.54762,export_20211101_gorsky_run1_box1_box2_seta.txt,2,390.33569,1.13371,0.3821,35,105,26.9,26.9,98.589225
11/2/21 15:16,POND,DCSW1_2021-06-09_Surface_3,DCSW1,6/9/21,Surface,84.99142,203.0458,43.78626,24.40549,0.56767,export_20211101_gorsky_run1_box1_box2_seta.txt,2,390.33569,1.13371,0.3821,35,105,26.9,26.9,98.589225
11/2/21 15:32,POND,DCSW2_2021-06-09_Surface_1,DCSW2,6/9/21,Surface,75.67238,186.24357,52.37176,32.16043,0.60123,export_20211101_gorsky_run1_box1_box2_seta.txt,2,361.62379,0.99511,0.37661,35,105,27.3,27.3,98.589225
11/2/21 15:48,POND,DCSW2_2021-06-09_Surface_2,DCSW2,6/9/21,Surface,69.71632,189.16434,55.70943,34.84868,0.63896,export_20211101_gorsky_run1_box1_box2_seta.txt,2,361.62379,0.99511,0.37661,35,105,27.3,27.3,98.589225
11/2/21 16:04,POND,DCSW2_2021-06-09_Surface_3,DCSW2,6/9/21,Surface,49.06509,162.08944,58.27222,37.71929,0.71421,export_20211101_gorsky_run1_box1_box2_seta.txt,2,361.62379,0.99511,0.37661,35,105,27.3,27.3,98.589225
11/2/21 16:20,POND,DCSW3_2021-06-09_Surface_1,DCSW3,6/9/21,Surface,117.78285,228.33466,26.94723,6.02445,0.45833,export_20211101_gorsky_run1_box1_box2_seta.txt,2,362.77681,0.9685,0.37865,35,105,28.7,28.7,98.589225
11/2/21 16:35,POND,DCSW3_2021-06-09_Surface_2,DCSW3,6/9/21,Surface,62.89734,179.30558,37.51037,17.2394,0.47014,export_20211101_gorsky_run1_box1_box2_seta.txt,2,362.77681,0.9685,0.37865,35,105,28.7,28.7,98.589225
11/2/21 16:51,POND,DCSW3_2021-06-09_Surface_3,DCSW3,6/9/21,Surface,96.22496,211.84169,43.94267,22.10615,0.47977,export_20211101_gorsky_run1_box1_box2_seta.txt,2,362.77681,0.9685,0.37865,35,105,28.7,28.7,98.589225
11/2/21 17:55,POND,DOBA8_2021-06-10_Surface_1,DOBA8,6/10/21,Surface,1704.64425,1620.28043,75.59502,58.77375,0.34825,export_20211101_gorsky_run1_box1_box2_seta.txt,2,369.62595,1.00413,0.37899,35,105,28.8,28.8,97.6773
11/2/21 18:10,POND,DOBA8_2021-06-10_Surface_2,DOBA8,6/10/21,Surface,1912.79759,1802.90305,95.50878,76.90486,0.34288,export_20211101_gorsky_run1_box1_box2_seta.txt,2,369.62595,1.00413,0.37899,35,105,28.8,28.8,97.6773
11/2/21 18:26,POND,DOBA8_2021-06-10_Surface_3,DOBA8,6/10/21,Surface,2103.26656,1970.93706,110.41834,96.11039,0.33189,export_20211101_gorsky_run1_box1_box2_seta.txt,2,369.62595,1.00413,0.37899,35,105,28.8,28.8,97.6773
11/2/21 18:42,POND,HP_2021-06-10_Surface_1,HP,6/10/21,Surface,1663.56074,1584.54866,126.86626,112.80674,1.05738,export_20211101_gorsky_run1_box1_box2_seta.txt,2,374.31918,1.04969,0.38149,35,105,27.1,27.1,98.386575
11/2/21 18:58,POND,HP_2021-06-10_Surface_2,HP,6/10/21,Surface,1741.9171,1650.87978,143.11955,129.30755,1.10624,export_20211101_gorsky_run1_box1_box2_seta.txt,2,374.31918,1.04969,0.38149,35,105,27.1,27.1,98.386575
11/2/21 19:14,POND,HP_2021-06-10_Surface_3,HP,6/10/21,Surface,2095.65135,1958.59564,177.11372,159.96093,1.21969,export_20211101_gorsky_run1_box1_box2_seta.txt,2,374.31918,1.04969,0.38149,35,105,27.1,27.1,98.386575
11/2/21 17:07,POND,MDT_2021-06-10_Surface_1,MDT,6/10/21,Surface,102.70207,220.56456,72.28899,52.28658,0.35137,export_20211101_gorsky_run1_box1_box2_seta.txt,2,380.37005,1.03089,0.38405,35,105,28.1,28.1,97.272
11/2/21 17:23,POND,MDT_2021-06-10_Surface_2,MDT,6/10/21,Surface,115.99569,224.01833,65.6634,43.70221,0.35329,export_20211101_gorsky_run1_box1_box2_seta.txt,2,380.37005,1.03089,0.38405,35,105,28.1,28.1,97.272
11/2/21 17:39,POND,MDT_2021-06-10_Surface_3,MDT,6/10/21,Surface,52.11028,171.4234,92.7817,72.30781,0.34219,export_20211101_gorsky_run1_box1_box2_seta.txt,2,380.37005,1.03089,0.38405,35,105,28.1,28.1,97.272
11/2/21 19:29,POND,KP_2021-06-11_Surface_1,KP,6/11/21,Surface,14392.00627,12515.88948,3038.4133,3082.09913,0.23446,export_20211101_gorsky_run1_box1_box2_seta.txt,2,399.64381,1.45953,0.39199,35,105,23.8,23.8,97.87995
11/2/21 19:45,POND,KP_2021-06-11_Surface_2,KP,6/11/21,Surface,15668.59019,13595.13613,3584.21051,3636.56957,0.22555,export_20211101_gorsky_run1_box1_box2_seta.txt,2,399.64381,1.45953,0.39199,35,105,23.8,23.8,97.87995
11/2/21 20:01,POND,KP_2021-06-11_Surface_3,KP,6/11/21,Surface,17946.9426,15568.43278,4985.46404,5068.70597,0.1738,export_20211101_gorsky_run1_box1_box2_seta.txt,2,399.64381,1.45953,0.39199,35,105,23.8,23.8,97.87995
11/2/21 21:52,POND,L60-UW_2021-06-11_Surface_1,L60-UW,6/11/21,Surface,870.9012,899.49722,1011.65991,1016.10003,0.30697,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.12513,1.02972,0.38763,35,105,32.4,32.4,97.981275
11/2/21 22:08,POND,L60-UW_2021-06-11_Surface_2,L60-UW,6/11/21,Surface,427.95668,512.51451,1694.3596,1717.34304,0.26098,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.12513,1.02972,0.38763,35,105,32.4,32.4,97.981275
11/2/21 22:23,POND,L60-UW_2021-06-11_Surface_3,L60-UW,6/11/21,Surface,1837.85886,1744.67745,1907.35917,1928.26771,0.25503,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.12513,1.02972,0.38763,35,105,32.4,32.4,97.981275
11/2/21 21:04,POND,O-N_2021-06-11_Surface_1,O-N,6/11/21,Surface,557.99053,629.71269,21.46429,-4.08366,0.51072,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.23607,1.09361,0.38698,35,105,31.1,31.1,97.981275
11/2/21 21:20,POND,O-N_2021-06-11_Surface_2,O-N,6/11/21,Surface,528.72379,599.93452,22.51833,0.57271,0.53053,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.23607,1.09361,0.38698,35,105,31.1,31.1,97.981275
11/2/21 21:36,POND,O-N_2021-06-11_Surface_3,O-N,6/11/21,Surface,520.59851,587.63137,26.81395,4.84292,0.56466,export_20211101_gorsky_run1_box1_box2_seta.txt,2,363.23607,1.09361,0.38698,35,105,31.1,31.1,97.981275
11/2/21 20:17,POND,O-S_2021-06-11_Surface_1,O-S,6/11/21,Surface,684.1774,737.36567,50.77652,27.78695,0.35908,export_20211101_gorsky_run1_box1_box2_seta.txt,2,396.2169,1.6635,0.38751,35,105,29.5,29.5,97.981275
11/2/21 20:33,POND,O-S_2021-06-11_Surface_2,O-S,6/11/21,Surface,624.92116,680.57507,43.78306,26.18191,0.3643,export_20211101_gorsky_run1_box1_box2_seta.txt,2,396.2169,1.6635,0.38751,35,105,29.5,29.5,97.981275
11/2/21 20:48,POND,O-S_2021-06-11_Surface_3,O-S,6/11/21,Surface,645.98245,696.38549,36.88605,14.27431,0.36014,export_20211101_gorsky_run1_box1_box2_seta.txt,2,396.2169,1.6635,0.38751,35,105,29.5,29.5,97.981275
