sample_number,analysis_date,batch_id,sample_id,pond,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
1,4/23/22 1:49,POND,HP_2022-01-12_Surface_1,HP,2022-01-12,Surface,1528.6145,1528.6145,222.64047,222.64047,1.55879,409.713705,1.492085,0.50686,35,105,3.4,3.4,98.362
2,4/23/22 2:04,POND,HP_2022-01-12_Surface_2,HP,2022-01-12,Surface,1227.4364,1227.4364,141.82892,141.82892,1.20614,409.713705,1.492085,0.50686,35,105,3.4,3.4,98.362
3,4/23/22 2:20,POND,HP_2022-01-12_Surface_3,HP,2022-01-12,Surface,1579.01092,1579.01092,220.43383,220.43383,1.61019,409.713705,1.492085,0.50686,35,105,3.4,3.4,98.362
4,4/23/22 2:35,POND,LM-ARB_2022-01-12_Surface_1,LM-ARB,2022-01-12,Surface,6701.89466,6701.89466,317.04508,317.04508,0.60851,374.307315,1.2664,0.41658,35,105,1.4,1.4,98.16
5,4/23/22 2:50,POND,LM-ARB_2022-01-12_Surface_2,LM-ARB,2022-01-12,Surface,5557.84926,5557.84926,163.42147,163.42147,0.63778,374.307315,1.2664,0.41658,35,105,1.4,1.4,98.16
6,4/23/22 3:05,POND,LM-ARB_2022-01-12_Surface_3,LM-ARB,2022-01-12,Surface,3632.49532,3632.49532,76.14424,76.14424,0.59704,374.307315,1.2664,0.41658,35,105,1.4,1.4,98.16
7,4/23/22 3:20,POND,UM-ARB_2022-01-12_Surface_1,UM-ARB,2022-01-12,Surface,11863.62123,11863.62123,5299.29279,5299.29279,2.33047,367.02674,1.22986,0.41301,35,105,3.4,3.4,98.16
8,4/23/22 3:35,POND,UM-ARB_2022-01-12_Surface_2,UM-ARB,2022-01-12,Surface,11637.90554,11637.90554,5864.33277,5864.33277,1.98184,367.02674,1.22986,0.41301,35,105,3.4,3.4,98.16
9,4/23/22 3:51,POND,UM-ARB_2022-01-12_Surface_3,UM-ARB,2022-01-12,Surface,11764.58326,11764.58326,6054.87507,6054.87507,1.85979,367.02674,1.22986,0.41301,35,105,3.4,3.4,98.16
10,4/23/22 4:06,POND,OPP-E_2022-01-12_Surface_1,OPP-E,2022-01-12,Surface,2126.3236,2126.3236,23.66896,23.66896,0.42357,360.01849,1.04734,0.40747,35,105,2.1,2.1,97.856
11,4/23/22 4:21,POND,OPP-E_2022-01-12_Surface_2,OPP-E,2022-01-12,Surface,1981.89767,1981.89767,16.36906,16.36906,0.41786,360.01849,1.04734,0.40747,35,105,2.1,2.1,97.856
12,4/23/22 4:36,POND,OPP-E_2022-01-12_Surface_3,OPP-E,2022-01-12,Surface,1882.59915,1882.59915,16.92565,16.92565,0.41487,360.01849,1.04734,0.40747,35,105,2.1,2.1,97.856
13,4/23/22 4:51,POND,OPP-W_2022-01-12_Surface_1,OPP-W,2022-01-12,Surface,5546.35383,5546.35383,54.81853,54.81853,1.98667,366.2268034,1.193473334,0.41566,35,105,1.5,1.5,97.856
14,4/23/22 5:06,POND,OPP-W_2022-01-12_Surface_2,OPP-W,2022-01-12,Surface,5364.50014,5364.50014,54.16403,54.16403,1.95259,366.2268034,1.193473334,0.41566,35,105,1.5,1.5,97.856
15,4/23/22 5:22,POND,OPP-W_2022-01-12_Surface_3,OPP-W,2022-01-12,Surface,5078.62498,5078.62498,72.66522,72.66522,2.11474,366.2268034,1.193473334,0.41566,35,105,1.5,1.5,97.856
16,4/23/22 5:37,POND,L60_2022-01-13_Surface_1,L60,2022-01-13,Surface,4894.34992,4894.34992,941.7208,941.7208,0.25213,365.61578,1.09363,0.41942,35,105,1.4,1.4,98.261
17,4/23/22 5:52,POND,L60_2022-01-13_Surface_2,L60,2022-01-13,Surface,4984.81713,4984.81713,1016.87175,1016.87175,0.25165,365.61578,1.09363,0.41942,35,105,1.4,1.4,98.261
18,4/23/22 6:07,POND,L60_2022-01-13_Surface_3,L60,2022-01-13,Surface,4958.40453,4958.40453,920.59227,920.59227,0.25239,365.61578,1.09363,0.41942,35,105,1.4,1.4,98.261
19,4/23/22 6:22,POND,ALC_2022-01-13_Surface_1,ALC,2022-01-13,Surface,2589.31259,2589.31259,670.96909,670.96909,0.3799,389.019515,1.151455,0.42901,35,105,0.8,0.8,98.261
20,4/23/22 6:37,POND,ALC_2022-01-13_Surface_2,ALC,2022-01-13,Surface,2560.06687,2560.06687,660.43089,660.43089,0.38234,389.019515,1.151455,0.42901,35,105,0.8,0.8,98.261
21,4/23/22 6:53,POND,ALC_2022-01-13_Surface_3,ALC,2022-01-13,Surface,2493.03604,2493.03604,628.45071,628.45071,0.37704,389.019515,1.151455,0.42901,35,105,0.8,0.8,98.261
22,4/23/22 7:08,POND,DCSW1_2022-01-13_Surface_1,DCSW1,2022-01-13,Surface,733.91718,733.91718,100.28305,100.28305,0.44172,380.44519,1.30665,0.425765,35,105,2.4,2.4,98.058
23,4/23/22 7:23,POND,DCSW1_2022-01-13_Surface_2,DCSW1,2022-01-13,Surface,757.66679,757.66679,99.73091,99.73091,0.44704,380.44519,1.30665,0.425765,35,105,2.4,2.4,98.058
24,4/23/22 7:38,POND,DCSW1_2022-01-13_Surface_3,DCSW1,2022-01-13,Surface,748.14483,748.14483,105.18168,105.18168,0.442,380.44519,1.30665,0.425765,35,105,2.4,2.4,98.058
