sampledate,pond_name,pond_id,Zmax,AirTemp,AirPressure,Secchi_Up,Secchi_Down
2021-06-02,Owen Park Pond West,OPP-W,2.25,25.1,0.969,0.15,0.15
2021-06-02,Owen Park Pond East,OPP-E,1.5,24.2,0.97,0.28,0.3
2021-06-02,Dobson A7 Pond,DOBA7,1.75,26.4,0.966,0.35,0.35
2021-06-03,Manitow Lower pond,LM-ARB,0.4,23.8,0.968,0.3,0.35
2021-06-03,Manitow Upper Pond,UM-ARB,0.98,23.2,0.968,0.25,0.3
2021-06-07,Commercial Ave Pond,CAP,1.25,23.3,0.967,0.5,0.65
2021-06-07,Dobson A4,DOBA4,1.65,26.5,0.966,0.1,0.15
2021-06-07,DobsonA5,DOBA5,1.95,24.9,0.967,0.55,0.7
2021-06-08,Allient Center Pond,ALC,0.8,24.7,0.974,0.75,0.75
2021-06-08,Elver Pond,ELV,3,25,0.968,0.6,0.75
2021-06-09,Door county Storm Water 1,DCSW1,1.75,25,0.973,1.75,1.75
2021-06-09,Door county Storm Water 2,DCSW2,1.75,28,0.973,1.3,1.5
2021-06-09,Door county Storm Water 3,DCSW3,2,26.3,0.973,1.56,1.56
2021-06-10,Midtown Pond,MDT,1.4,23.3,0.96,,1.4
2021-06-10,Dobson A8,DOBA8,1.85,25.6,0.964,1.1,1.25
2021-06-10,Hospital Pond - UW,HP-UW,1.8,27.3,0.971,0.3,0.4
2021-06-11,Kettle Pond,KP,1.1,26.8,0.966,0.3,0.4
2021-06-11,Orchid South,O-S,1.1,26.6,0.967,0.5,0.6
2021-06-11,Orchid North,O-N,1.15,31.7,0.967,0.25,0.3
2021-06-11,Lot 60 - UW,L60-UW,1.15,27.2,0.967,0.9,0.9
2021-06-14,Dobson A7 Pond,DOBA7,1.48,20.9,0.967,0.3,0.4
2021-06-14,Owen Park Pond - West,OPP-W,2.5,23,0.97,0.25,0.3
2021-06-14,Owen Park Pond - East,OPP-E,1.3,21.7,0.97,0.3,0.4
2021-06-15,Allient center Pond,ALC,0.75,24.3,0.976,0.5,0.55
2021-06-15,Lower Manitow Pond,LM-ARB,0.64,18.5,0.977,0.15,0.2
2021-06-15,Upper Manitow Pond,UM-ARB,1.2,21.4,0.976,0.12,0.15
2021-06-16,Dobson A5,DOBA5,2.15,21.2,0.967,0.32,0.35
2021-06-16,Dobson A4,DOBA4,1.5,19.4,0.974,0.3,0.4
2021-06-16,Commercial Ave Pond,CAP,1.2,22.5,0.975,0.3,0.35
2021-06-17,Dobson A8,DOBA8,1.95,20.8,0.963,0.98,0.9
2021-06-17,Midtown Pond,MDT,1.3,25.2,0.964,0.55,0.65
2021-06-17,Elver Pond,ELV,2.5,23.9,0.965,0.45,0.5
2021-06-18,Hospital Pond - UW,HP-UW,1.88,24.1,0.966,0.45,0.45
2021-06-18,Lot 60 - UW,L60-UW,1.25,22.9,0.966,0.8,0.8
2021-06-21,Door county Storm Water - 3,DCSW3,2.25,18.9,0.962,0.8,0.8
2021-06-21,Door county Storm Water 2,DCSW2,1.73,16.4,0.963,0.6,0.65
2021-06-21,Door county Storm Water 1,DCSW1,1.98,17.3,0.964,1.6,1.6
2021-06-22,Kettle Pond,KP,1.25,20.9,0.969,0.28,0.3
2021-06-22,Orchid South,O-S,1.2,19.6,0.972,0.3,0.4
2021-06-22,Orchid North,O-N,1.15,17.7,0.972,0.25,0.3
2021-06-29,Owen Park Pond West,OPP-W,2.75,22.6,0.976,0.35,0.4
2021-06-29,Owen Park Pond East,OPP-E,2,21.6,0.974,0.27,0.3
