Label,Lake,Initial_SRP_ugL,Initial_SRP_mgL,Solution_Volume_mL,Mass_sediment_fresh_g,MC_frac,Final_SRP_ugL,Final_SRP_mgL
GV-1,Green Valley,0,0,40,0.4951,0.7581,50.421,0.050421
GV-1,Green Valley,0,0,40,0.4951,0.7581,50.783,0.050783
GV-1,Green Valley,50,0.05,40,0.4984,0.7581,52.738,0.052738
GV-1,Green Valley,50,0.05,40,0.4984,0.7581,52.769,0.052769
GV-1,Green Valley,100,0.1,40,0.5103,0.7581,61.395,0.061395
GV-1,Green Valley,100,0.1,40,0.5103,0.7581,61.647,0.061647
GV-1,Green Valley,150,0.15,40,0.4992,0.7581,77.49,0.07749
GV-1,Green Valley,150,0.15,40,0.4992,0.7581,77.848,0.077848
GV-1,Green Valley,200,0.2,40,0.4944,0.7581,71.292,0.071292
GV-1,Green Valley,200,0.2,40,0.4944,0.7581,71.365,0.071365
GV-1,Green Valley,500,0.5,40,0.5073,0.7581,143.29,0.14329
GV-1,Green Valley,500,0.5,40,0.5073,0.7581,143.98,0.14398
GV-1,Green Valley,1000,1,40,0.508,0.7581,315.72,0.31572
GV-1,Green Valley,1000,1,40,0.508,0.7581,315.51,0.31551
GV-2,Green Valley,0,0,40,0.5043,0.7305,66.958,0.066958
GV-2,Green Valley,0,0,40,0.5043,0.7305,67.698,0.067698
GV-2,Green Valley,50,0.05,40,0.4977,0.7305,73.739,0.073739
GV-2,Green Valley,50,0.05,40,0.4977,0.7305,74.394,0.074394
GV-2,Green Valley,100,0.1,40,0.4982,0.7305,74.785,0.074785
GV-2,Green Valley,100,0.1,40,0.4982,0.7305,75.214,0.075214
GV-2,Green Valley,150,0.15,40,0.4912,0.7305,90.748,0.090748
GV-2,Green Valley,150,0.15,40,0.4912,0.7305,90.228,0.090228
GV-2,Green Valley,200,0.2,40,0.5081,0.7305,92.848,0.092848
GV-2,Green Valley,200,0.2,40,0.5081,0.7305,92.757,0.092757
GV-2,Green Valley,500,0.5,40,0.5028,0.7305,172.74,0.17274
GV-2,Green Valley,500,0.5,40,0.5028,0.7305,173.36,0.17336
GV-2,Green Valley,1000,1,40,0.4946,0.7305,361.88,0.36188
GV-2,Green Valley,1000,1,40,0.4946,0.7305,361.89,0.36189
GV-3,Green Valley,0,0,40,0.5002,0.8523,107.14,0.10714
GV-3,Green Valley,0,0,40,0.5002,0.8523,107.72,0.10772
GV-3,Green Valley,50,0.05,40,0.5012,0.8523,101.51,0.10151
GV-3,Green Valley,50,0.05,40,0.5012,0.8523,101.51,0.10151
GV-3,Green Valley,100,0.1,40,0.4936,0.8523,108.8,0.1088
GV-3,Green Valley,100,0.1,40,0.4936,0.8523,105.25,0.10525
GV-3,Green Valley,150,0.15,40,0.4976,0.8523,101.56,0.10156
GV-3,Green Valley,150,0.15,40,0.4976,0.8523,98.692,0.098692
GV-3,Green Valley,200,0.2,40,0.503,0.8523,215.75,0.21575
GV-3,Green Valley,200,0.2,40,0.503,0.8523,131.94,0.13194
GV-3,Green Valley,500,0.5,40,0.5007,0.8523,131.77,0.13177
GV-3,Green Valley,500,0.5,40,0.5007,0.8523,214.22,0.21422
GV-3,Green Valley,1000,1,40,0.4958,0.8523,369.45,0.36945
GV-3,Green Valley,1000,1,40,0.4958,0.8523,370.37,0.37037
GV-4,Green Valley,0,0,40,0.5013,0.8663,79.484,0.079484
GV-4,Green Valley,0,0,40,0.5013,0.8663,80.331,0.080331
GV-4,Green Valley,50,0.05,40,0.5055,0.8663,82.774,0.082774
GV-4,Green Valley,50,0.05,40,0.5055,0.8663,81.748,0.081748
GV-4,Green Valley,100,0.1,40,0.5015,0.8663,92.364,0.092364
GV-4,Green Valley,100,0.1,40,0.5015,0.8663,92.63,0.09263
GV-4,Green Valley,150,0.15,40,0.4907,0.8663,100.58,0.10058
GV-4,Green Valley,50,0.15,40,0.4907,0.8663,98.098,0.098098
GV-4,Green Valley,200,0.2,40,0.4978,0.8663,116.84,0.11684
GV-4,Green Valley,200,0.2,40,0.4978,0.8663,114.88,0.11488
GV-4,Green Valley,500,0.5,40,0.5009,0.8663,195.59,0.19559
GV-4,Green Valley,500,0.5,40,0.5009,0.8663,193.01,0.19301
GV-4,Green Valley,1000,1,40,0.4988,0.8663,463.77,0.46377
GV-4,Green Valley,1000,1,40,0.4988,0.8663,464.35,0.46435
GV-5,Green Valley,0,0,40,0.4986,0.8353,127.12,0.12712
GV-5,Green Valley,0,0,40,0.4986,0.8353,124.68,0.12468
GV-5,Green Valley,50,0.05,40,0.4987,0.8353,134.74,0.13474
GV-5,Green Valley,50,0.05,40,0.4987,0.8353,134.74,0.13474
GV-5,Green Valley,100,0.1,40,0.5015,0.8353,159.8,0.1598
GV-5,Green Valley,100,0.1,40,0.5015,0.8353,158.48,0.15848
GV-5,Green Valley,150,0.15,40,0.4988,0.8353,154.78,0.15478
GV-5,Green Valley,150,0.15,40,0.4988,0.8353,154.78,0.15478
GV-5,Green Valley,200,0.2,40,0.5002,0.8353,167.85,0.16785
GV-5,Green Valley,200,0.2,40,0.5002,0.8353,165.51,0.16551
GV-5,Green Valley,500,0.5,40,0.4987,0.8353,274.76,0.27476
GV-5,Green Valley,500,0.5,40,0.4987,0.8353,275.23,0.27523
GV-5,Green Valley,1000,1,40,0.5006,0.8353,506.13,0.50613
