"","Vial","Cl_Treatment","Initial_SRP_ugL","Initial_SRP_mgL","Solution_Volume_mL","Mass_sediment_fresh_g","MC_frac","Final_SRP_ugL","Final_SRP_mgL","drymass_g","deltaSRPconc","deltaSRPmass","deltaP","Solution_Volume_L"
"1",1,0,0,0,40,0.0701,0.809437569,18.07,0.01807,0.0133584264131,-0.01807,-0.45175,-33.8176059088059,0.04
"2",2,0,20,0.02,40,0.0998,0.809437569,18.07,0.01807,0.0190181306138,0.00193,0.04825,2.53705271983928,0.04
"3",3,0,40,0.04,40,0.0774,0.809437569,33.622,0.033622,0.0147495321594,0.006378,0.15945,10.8105123794304,0.04
"4",4,0,80,0.08,40,0.1049,0.809437569,43.99,0.04399,0.0199899990119,0.03601,0.90025,45.0350197348226,0.04
"5",5,0,160,0.16,40,0.0934,0.809437569,101.014,0.101014,0.0177985310554,0.058986,1.47465,82.8523430057222,0.04
"6",6,0,320,0.32,40,0.096,0.809437569,243.574,0.243574,0.018293993376,0.076426,1.91065,104.441384706446,0.04
"7",7,50,0,0,40,0.1188,0.809437569,15.478,0.015478,0.0226388168028,-0.015478,-0.38695,-17.0923243635304,0.04
"8",8,50,20,0.02,40,0.1512,0.809437569,25.846,0.025846,0.0288130395672,-0.005846,-0.14615,-5.07235620383395,0.04
"9",9,50,40,0.04,40,0.0696,0.809437569,38.806,0.038806,0.0132631451976,0.001194,0.02985,2.25059739264571,0.04
"10",10,50,80,0.08,40,0.0971,0.809437569,56.95,0.05695,0.0185036120501,0.02305,0.57625,31.1425681882952,0.04
"11",11,50,160,0.16,40,0.0794,0.809437569,124.342,0.124342,0.0151306570214,0.035658,0.89145,58.9168070321851,0.04
"12",12,50,320,0.32,40,0.0846,0.809437569,253.942,0.253942,0.0161215816626,0.066058,1.65145,102.437219533562,0.04
"13",13,100,0,0,40,0.0832,0.809437569,18.07,0.01807,0.0158547942592,-0.01807,-0.45175,-28.4929588246069,0.04
"14",14,100,20,0.02,40,0.0514,0.809437569,25.846,0.025846,0.0097949089534,-0.005846,-0.14615,-14.9210166929901,0.04
"15",15,100,40,0.04,40,0.0672,0.809437569,33.622,0.033622,0.0128057953632,0.006378,0.15945,12.4513937227368,0.04
"16",16,100,80,0.08,40,0.1068,0.809437569,51.766,0.051766,0.0203520676308,0.028234,0.70585,34.6819798756857,0.04
"17",17,100,160,0.16,40,0.0944,0.809437569,121.75,0.12175,0.0179890934864,0.03825,0.95625,53.1572088789765,0.04
"18",18,100,320,0.32,40,0.0649,0.809437569,295.414,0.295414,0.0123675017719,0.024586,0.61465,49.6988002376144,0.04
"19",19,500,0,0,40,0.0724,0.809437569,23.254,0.023254,0.0137967200044,-0.023254,-0.58135,-42.1368267105948,0.04
"20",20,500,20,0.02,40,0.082,0.809437569,28.438,0.028438,0.015626119342,-0.008438,-0.21095,-13.4998329004827,0.04
"21",21,500,40,0.04,40,0.0826,0.809437569,41.398,0.041398,0.0157404568006,-0.001398,-0.0349499999999999,-2.22039299384676,0.04
"22",22,500,80,0.08,40,0.0593,0.809437569,75.094,0.075094,0.0113003521583,0.00490600000000001,0.12265,10.8536440530232,0.04
"23",23,500,160,0.16,40,0.0845,0.809437569,145.078,0.145078,0.0161025254195,0.014922,0.37305,23.167173488715,0.04
"24",24,500,320,0.32,40,0.0669,0.809437569,305.782,0.305782,0.0127486266339,0.014218,0.35545,27.8814346209512,0.04
"25",25,1000,0,0,40,0.0727,0.809437569,28.438,0.028438,0.0138538887337,-0.028438,-0.71095,-51.3177212309056,0.04
"26",26,1000,20,0.02,40,0.0699,0.809437569,41.398,0.041398,0.0133203139269,-0.021398,-0.53495,-40.1604649061373,0.04
"27",27,1000,40,0.04,40,0.0871,0.809437569,51.766,0.051766,0.0165979877401,-0.011766,-0.29415,-17.722027790715,0.04
"28",28,1000,80,0.08,40,0.0966,0.809437569,80.278,0.080278,0.0184083308346,-0.000278,-0.00695000000000001,-0.377546452334337,0.04
"29",29,1000,160,0.16,40,0.0765,0.809437569,160.63,0.16063,0.0145780259715,-0.000629999999999992,-0.0157499999999998,-1.08039319114886,0.04
"30",30,1000,320,0.32,40,0.0886,0.809437569,310.966,0.310966,0.0168838313866,0.00903399999999999,0.22585,13.3767031207885,0.04
