,Vial,Cl_Treatment,Initial_SRP_ugL,Initial_SRP_mgL,Solution_Volume_mL,Mass_sediment_fresh_g,MC_frac,Final_SRP_ugL,Final_SRP_mgL,drymass_g,deltaSRPconc,deltaSRPmass,deltaP,Solution_Volume_L
1,1,0,0,0,40,0.0701,0.809437569,18.07,0.01807,0.013358426,-0.01807,-0.45175,-33.81760591,0.04
2,2,0,20,0.02,40,0.0998,0.809437569,18.07,0.01807,0.019018131,0.00193,0.04825,2.53705272,0.04
3,3,0,40,0.04,40,0.0774,0.809437569,33.622,0.033622,0.014749532,0.006378,0.15945,10.81051238,0.04
4,4,0,80,0.08,40,0.1049,0.809437569,43.99,0.04399,0.019989999,0.03601,0.90025,45.03501973,0.04
5,5,0,160,0.16,40,0.0934,0.809437569,101.014,0.101014,0.017798531,0.058986,1.47465,82.85234301,0.04
6,6,0,320,0.32,40,0.096,0.809437569,243.574,0.243574,0.018293993,0.076426,1.91065,104.4413847,0.04
7,7,50,0,0,40,0.1188,0.809437569,15.478,0.015478,0.022638817,-0.015478,-0.38695,-17.09232436,0.04
8,8,50,20,0.02,40,0.1512,0.809437569,25.846,0.025846,0.02881304,-0.005846,-0.14615,-5.072356204,0.04
9,9,50,40,0.04,40,0.0696,0.809437569,38.806,0.038806,0.013263145,0.001194,0.02985,2.250597393,0.04
10,10,50,80,0.08,40,0.0971,0.809437569,56.95,0.05695,0.018503612,0.02305,0.57625,31.14256819,0.04
11,11,50,160,0.16,40,0.0794,0.809437569,124.342,0.124342,0.015130657,0.035658,0.89145,58.91680703,0.04
12,12,50,320,0.32,40,0.0846,0.809437569,253.942,0.253942,0.016121582,0.066058,1.65145,102.4372195,0.04
13,13,100,0,0,40,0.0832,0.809437569,18.07,0.01807,0.015854794,-0.01807,-0.45175,-28.49295882,0.04
14,14,100,20,0.02,40,0.0514,0.809437569,25.846,0.025846,0.009794909,-0.005846,-0.14615,-14.92101669,0.04
15,15,100,40,0.04,40,0.0672,0.809437569,33.622,0.033622,0.012805795,0.006378,0.15945,12.45139372,0.04
16,16,100,80,0.08,40,0.1068,0.809437569,51.766,0.051766,0.020352068,0.028234,0.70585,34.68197988,0.04
17,17,100,160,0.16,40,0.0944,0.809437569,121.75,0.12175,0.017989093,0.03825,0.95625,53.15720888,0.04
18,18,100,320,0.32,40,0.0649,0.809437569,295.414,0.295414,0.012367502,0.024586,0.61465,49.69880024,0.04
19,19,500,0,0,40,0.0724,0.809437569,23.254,0.023254,0.01379672,-0.023254,-0.58135,-42.13682671,0.04
20,20,500,20,0.02,40,0.082,0.809437569,28.438,0.028438,0.015626119,-0.008438,-0.21095,-13.4998329,0.04
21,21,500,40,0.04,40,0.0826,0.809437569,41.398,0.041398,0.015740457,-0.001398,-0.03495,-2.220392994,0.04
22,22,500,80,0.08,40,0.0593,0.809437569,75.094,0.075094,0.011300352,0.004906,0.12265,10.85364405,0.04
23,23,500,160,0.16,40,0.0845,0.809437569,145.078,0.145078,0.016102525,0.014922,0.37305,23.16717349,0.04
24,24,500,320,0.32,40,0.0669,0.809437569,305.782,0.305782,0.012748627,0.014218,0.35545,27.88143462,0.04
25,25,1000,0,0,40,0.0727,0.809437569,28.438,0.028438,0.013853889,-0.028438,-0.71095,-51.31772123,0.04
26,26,1000,20,0.02,40,0.0699,0.809437569,41.398,0.041398,0.013320314,-0.021398,-0.53495,-40.16046491,0.04
27,27,1000,40,0.04,40,0.0871,0.809437569,51.766,0.051766,0.016597988,-0.011766,-0.29415,-17.72202779,0.04
28,28,1000,80,0.08,40,0.0966,0.809437569,80.278,0.080278,0.018408331,-0.000278,-0.00695,-0.377546452,0.04
29,29,1000,160,0.16,40,0.0765,0.809437569,160.63,0.16063,0.014578026,-0.00063,-0.01575,-1.080393191,0.04
30,30,1000,320,0.32,40,0.0886,0.809437569,310.966,0.310966,0.016883831,0.009034,0.22585,13.37670312,0.04
