"","Vial","Cl_Treatment","Initial_SRP_ugL","Initial_SRP_mgL","Solution_Volume_mL","Mass_sediment_fresh_g","MC_frac","Final_SRP_ugL","Final_SRP_mgL","drymass_g","deltaSRPconc","deltaSRPmass","deltaP","Solution_Volume_L"
"1",1,0,0,0,40,0.0453,0.914152597,24.9051,0.0249051,0.0453,-0.0249051,-0.6226275,-13.7445364238411,0.04
"2",2,0,20,0.02,40,0.0431,0.914152597,20.5773,0.0205773,0.0431,-0.000577299999999999,-0.0144325,-0.334860788863109,0.04
"3",3,0,40,0.04,40,0.036,0.914152597,29.2329,0.0292329,0.036,0.0107671,0.2691775,7.47715277777778,0.04
"4",4,0,80,0.08,40,0.0386,0.914152597,24.9051,0.0249051,0.0386,0.0550949,1.3773725,35.683225388601,0.04
"5",5,0,160,0.16,40,0.0166,0.914152597,48.708,0.048708,0.0166,0.111292,2.7823,167.60843373494,0.04
"6",6,0,320,0.32,40,0.0298,0.914152597,76.8387,0.0768387,0.0298,0.2431613,6.0790325,203.994379194631,0.04
"7",7,2,0,0,40,0.037,0.914152597,22.7412,0.0227412,0.037,-0.0227412,-0.56853,-15.3656756756757,0.04
"8",8,2,20,0.02,40,0.0367,0.914152597,33.5607,0.0335607,0.0367,-0.0135607,-0.3390175,-9.2375340599455,0.04
"9",9,2,40,0.04,40,0.0801,0.914152597,24.9051,0.0249051,0.0801,0.0150949,0.3773725,4.71126716604245,0.04
"10",10,2,80,0.08,40,0.0178,0.914152597,37.8885,0.0378885,0.0178,0.0421115,1.0527875,59.1453651685393,0.04
"11",11,2,160,0.16,40,0.0265,0.914152597,42.2163,0.0422163,0.0265,0.1177837,2.9445925,111.116698113208,0.04
"12",12,2,320,0.32,40,0.0528,0.914152597,40.0524,0.0400524,0.0528,0.2799476,6.99869,132.550946969697,0.04
"13",13,4,0,0,40,0.078,0.914152597,35.7246,0.0357246,0.078,-0.0357246,-0.893115,-11.4501923076923,0.04
"14",14,4,20,0.02,40,0.048,0.914152597,22.7412,0.0227412,0.048,-0.0027412,-0.06853,-1.42770833333333,0.04
"15",15,4,40,0.04,40,0.0302,0.914152597,35.7246,0.0357246,0.0302,0.0042754,0.106885,3.53923841059603,0.04
"16",16,4,80,0.08,40,0.0674,0.914152597,20.5773,0.0205773,0.0674,0.0594227,1.4855675,22.0410608308605,0.04
"17",17,4,160,0.16,40,0.0584,0.914152597,37.8885,0.0378885,0.0584,0.1221115,3.0527875,52.2737585616438,0.04
"18",18,4,320,0.32,40,0.0456,0.914152597,40.0524,0.0400524,0.0456,0.2799476,6.99869,153.480043859649,0.04
"19",19,20,0,0,40,0.0622,0.914152597,33.5607,0.0335607,0.0622,-0.0335607,-0.8390175,-13.4890273311897,0.04
"20",20,20,20,0.02,40,0.0381,0.914152597,27.069,0.027069,0.0381,-0.007069,-0.176725,-4.63845144356955,0.04
"21",21,20,40,0.04,40,0.0418,0.914152597,35.7246,0.0357246,0.0418,0.0042754,0.106885,2.55705741626794,0.04
"22",22,20,80,0.08,40,0.0416,0.914152597,42.2163,0.0422163,0.0416,0.0377837,0.9445925,22.7065504807692,0.04
"23",23,20,160,0.16,40,0.0208,0.914152597,48.708,0.048708,0.0208,0.111292,2.7823,133.764423076923,0.04
"24",24,20,320,0.32,40,0.0489,0.914152597,42.2163,0.0422163,0.0489,0.2777837,6.9445925,142.016206543967,0.04
"25",25,28,0,0,40,0.0222,0.914152597,29.2329,0.0292329,0.0222,-0.0292329,-0.7308225,-32.9199324324324,0.04
"26",26,28,20,0.02,40,0.0299,0.914152597,42.2163,0.0422163,0.0299,-0.0222163,-0.5554075,-18.5755016722408,0.04
"27",27,28,40,0.04,40,0.0407,0.914152597,42.2163,0.0422163,0.0407,-0.0022163,-0.0554074999999999,-1.36136363636363,0.04
"28",28,28,80,0.08,40,0.0268,0.914152597,33.5607,0.0335607,0.0268,0.0464393,1.1609825,43.3202425373134,0.04
"29",29,28,160,0.16,40,0.0332,0.914152597,46.5441,0.0465441,0.0332,0.1134559,2.8363975,85.4336596385542,0.04
"30",30,28,300,0.3,40,0.035,0.914152597,87.6582,0.0876582,0.035,0.2123418,5.308545,151.672714285714,0.04
