DATE,pond,Depth,Temp_C,DO_Percent,DO_mgL,Conductivity
6/2/21,OPP-W,0,23.9,158.4,13.34,1
6/2/21,OPP-W,0.25,22,174.2,15.47,372
6/2/21,OPP-W,0.5,19.9,176,16.02,364.3
6/2/21,OPP-W,0.75,18.4,96.1,9,359.3
6/2/21,OPP-W,1,15,3.4,0.34,374.6
6/2/21,OPP-W,1.25,12.2,2.1,0.22,370.4
6/2/21,OPP-W,1.5,11.9,1.2,0.12,363
6/2/21,OPP-W,1.75,11.3,1,0.1,357.7
6/2/21,OPP-W,2,11,0.7,0.08,361.6
6/2/21,OPP-E,0,21.5,133,11.75,183.3
6/2/21,OPP-E,0.25,20.1,146.2,13.25,183
6/2/21,OPP-E,0.5,18.6,141.6,13.25,183.4
6/2/21,OPP-E,0.75,15.8,48.6,4.8,191.2
6/2/21,OPP-E,1,14.1,6,0.67,196.3
6/2/21,DOBA7,0,25.9,131.5,10.77,0.24
6/2/21,DOBA7,0.25,25.5,133.8,10.97,547
6/2/21,DOBA7,0.5,22.9,136.3,11.47,563
6/2/21,DOBA7,0.75,19.8,119.1,10.81,554
6/2/21,DOBA7,0.1,17.4,91.1,8.66,545
6/2/21,DOBA7,1.25,15.6,44.8,4.49,544
6/2/21,DOBA7,1.5,13.5,5.2,0.53,538
6/3/21,LM-ARB,0,22.3,79.6,6.92,0.1
6/3/21,LM-ARB,0.25,22.3,82.7,7.17,831
6/3/21,UM-ARB,0,20.4,108,9.72,0.2
6/3/21,UM-ARB,0.25,20.2,107.2,9.69,814
6/3/21,UM-ARB,0.5,20,103.2,9.34,827
6/3/21,UM-ARB,0.75,19.8,92.5,8.41,824
6/7/21,CAP,0,26.2,39.2,3.16,0.1
6/7/21,CAP,0.25,26.3,38.9,3.14,350.2
6/7/21,CAP,0.5,26.3,39.1,3.15,348
6/7/21,CAP,0.75,26.2,38.9,3.13,348.3
6/7/21,CAP,1,26.1,32.1,2.61,348.3
6/7/21,DOBA4,0,25.8,90.9,7.39,0.2
6/7/21,DOBA4,0.25,25.8,90.9,7.39,288
6/7/21,DOBA4,0.5,25.7,91.3,7.44,288.3
6/7/21,DOBA4,0.75,25.3,89.4,7.34,288.1
6/7/21,DOBA4,1,24.4,83,6.94,291.4
6/7/21,DOBA4,1.25,22.3,81.7,7.11,296.8
6/7/21,DOBA4,1.5,18.8,3.8,0.4,303.2
6/7/21,DOBA5,0,27.9,99,7.78,376
6/7/21,DOBA5,0.25,27.9,99,7.75,377.3
6/7/21,DOBA5,0.5,27.4,86.7,6.45,380.1
6/7/21,DOBA5,0.75,25.8,27.8,2.3,380
6/7/21,DOBA5,1,24.1,10.8,0.9,381.5
6/7/21,DOBA5,1.25,20.8,3.7,0.33,377.6
6/7/21,DOBA5,1.5,17.5,1.2,0.11,386.6
6/7/21,DOBA5,1.75,17.1,0.5,0.05,386
6/8/21,ALC,0,24.2,64.2,5.42,0.2
6/8/21,ALC,0.25,24.2,62.3,5.25,1349
6/8/21,ALC,0.5,23.8,28,2.36,1385
6/8/21,ELV,0,27.1,106.3,8.43,4.7
6/8/21,ELV,0.25,26.6,105.2,8.39,5.9
6/8/21,ELV,0.5,25.9,100.1,8.12,567
6/8/21,ELV,0.75,25.5,98.2,8.03,566
6/8/21,ELV,1,24.9,95.6,7.91,563
