Pond,Date,avsnow,totice,blackice,whiteice,secchi,Zmax
HP-UW,1/12/22,0,7.5,7.25,0.25,1.5,1.5
LM-ARB,1/12/22,0,24,16,8,0.45,0.7
OPP-E,1/12/22,2.5,20,7,13,0.1,1.25
OPP-W,1/12/22,3,12,8,4,0.15,2.1
UM-ARB,1/12/22,2.75,14,10,4,0.5,0.95
ALC,1/13/22,1.41,21,19,2,0.8,0.8
DOBA5,1/13/22,1.5,14,12,2,0.4,2.1
DOBA4,1/13/22,1.27,19,16,3,0.3,1.5
DCSW3,1/13/22,1.3,20,17,3,1.1,1.5
DCSW1,1/13/22,0.5,22,20,2,1.15,2
DCSW2,1/13/22,1.6,19,17,3,1.25,1.25
CAP,1/13/22,1.5,14,12.5,1.5,0.3,1.15
L60-UW,1/13/22,0.15,20,17.5,2.5,0.9,1.25
ELV,1/14/22,1.5,21,14,7,0.45,3
DOBA7,1/14/22,0,25,20,5,0.45,1.75
MDT,1/14/22,3,23,21,2,0.45,1.5
DOBA8,1/14/22,3,18,14,4,0.95,2
O-S,1/14/22,0,24,12,12,0.75,
O-N,1/14/22,0,19,14,5,0.55,
KP,1/14/22,2,20,15,5,0.1,
ALC,1/27/22,4.5,30.5,23.5,7,0.4,
DOBA5,1/27/22,8.1,21,16,5,0.7,
DOBA4,1/27/22,9,27.5,23,4.5,0.4,
DCSW3,1/27/22,8.9,28.5,25.5,3,1.15,
DCSW1,1/27/22,8,31.5,27.5,4,1.8,
DCSW2,1/27/22,8,27,24,3,1.2,
CAP,1/27/22,8.5,23.5,21,2.5,0.5,
KP,1/30/22,0,32,27,5,0.15,
DOBA8,1/30/22,11,23,20,3,1.25,
ELV,1/30/22,8,31,25.5,5.5,0.35,
MDT,1/30/22,8,31,25,6,0.45,
O-N,1/30/22,0,37,33.5,3.5,0.55,
O-S,1/30/22,6.5,35,29,6,0.35,
UM-ARB,1/31/22,3,25,16,9,0.5,
LM-ARB,1/31/22,0,42,22,20,0.6,
OPP-W,1/31/22,0,25,20,5,0.3,
OPP-E,1/31/22,10,25,19,6,0.4,
DOBA7,1/31/22,6,39,33,6,0.75,
HP-UW,1/31/22,6,22,21.5,0.5,1.45,
L60-UW,1/31/22,7.5,27,21,6,0.25,
ALC,2/9/22,2,33,30.5,2.5,0.5,
DOBA5,2/9/22,1.25,28,24,4,0.3,
DOBA4,2/9/22,1.75,33.5,31.5,2,0.12,
DCSW3,2/9/22,0.4,35,30.5,4.5,1.4,
DCSW1,2/9/22,1.15,37,34,3,2,
DCSW2,2/9/22,2,37,32,5,1.2,
CAP,2/9/22,0,33.5,29,4.5,0.25,
HP-UW,2/9/22,0.15,24,24,0,1.5,
L60-UW,2/9/22,0.5,35,33.5,1.5,0.3,
MDT,2/10/22,4,34.5,30,4.5,0.4,
ELV,2/10/22,4,36.4,32.6,3.8,0.4,
KP,2/10/22,6.5,36,29,7,0.1,
O-S,2/10/22,0,38,32.5,5.5,0.45,
O-N,2/10/22,3,33,27.5,5.5,0.5,
DOBA8,2/10/22,6.5,28.5,23.5,5,1.2,
DOBA7,2/11/22,0.1,43,38,5,0.25,
OPP-W,2/11/22,4,29.5,23.5,6,0.33,
OPP-E,2/11/22,6,28,24,4,0.33,
UM-ARB,2/11/22,0,30,22,8,0.5,
LM-ARB,2/11/22,0,47,29,18,0.5,
