"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21086715, SEN S/N: 21086715)","Intensity, lum/ft² (LGR S/N: 21086715, SEN S/N: 21086715)","Coupler Attached (LGR S/N: 21086715)","Host Connected (LGR S/N: 21086715)","Stopped (LGR S/N: 21086715)","End Of File (LGR S/N: 21086715)"
1,01/12/22 12:00:00 PM,4.311,160.0,,,,
2,01/12/22 12:30:00 PM,4.415,144.0,,,,
3,01/12/22 01:00:00 PM,4.415,240.0,,,,
4,01/12/22 01:30:00 PM,4.415,208.0,,,,
5,01/12/22 02:00:00 PM,4.415,176.0,,,,
6,01/12/22 02:30:00 PM,4.415,144.0,,,,
7,01/12/22 03:00:00 PM,4.311,120.0,,,,
8,01/12/22 03:30:00 PM,4.207,26.0,,,,
9,01/12/22 04:00:00 PM,4.207,15.0,,,,
10,01/12/22 04:30:00 PM,4.207,5.0,,,,
11,01/12/22 05:00:00 PM,4.207,0.0,,,,
12,01/12/22 05:30:00 PM,4.207,0.0,,,,
13,01/12/22 06:00:00 PM,4.311,0.0,,,,
14,01/12/22 06:30:00 PM,4.207,0.0,,,,
15,01/12/22 07:00:00 PM,4.311,0.0,,,,
16,01/12/22 07:30:00 PM,4.311,0.0,,,,
17,01/12/22 08:00:00 PM,4.311,0.0,,,,
18,01/12/22 08:30:00 PM,4.311,0.0,,,,
19,01/12/22 09:00:00 PM,4.311,0.0,,,,
20,01/12/22 09:30:00 PM,4.311,0.0,,,,
21,01/12/22 10:00:00 PM,4.311,0.0,,,,
22,01/12/22 10:30:00 PM,4.311,0.0,,,,
23,01/12/22 11:00:00 PM,4.311,0.0,,,,
24,01/12/22 11:30:00 PM,4.311,0.0,,,,
25,01/13/22 12:00:00 AM,4.311,0.0,,,,
26,01/13/22 12:30:00 AM,4.207,0.0,,,,
27,01/13/22 01:00:00 AM,4.311,0.0,,,,
28,01/13/22 01:30:00 AM,4.311,0.0,,,,
29,01/13/22 02:00:00 AM,4.207,0.0,,,,
30,01/13/22 02:30:00 AM,4.311,0.0,,,,
31,01/13/22 03:00:00 AM,4.311,0.0,,,,
32,01/13/22 03:30:00 AM,4.311,0.0,,,,
33,01/13/22 04:00:00 AM,4.311,0.0,,,,
34,01/13/22 04:30:00 AM,4.311,0.0,,,,
35,01/13/22 05:00:00 AM,4.311,0.0,,,,
36,01/13/22 05:30:00 AM,4.311,0.0,,,,
37,01/13/22 06:00:00 AM,4.311,0.0,,,,
38,01/13/22 06:30:00 AM,4.311,0.0,,,,
39,01/13/22 07:00:00 AM,4.311,0.0,,,,
40,01/13/22 07:30:00 AM,4.311,0.0,,,,
41,01/13/22 08:00:00 AM,4.311,17.0,,,,
42,01/13/22 08:30:00 AM,4.311,24.0,,,,
43,01/13/22 09:00:00 AM,4.311,35.0,,,,
44,01/13/22 09:30:00 AM,4.415,45.0,,,,
45,01/13/22 10:00:00 AM,4.519,106.0,,,,
46,01/13/22 10:30:00 AM,4.519,136.0,,,,
47,01/13/22 11:00:00 AM,4.519,117.0,,,,
48,01/13/22 11:30:00 AM,4.623,248.0,,,,
49,01/13/22 12:00:00 PM,4.623,100.0,,,,
50,01/13/22 12:30:00 PM,4.623,168.0,,,,
51,01/13/22 01:00:00 PM,4.727,176.0,,,,
52,01/13/22 01:30:00 PM,4.727,216.0,,,,
53,01/13/22 02:00:00 PM,4.831,176.0,,,,
54,01/13/22 02:30:00 PM,4.934,136.0,,,,
55,01/13/22 03:00:00 PM,4.831,111.0,,,,
56,01/13/22 03:30:00 PM,4.831,61.0,,,,
57,01/13/22 04:00:00 PM,4.831,23.0,,,,
58,01/13/22 04:30:00 PM,4.727,4.0,,,,
59,01/13/22 05:00:00 PM,4.727,0.0,,,,
60,01/13/22 05:30:00 PM,4.727,0.0,,,,
61,01/13/22 06:00:00 PM,4.727,0.0,,,,
62,01/13/22 06:30:00 PM,4.727,0.0,,,,
63,01/13/22 07:00:00 PM,4.727,0.0,,,,
64,01/13/22 07:30:00 PM,4.727,0.0,,,,
65,01/13/22 08:00:00 PM,4.727,0.0,,,,
66,01/13/22 08:30:00 PM,4.727,0.0,,,,
67,01/13/22 09:00:00 PM,4.727,0.0,,,,
68,01/13/22 09:30:00 PM,4.727,0.0,,,,
69,01/13/22 10:00:00 PM,4.727,0.0,,,,
70,01/13/22 10:30:00 PM,4.727,0.0,,,,
71,01/13/22 11:00:00 PM,4.727,0.0,,,,
72,01/13/22 11:30:00 PM,4.727,0.0,,,,
73,01/14/22 12:00:00 AM,4.727,0.0,,,,
74,01/14/22 12:30:00 AM,4.727,0.0,,,,
75,01/14/22 01:00:00 AM,4.727,0.0,,,,
76,01/14/22 01:30:00 AM,4.727,0.0,,,,
