"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Full Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Temp, °C (LGR S/N: 20758339, SEN S/N: 20758339)","Coupler Detached (LGR S/N: 20758339)","Coupler Attached (LGR S/N: 20758339)","Host Connected (LGR S/N: 20758339)","Stopped (LGR S/N: 20758339)","End Of File (LGR S/N: 20758339)"
1,01/12/22 12:00:00 PM,1170.2,1168.4,4.13,Logged,,,,
2,01/12/22 12:30:00 PM,1174.0,1171.9,4.25,,,,,
3,01/12/22 01:00:00 PM,1174.3,1172.7,4.24,,,,,
4,01/12/22 01:30:00 PM,1172.9,1170.7,4.18,,,,,
5,01/12/22 02:00:00 PM,1172.3,1170.4,4.15,,,,,
6,01/12/22 02:30:00 PM,1171.6,1170.0,4.14,,,,,
7,01/12/22 03:00:00 PM,1171.1,1169.2,4.12,,,,,
8,01/12/22 03:30:00 PM,1168.0,1166.1,4.02,,,,,
9,01/12/22 04:00:00 PM,1166.3,1164.5,4.00,,,,,
10,01/12/22 04:30:00 PM,1165.8,1164.2,3.97,,,,,
11,01/12/22 05:00:00 PM,1165.1,1163.0,3.96,,,,,
12,01/12/22 05:30:00 PM,1166.2,1164.1,3.98,,,,,
13,01/12/22 06:00:00 PM,1166.8,1164.9,4.00,,,,,
14,01/12/22 06:30:00 PM,1166.4,1164.5,4.03,,,,,
15,01/12/22 07:00:00 PM,1165.9,1163.7,4.04,,,,,
16,01/12/22 07:30:00 PM,1166.2,1164.0,4.09,,,,,
17,01/12/22 08:00:00 PM,1165.9,1163.6,4.08,,,,,
18,01/12/22 08:30:00 PM,1164.5,1162.9,4.04,,,,,
19,01/12/22 09:00:00 PM,1166.0,1164.4,4.08,,,,,
20,01/12/22 09:30:00 PM,1165.2,1163.2,4.06,,,,,
21,01/12/22 10:00:00 PM,1165.1,1163.2,4.06,,,,,
22,01/12/22 10:30:00 PM,1164.9,1162.8,4.06,,,,,
23,01/12/22 11:00:00 PM,1164.1,1162.1,4.03,,,,,
24,01/12/22 11:30:00 PM,1164.9,1162.5,4.02,,,,,
25,01/13/22 12:00:00 AM,1165.1,1163.3,4.02,,,,,
26,01/13/22 12:30:00 AM,1164.6,1162.5,4.01,,,,,
27,01/13/22 01:00:00 AM,1164.6,1162.5,4.01,,,,,
28,01/13/22 01:30:00 AM,1164.8,1162.9,4.01,,,,,
29,01/13/22 02:00:00 AM,1165.2,1163.3,4.02,,,,,
30,01/13/22 02:30:00 AM,1165.6,1163.7,4.02,,,,,
31,01/13/22 03:00:00 AM,1165.8,1163.7,4.01,,,,,
32,01/13/22 03:30:00 AM,1166.4,1164.5,4.02,,,,,
33,01/13/22 04:00:00 AM,1166.5,1164.9,4.02,,,,,
34,01/13/22 04:30:00 AM,1166.8,1164.9,4.02,,,,,
35,01/13/22 05:00:00 AM,1166.7,1164.5,4.03,,,,,
36,01/13/22 05:30:00 AM,1166.8,1164.5,4.02,,,,,
37,01/13/22 06:00:00 AM,1166.7,1164.9,4.03,,,,,
38,01/13/22 06:30:00 AM,1166.7,1164.5,4.03,,,,,
39,01/13/22 07:00:00 AM,1166.8,1164.9,4.02,,,,,
40,01/13/22 07:30:00 AM,1167.2,1165.3,4.04,,,,,
41,01/13/22 08:00:00 AM,1167.8,1166.1,4.06,,,,,
42,01/13/22 08:30:00 AM,1168.7,1166.4,4.09,,,,,
43,01/13/22 09:00:00 AM,1171.0,1169.1,4.16,,,,,
44,01/13/22 09:30:00 AM,1172.0,1169.9,4.18,,,,,
45,01/13/22 10:00:00 AM,1178.6,1176.5,4.39,,,,,
46,01/13/22 10:30:00 AM,1179.1,1177.7,4.40,,,,,
47,01/13/22 11:00:00 AM,1178.4,1176.1,4.38,,,,,
48,01/13/22 11:30:00 AM,1183.9,1182.3,4.55,,,,,
49,01/13/22 12:00:00 PM,1180.0,1177.7,4.43,,,,,
50,01/13/22 12:30:00 PM,1181.2,1179.6,4.49,,,,,
51,01/13/22 01:00:00 PM,1183.4,1181.9,4.58,,,,,
52,01/13/22 01:30:00 PM,1186.6,1185.0,4.64,,,,,
53,01/13/22 02:00:00 PM,1187.1,1185.8,4.67,,,,,
54,01/13/22 02:30:00 PM,1189.2,1187.4,4.68,,,,,
55,01/13/22 03:00:00 PM,1189.2,1187.4,4.65,,,,,
56,01/13/22 03:30:00 PM,1188.6,1186.6,4.64,,,,,
57,01/13/22 04:00:00 PM,1186.7,1184.7,4.58,,,,,
58,01/13/22 04:30:00 PM,1186.3,1184.7,4.56,,,,,
59,01/13/22 05:00:00 PM,1183.8,1182.0,4.52,,,,,
60,01/13/22 05:30:00 PM,1184.0,1182.0,4.52,,,,,
61,01/13/22 06:00:00 PM,1184.4,1182.8,4.51,,,,,
62,01/13/22 06:30:00 PM,1183.9,1182.4,4.50,,,,,
63,01/13/22 07:00:00 PM,1183.8,1182.0,4.50,,,,,
64,01/13/22 07:30:00 PM,1183.5,1182.0,4.49,,,,,
65,01/13/22 08:00:00 PM,1183.0,1181.6,4.48,,,,,
66,01/13/22 08:30:00 PM,1182.7,1181.2,4.48,,,,,
67,01/13/22 09:00:00 PM,1182.3,1180.8,4.48,,,,,
68,01/13/22 09:30:00 PM,1182.0,1180.4,4.48,,,,,
69,01/13/22 10:00:00 PM,1181.7,1180.0,4.45,,,,,
70,01/13/22 10:30:00 PM,1181.4,1180.1,4.44,,,,,
71,01/13/22 11:00:00 PM,1181.5,1180.0,4.45,,,,,
72,01/13/22 11:30:00 PM,1181.5,1179.6,4.46,,,,,
73,01/14/22 12:00:00 AM,1181.2,1179.2,4.46,,,,,
74,01/14/22 12:30:00 AM,1181.1,1179.2,4.45,,,,,
75,01/14/22 01:00:00 AM,1181.3,1180.0,4.45,,,,,
76,01/14/22 01:30:00 AM,1181.1,1179.3,4.44,,,,,
77,01/14/22 02:00:00 AM,1181.3,1179.6,4.45,,,,,
78,01/14/22 02:30:00 AM,1181.7,1180.1,4.44,,,,,
79,01/14/22 03:00:00 AM,1181.4,1179.6,4.45,,,,,
80,01/14/22 03:30:00 AM,1181.6,1180.0,4.46,,,,,
81,01/14/22 04:00:00 AM,1181.5,1179.6,4.45,,,,,
82,01/14/22 04:30:00 AM,1181.5,1179.6,4.46,,,,,
