"Plot Title: UM-ARB_Winter22"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20758340, SEN S/N: 20758340)","Full Range, μS/cm (LGR S/N: 20758340, SEN S/N: 20758340)","Temp, °F (LGR S/N: 20758340, SEN S/N: 20758340)","Coupler Detached (LGR S/N: 20758340)","Coupler Attached (LGR S/N: 20758340)","Host Connected (LGR S/N: 20758340)","Stopped (LGR S/N: 20758340)","End Of File (LGR S/N: 20758340)"
1,01/12/22 12:00:00 PM,0.9,-1.4,44.51,Logged,,,,
2,01/12/22 12:30:00 PM,2.2,-1.4,47.93,,,,,
3,01/12/22 01:00:00 PM,1.1,-1.5,49.64,,,,,
4,01/12/22 01:30:00 PM,1.1,-1.5,51.22,,,,,
5,01/12/22 02:00:00 PM,2.3,-1.4,47.82,,,,,
6,01/12/22 02:30:00 PM,475.9,468.7,36.45,,,,,
7,01/12/22 03:00:00 PM,475.9,468.3,36.50,,,,,
8,01/12/22 03:30:00 PM,477.0,469.8,36.55,,,,,
9,01/12/22 04:00:00 PM,475.6,468.3,36.55,,,,,
10,01/12/22 04:30:00 PM,477.4,469.8,36.64,,,,,
11,01/12/22 05:00:00 PM,474.9,467.5,36.46,,,,,
12,01/12/22 05:30:00 PM,475.2,467.9,36.55,,,,,
13,01/12/22 06:00:00 PM,477.4,469.8,36.59,,,,,
14,01/12/22 06:30:00 PM,477.0,471.3,36.68,,,,,
15,01/12/22 07:00:00 PM,475.0,467.5,36.57,,,,,
16,01/12/22 07:30:00 PM,474.2,466.7,36.54,,,,,
17,01/12/22 08:00:00 PM,474.9,467.5,36.59,,,,,
18,01/12/22 08:30:00 PM,474.3,467.9,36.57,,,,,
19,01/12/22 09:00:00 PM,475.7,468.2,36.61,,,,,
20,01/12/22 09:30:00 PM,475.9,468.2,36.59,,,,,
21,01/12/22 10:00:00 PM,476.4,470.2,36.55,,,,,
22,01/12/22 10:30:00 PM,475.0,468.6,36.57,,,,,
23,01/12/22 11:00:00 PM,476.5,470.2,36.45,,,,,
24,01/12/22 11:30:00 PM,477.0,469.4,36.37,,,,,
25,01/13/22 12:00:00 AM,480.2,475.2,36.32,,,,,
