"Plot Title: UM-ARB_Winter22"
"#","Date Time, GMT-06:00","Abs Pres, psi (LGR S/N: 21230008, SEN S/N: 21230008)","Temp, °F (LGR S/N: 21230008, SEN S/N: 21230008)","Coupler Detached (LGR S/N: 21230008)","Coupler Attached (LGR S/N: 21230008)","Host Connected (LGR S/N: 21230008)","Stopped (LGR S/N: 21230008)","End Of File (LGR S/N: 21230008)"
1,01/12/22 12:00:00 PM,14.2930,48.339,Logged,,,,
2,01/12/22 12:30:00 PM,14.2159,49.228,,,,,
3,01/12/22 01:00:00 PM,14.2083,50.643,,,,,
4,01/12/22 01:30:00 PM,14.2053,52.050,,,,,
5,01/12/22 02:00:00 PM,14.2437,59.680,,,,,
6,01/12/22 02:30:00 PM,14.9676,40.509,,,,,
7,01/12/22 03:00:00 PM,14.9559,36.723,,,,,
8,01/12/22 03:30:00 PM,14.9606,36.723,,,,,
9,01/12/22 04:00:00 PM,14.9631,36.723,,,,,
10,01/12/22 04:30:00 PM,14.9727,36.723,,,,,
11,01/12/22 05:00:00 PM,14.9824,36.723,,,,,
12,01/12/22 05:30:00 PM,14.9897,36.723,,,,,
13,01/12/22 06:00:00 PM,14.9849,36.723,,,,,
14,01/12/22 06:30:00 PM,14.9897,36.723,,,,,
15,01/12/22 07:00:00 PM,14.9849,36.723,,,,,
16,01/12/22 07:30:00 PM,14.9799,36.723,,,,,
17,01/12/22 08:00:00 PM,14.9776,36.723,,,,,
18,01/12/22 08:30:00 PM,14.9799,36.723,,,,,
19,01/12/22 09:00:00 PM,14.9799,36.723,,,,,
20,01/12/22 09:30:00 PM,14.9824,36.723,,,,,
21,01/12/22 10:00:00 PM,14.9849,36.723,,,,,
22,01/12/22 10:30:00 PM,14.9799,36.723,,,,,
23,01/12/22 11:00:00 PM,14.9776,36.723,,,,,
24,01/12/22 11:30:00 PM,14.9727,36.723,,,,,
25,01/13/22 12:00:00 AM,14.9656,36.723,,,,,
26,01/13/22 12:30:00 AM,14.9679,36.723,,,,,
27,01/13/22 01:00:00 AM,14.9583,36.723,,,,,
28,01/13/22 01:30:00 AM,14.9606,36.723,,,,,
29,01/13/22 02:00:00 AM,14.9606,36.723,,,,,
30,01/13/22 02:30:00 AM,14.9583,36.723,,,,,
31,01/13/22 03:00:00 AM,14.9583,36.723,,,,,
32,01/13/22 03:30:00 AM,14.9583,36.723,,,,,
33,01/13/22 04:00:00 AM,14.9559,36.723,,,,,
34,01/13/22 04:30:00 AM,14.9606,36.723,,,,,
35,01/13/22 05:00:00 AM,14.9606,36.723,,,,,
36,01/13/22 05:30:00 AM,14.9631,36.723,,,,,
37,01/13/22 06:00:00 AM,14.9637,36.531,,,,,
38,01/13/22 06:30:00 AM,14.9643,36.338,,,,,
39,01/13/22 07:00:00 AM,14.9643,36.338,,,,,
40,01/13/22 07:30:00 AM,14.9666,36.338,,,,,
41,01/13/22 08:00:00 AM,14.9618,36.338,,,,,
42,01/13/22 08:30:00 AM,14.9618,36.338,,,,,
43,01/13/22 09:00:00 AM,14.9666,36.338,,,,,
44,01/13/22 09:30:00 AM,14.9643,36.338,,,,,
45,01/13/22 10:00:00 AM,14.9715,36.338,,,,,
46,01/13/22 10:30:00 AM,14.9685,36.531,,,,,
47,01/13/22 11:00:00 AM,14.9666,36.338,,,,,
48,01/13/22 11:30:00 AM,14.9643,36.338,,,,,
49,01/13/22 12:00:00 PM,14.9637,36.531,,,,,
50,01/13/22 12:30:00 PM,14.9618,36.338,,,,,
51,01/13/22 01:00:00 PM,14.9593,36.338,,,,,
52,01/13/22 01:30:00 PM,14.9546,36.338,,,,,
53,01/13/22 02:00:00 PM,14.9546,36.338,,,,,
54,01/13/22 02:30:00 PM,14.9570,36.338,,,,,
55,01/13/22 03:00:00 PM,14.9564,36.531,,,,,
56,01/13/22 03:30:00 PM,14.9570,36.338,,,,,
57,01/13/22 04:00:00 PM,14.9643,36.338,,,,,
58,01/13/22 04:30:00 PM,14.9733,36.531,,,,,
59,01/13/22 05:00:00 PM,14.9733,36.531,,,,,
60,01/13/22 05:30:00 PM,14.9849,36.723,,,,,
61,01/13/22 06:00:00 PM,14.9920,36.723,,,,,
62,01/13/22 06:30:00 PM,14.9979,36.338,,,,,
63,01/13/22 07:00:00 PM,14.9979,36.338,,,,,
64,01/13/22 07:30:00 PM,15.0004,36.338,,,,,
65,01/13/22 08:00:00 PM,15.0052,36.338,,,,,
66,01/13/22 08:30:00 PM,15.0076,36.338,,,,,
67,01/13/22 09:00:00 PM,15.0149,36.338,,,,,
68,01/13/22 09:30:00 PM,15.0178,36.145,,,,,
69,01/13/22 10:00:00 PM,15.0178,36.145,,,,,
70,01/13/22 10:30:00 PM,15.0221,36.338,,,,,
71,01/13/22 11:00:00 PM,15.0282,36.723,,,,,
72,01/13/22 11:30:00 PM,15.0263,36.531,,,,,
73,01/14/22 12:00:00 AM,15.0263,36.531,,,,,
74,01/14/22 12:30:00 AM,15.0239,36.531,,,,,
75,01/14/22 01:00:00 AM,15.0263,36.531,,,,,
76,01/14/22 01:30:00 AM,15.0311,36.531,,,,,
77,01/14/22 02:00:00 AM,15.0384,36.531,,,,,
78,01/14/22 02:30:00 AM,15.0432,36.531,,,,,
79,01/14/22 03:00:00 AM,15.0456,36.531,,,,,
80,01/14/22 03:30:00 AM,15.0462,36.338,,,,,
81,01/14/22 04:00:00 AM,15.0487,36.338,,,,,
82,01/14/22 04:30:00 AM,15.0558,36.338,,,,,
83,01/14/22 05:00:00 AM,15.0607,36.338,,,,,
84,01/14/22 05:30:00 AM,15.0655,36.338,,,,,
85,01/14/22 06:00:00 AM,15.0697,36.531,,,,,
86,01/14/22 06:30:00 AM,15.0819,36.531,,,,,
87,01/14/22 07:00:00 AM,15.0867,36.531,,,,,
88,01/14/22 07:30:00 AM,15.0939,36.531,,,,,
89,01/14/22 08:00:00 AM,15.0944,36.338,,,,,
90,01/14/22 08:30:00 AM,15.0968,36.338,,,,,
91,01/14/22 09:00:00 AM,15.1016,36.338,,,,,
92,01/14/22 09:30:00 AM,15.1066,36.338,,,,,
93,01/14/22 10:00:00 AM,15.1142,36.145,,,,,
94,01/14/22 10:30:00 AM,15.1105,35.758,,,,,
95,01/14/22 11:00:00 AM,15.1076,35.951,,,,,
96,01/14/22 11:30:00 AM,15.1028,35.951,,,,,
97,01/14/22 12:00:00 PM,15.0984,35.758,,,,,
98,01/14/22 12:30:00 PM,15.0961,35.758,,,,,
99,01/14/22 01:00:00 PM,15.0912,35.758,,,,,
100,01/14/22 01:30:00 PM,15.0889,35.758,,,,,
101,01/14/22 02:00:00 PM,15.0889,35.758,,,,,
102,01/14/22 02:30:00 PM,15.0936,35.758,,,,,
103,01/14/22 03:00:00 PM,15.1009,35.758,,,,,
104,01/14/22 03:30:00 PM,15.1032,35.758,,,,,
105,01/14/22 04:00:00 PM,15.1057,35.758,,,,,
106,01/14/22 04:30:00 PM,15.1129,35.758,,,,,
107,01/14/22 05:00:00 PM,15.1158,35.564,,,,,
108,01/14/22 05:30:00 PM,15.1231,35.564,,,,,
109,01/14/22 06:00:00 PM,15.1328,35.564,,,,,
110,01/14/22 06:30:00 PM,15.1338,35.175,,,,,
111,01/14/22 07:00:00 PM,15.1386,35.175,,,,,
112,01/14/22 07:30:00 PM,15.1409,35.175,,,,,
113,01/14/22 08:00:00 PM,15.1440,34.981,,,,,
114,01/14/22 08:30:00 PM,15.1492,34.786,,,,,
115,01/14/22 09:00:00 PM,15.1469,34.786,,,,,
116,01/14/22 09:30:00 PM,15.1463,34.981,,,,,
117,01/14/22 10:00:00 PM,15.1463,34.981,,,,,
118,01/14/22 10:30:00 PM,15.1488,34.981,,,,,
119,01/14/22 11:00:00 PM,15.1517,34.786,,,,,
120,01/14/22 11:30:00 PM,15.1583,34.981,,,,,
121,01/15/22 12:00:00 AM,15.1633,34.981,,,,,
122,01/15/22 12:30:00 AM,15.1656,34.981,,,,,
123,01/15/22 01:00:00 AM,15.1699,35.175,,,,,
124,01/15/22 01:30:00 AM,15.1728,34.981,,,,,
125,01/15/22 02:00:00 AM,15.1795,35.175,,,,,
126,01/15/22 02:30:00 AM,15.1776,34.981,,,,,
127,01/15/22 03:00:00 AM,15.1795,35.175,,,,,
128,01/15/22 03:30:00 AM,15.1820,35.175,,,,,
129,01/15/22 04:00:00 AM,15.1820,35.175,,,,,
130,01/15/22 04:30:00 AM,15.1820,35.175,,,,,
131,01/15/22 05:00:00 AM,15.1795,35.175,,,,,
132,01/15/22 05:30:00 AM,15.1917,35.175,,,,,
133,01/15/22 06:00:00 AM,15.1917,35.175,,,,,
134,01/15/22 06:30:00 AM,15.1959,35.370,,,,,
135,01/15/22 07:00:00 AM,15.2008,35.370,,,,,
136,01/15/22 07:30:00 AM,15.2031,35.370,,,,,
137,01/15/22 08:00:00 AM,15.2085,35.175,,,,,
138,01/15/22 08:30:00 AM,15.2206,35.175,,,,,
139,01/15/22 09:00:00 AM,15.2110,35.175,,,,,
140,01/15/22 09:30:00 AM,15.2152,35.370,,,,,
141,01/15/22 10:00:00 AM,15.2129,35.370,,,,,
142,01/15/22 10:30:00 AM,15.2176,35.370,,,,,
143,01/15/22 11:00:00 AM,15.2056,35.370,,,,,
144,01/15/22 11:30:00 AM,15.2008,35.370,,,,,
145,01/15/22 12:00:00 PM,15.1965,35.175,,,,,
146,01/15/22 12:30:00 PM,15.1917,35.175,,,,,
147,01/15/22 01:00:00 PM,15.1820,35.175,,,,,
148,01/15/22 01:30:00 PM,15.1772,35.175,,,,,
149,01/15/22 02:00:00 PM,15.1670,35.370,,,,,
150,01/15/22 02:30:00 PM,15.1694,35.370,,,,,
151,01/15/22 03:00:00 PM,15.1622,35.370,,,,,
152,01/15/22 03:30:00 PM,15.1622,35.370,,,,,
153,01/15/22 04:00:00 PM,15.1602,35.175,,,,,
154,01/15/22 04:30:00 PM,15.1598,35.370,,,,,
155,01/15/22 05:00:00 PM,15.1573,35.370,,,,,
156,01/15/22 05:30:00 PM,15.1550,35.370,,,,,
157,01/15/22 06:00:00 PM,15.1501,35.370,,,,,
158,01/15/22 06:30:00 PM,15.1525,35.370,,,,,
159,01/15/22 07:00:00 PM,15.1525,35.370,,,,,
160,01/15/22 07:30:00 PM,15.1501,35.370,,,,,
161,01/15/22 08:00:00 PM,15.1472,35.564,,,,,
162,01/15/22 08:30:00 PM,15.1395,35.758,,,,,
163,01/15/22 09:00:00 PM,15.1395,35.758,,,,,
164,01/15/22 09:30:00 PM,15.1347,35.758,,,,,
165,01/15/22 10:00:00 PM,15.1274,35.758,,,,,
166,01/15/22 10:30:00 PM,15.1177,35.758,,,,,
167,01/15/22 11:00:00 PM,15.1105,35.758,,,,,
168,01/15/22 11:30:00 PM,15.0936,35.758,,,,,
169,01/16/22 12:00:00 AM,15.0907,35.951,,,,,
170,01/16/22 12:30:00 AM,15.0719,35.758,,,,,
171,01/16/22 01:00:00 AM,15.0768,35.758,,,,,
172,01/16/22 01:30:00 AM,15.0791,35.758,,,,,
173,01/16/22 02:00:00 AM,15.0791,35.758,,,,,
174,01/16/22 02:30:00 AM,15.0719,35.758,,,,,
175,01/16/22 03:00:00 AM,15.0623,35.758,,,,,
176,01/16/22 03:30:00 AM,15.0435,35.564,,,,,
177,01/16/22 04:00:00 AM,15.0310,35.758,,,,,
178,01/16/22 04:30:00 AM,15.0377,35.951,,,,,
179,01/16/22 05:00:00 AM,15.0237,35.758,,,,,
180,01/16/22 05:30:00 AM,15.0117,35.758,,,,,
181,01/16/22 06:00:00 AM,15.0020,35.758,,,,,
182,01/16/22 06:30:00 AM,14.9972,35.758,,,,,
183,01/16/22 07:00:00 AM,14.9972,35.758,,,,,
184,01/16/22 07:30:00 AM,14.9972,35.758,,,,,
185,01/16/22 08:00:00 AM,14.9928,35.564,,,,,
186,01/16/22 08:30:00 AM,14.9881,35.564,,,,,
187,01/16/22 09:00:00 AM,14.9785,35.564,,,,,
188,01/16/22 09:30:00 AM,14.9640,35.564,,,,,
189,01/16/22 10:00:00 AM,14.9567,35.564,,,,,
190,01/16/22 10:30:00 AM,14.9519,35.564,,,,,
191,01/16/22 11:00:00 AM,14.9374,35.564,,,,,
192,01/16/22 11:30:00 AM,14.9279,35.564,,,,,
193,01/16/22 12:00:00 PM,14.9134,35.564,,,,,
194,01/16/22 12:30:00 PM,14.8990,35.564,,,,,
195,01/16/22 01:00:00 PM,14.8965,35.564,,,,,
196,01/16/22 01:30:00 PM,14.8868,35.564,,,,,
